Time;Datetime;Slice (control);Slice (APP 3);Slice (APP 1);Slice (APP 2)
1;2020-10-09T12:38:00+02:00;0.002832;0.005816;0.0;0.0
2;2020-10-09T12:38:01+02:00;0.007951999999999999;0.001968;0.0;0.0
3;2020-10-09T12:38:02+02:00;0.001248;0.002784;0.0;0.0
4;2020-10-09T12:38:03+02:00;0.001248;0.002784;0.0;0.0
5;2020-10-09T12:38:04+02:00;0.001248;0.003824;0.0;0.0
6;2020-10-09T12:38:05+02:00;0.001248;0.002784;0.0;0.0
7;2020-10-09T12:38:06+02:00;0.006704000000000001;0.001968;0.0;0.0
8;2020-10-09T12:38:07+02:00;0.001248;0.002784;0.0;0.0
9;2020-10-09T12:38:08+02:00;0.001248;0.002784;0.0;0.0
10;2020-10-09T12:38:09+02:00;0.001248;0.003824;0.0;0.0
11;2020-10-09T12:38:10+02:00;0.002496;0.002784;0.0;0.0
12;2020-10-09T12:38:11+02:00;0.007328;0.001968;0.0;0.0
13;2020-10-09T12:38:12+02:00;0.001248;0.002784;0.0;0.0
14;2020-10-09T12:38:13+02:00;0.001248;0.002784;0.0;0.0
15;2020-10-09T12:38:14+02:00;0.002608;0.003824;0.0;0.0
16;2020-10-09T12:38:15+02:00;0.003856;0.002784;0.0;0.0
17;2020-10-09T12:38:16+02:00;0.006704000000000001;0.001968;0.0;0.0
18;2020-10-09T12:38:17+02:00;0.001248;0.002784;0.0;0.0
19;2020-10-09T12:38:18+02:00;0.001248;0.002784;0.0;0.0
20;2020-10-09T12:38:19+02:00;0.001248;0.006856;0.0;0.0
21;2020-10-09T12:38:20+02:00;0.002496;0.002784;0.0;0.0
22;2020-10-09T12:38:21+02:00;0.006704000000000001;0.005;0.0;0.0
23;2020-10-09T12:38:22+02:00;0.001248;0.002784;0.0;0.0
24;2020-10-09T12:38:23+02:00;0.001248;0.002784;0.0;0.0
25;2020-10-09T12:38:24+02:00;0.001248;0.005816;0.0;0.0
26;2020-10-09T12:38:25+02:00;0.001248;0.002784;0.0;0.0
27;2020-10-09T12:38:26+02:00;0.004736;0.00396;0.0;0.0
28;2020-10-09T12:38:27+02:00;0.003216;0.002784;0.0;0.0
29;2020-10-09T12:38:28+02:00;0.001248;0.002784;0.0;0.0
30;2020-10-09T12:38:29+02:00;0.002496;0.005816;0.0;0.0
31;2020-10-09T12:38:30+02:00;0.001248;0.002784;0.0;0.0
32;2020-10-09T12:38:31+02:00;0.006704000000000001;0.00396;0.0;0.0
33;2020-10-09T12:38:32+02:00;0.001248;0.0;0.0;0.0
34;2020-10-09T12:38:33+02:00;0.001248;0.005568;0.0;0.0
35;2020-10-09T12:38:34+02:00;0.001248;0.005816;0.0;0.0
36;2020-10-09T12:38:35+02:00;0.001248;0.002784;0.0;0.0
37;2020-10-09T12:38:36+02:00;0.001248;0.003032;0.0;null
38;2020-10-09T12:38:37+02:00;0.007328;0.003712;0.0;0.0
39;2020-10-09T12:38:38+02:00;0.001248;0.002784;0.0;0.0
40;2020-10-09T12:38:39+02:00;0.001248;0.005816;0.0;0.0
41;2020-10-09T12:38:40+02:00;0.001248;0.003824;0.0;0.0
42;2020-10-09T12:38:41+02:00;0.006704000000000001;0.00396;0.0;0.0
43;2020-10-09T12:38:42+02:00;0.001248;0.002784;0.0;0.0
44;2020-10-09T12:38:43+02:00;0.001248;0.003824;0.0;0.0
45;2020-10-09T12:38:44+02:00;0.001248;0.002784;0.0;0.0
46;2020-10-09T12:38:45+02:00;0.001248;0.003824;0.0;0.0
47;2020-10-09T12:38:46+02:00;0.006704000000000001;0.000928;0.0;0.0
48;2020-10-09T12:38:47+02:00;0.002496;0.002784;0.0;0.0
49;2020-10-09T12:38:48+02:00;0.001248;0.003824;0.0;0.0
50;2020-10-09T12:38:49+02:00;0.001248;0.0;0.0;0.0
51;2020-10-09T12:38:50+02:00;0.001248;0.006607999999999999;0.0;0.0
52;2020-10-09T12:38:51+02:00;0.002624;0.000928;0.0;0.0
53;2020-10-09T12:38:52+02:00;0.006575999999999999;0.0;0.0;0.0
54;2020-10-09T12:38:53+02:00;0.001248;0.004752;0.0;null
55;2020-10-09T12:38:54+02:00;0.002496;0.002784;0.0;0.0
56;2020-10-09T12:38:55+02:00;0.001248;0.006607999999999999;0.0;0.0
57;2020-10-09T12:38:56+02:00;0.012656;0.001856;0.0;0.0
58;2020-10-09T12:38:57+02:00;0.001248;0.002784;0.0;0.0
59;2020-10-09T12:38:58+02:00;0.001248;0.003824;0.0;0.0
60;2020-10-09T12:38:59+02:00;0.001248;0.002784;0.0;0.0
61;2020-10-09T12:39:00+02:00;0.001248;0.006856;0.0;0.0
62;2020-10-09T12:39:01+02:00;0.001248;0.0;0.0;0.0
63;2020-10-09T12:39:02+02:00;0.010784;0.001856;0.0;0.0
64;2020-10-09T12:39:03+02:00;0.001248;0.006856;0.0;0.0
65;2020-10-09T12:39:04+02:00;0.001248;0.003712;0.0;0.0
66;2020-10-09T12:39:05+02:00;0.006959999999999999;0.005816;0.0;0.0
67;2020-10-09T12:39:06+02:00;0.001248;0.002784;0.0;0.0
68;2020-10-09T12:39:07+02:00;0.006704000000000001;0.000928;0.0;0.0
69;2020-10-09T12:39:08+02:00;0.001248;0.005816;0.0;0.0
70;2020-10-09T12:39:09+02:00;0.001248;0.002784;0.0;0.0
71;2020-10-09T12:39:10+02:00;0.001248;0.005816;0.0;0.0
72;2020-10-09T12:39:11+02:00;0.006704000000000001;0.003712;0.0;0.0
73;2020-10-09T12:39:12+02:00;0.001248;0.0;0.0;0.0
74;2020-10-09T12:39:13+02:00;0.001872;0.005816;0.0;0.0
75;2020-10-09T12:39:14+02:00;0.003856;0.002784;0.0;0.0
76;2020-10-09T12:39:15+02:00;0.002608;0.006744;0.0;0.0
77;2020-10-09T12:39:16+02:00;0.001248;0.002784;0.0;0.0
78;2020-10-09T12:39:17+02:00;0.006704000000000001;0.000928;0.0;0.0
79;2020-10-09T12:39:18+02:00;0.001248;0.005816;0.0;0.0
80;2020-10-09T12:39:19+02:00;0.001248;0.002784;0.0;0.0
81;2020-10-09T12:39:20+02:00;0.001248;0.005816;0.0;0.0
82;2020-10-09T12:39:21+02:00;0.001248;0.002784;0.0;0.0
83;2020-10-09T12:39:22+02:00;0.00608;0.004752;0.0;0.0
84;2020-10-09T12:39:23+02:00;0.002496;0.005816;0.0;0.0
85;2020-10-09T12:39:24+02:00;0.001248;0.0;0.0;0.0
86;2020-10-09T12:39:25+02:00;0.001248;0.002784;0.0;0.0
87;2020-10-09T12:39:26+02:00;0.002624;0.00464;0.0;0.0
88;2020-10-09T12:39:27+02:00;0.004704;0.0020800000000000003;0.0;0.0
89;2020-10-09T12:39:28+02:00;0.001248;0.002784;0.0;0.0
90;2020-10-09T12:39:29+02:00;0.001248;0.005568;0.0;0.0
91;2020-10-09T12:39:30+02:00;0.001248;0.0;0.0;0.0
92;2020-10-09T12:39:31+02:00;0.001248;0.002784;0.0;0.0
93;2020-10-09T12:39:32+02:00;0.006704000000000001;0.003008;0.0;0.0
94;2020-10-09T12:39:33+02:00;0.007951999999999999;0.003712;null;null
95;2020-10-09T12:39:34+02:00;0.001248;0.0;0.0;0.0
96;2020-10-09T12:39:35+02:00;0.001248;0.003712;0.0;0.0
97;2020-10-09T12:39:36+02:00;0.001248;0.005568;0.0;null
98;2020-10-09T12:39:37+02:00;0.001248;0.0020800000000000003;0.0;0.0
99;2020-10-09T12:39:38+02:00;0.006704000000000001;0.000928;0.0;0.0
100;2020-10-09T12:39:39+02:00;0.001248;0.002784;0.0;0.0
101;2020-10-09T12:39:40+02:00;0.002496;0.005568;0.0;0.0
102;2020-10-09T12:39:41+02:00;0.001248;0.0;0.0;0.0
103;2020-10-09T12:39:42+02:00;0.001872;0.007896;0.0;0.0
104;2020-10-09T12:39:43+02:00;0.006704000000000001;0.000928;0.0;0.0
105;2020-10-09T12:39:44+02:00;0.001248;0.002784;0.0;0.0
106;2020-10-09T12:39:45+02:00;0.001248;0.002784;0.0;0.0
107;2020-10-09T12:39:46+02:00;0.001248;0.006495999999999999;0.0;0.0
108;2020-10-09T12:39:47+02:00;0.001248;0.007104000000000002;0.0;0.0
109;2020-10-09T12:39:48+02:00;0.007328;0.000928;0.0;0.0
110;2020-10-09T12:39:49+02:00;0.001248;0.002784;0.0;0.0
111;2020-10-09T12:39:50+02:00;0.002496;0.002784;0.0;0.0
112;2020-10-09T12:39:51+02:00;0.002496;0.002784;0.0;0.0
113;2020-10-09T12:39:52+02:00;0.001248;0.009776;0.0;0.0
114;2020-10-09T12:39:53+02:00;0.010784;0.001856;0.0;0.0
115;2020-10-09T12:39:54+02:00;0.002496;0.002784;0.0;0.0
116;2020-10-09T12:39:55+02:00;0.001248;0.002784;0.0;0.0
117;2020-10-09T12:39:56+02:00;0.001248;0.002784;0.0;0.0
118;2020-10-09T12:39:57+02:00;0.011168;0.009776;0.0;0.0
119;2020-10-09T12:39:58+02:00;0.001248;0.0;0.0;0.0
120;2020-10-09T12:39:59+02:00;0.002496;0.007423999999999998;0.0;0.0
121;2020-10-09T12:40:00+02:00;0.001248;0.0;0.0;0.0
122;2020-10-09T12:40:01+02:00;0.001248;0.002784;0.0;0.0
123;2020-10-09T12:40:02+02:00;0.001248;0.008848;0.0;0.0
124;2020-10-09T12:40:03+02:00;0.007328;0.000928;0.0;0.0
125;2020-10-09T12:40:04+02:00;0.001248;0.002784;0.0;0.0
126;2020-10-09T12:40:05+02:00;0.001248;0.002784;0.0;0.0
127;2020-10-09T12:40:06+02:00;0.001248;0.003824;0.0;0.0
128;2020-10-09T12:40:07+02:00;0.001248;0.005816;0.0;0.0
129;2020-10-09T12:40:08+02:00;0.008576;0.000928;0.0;0.0
130;2020-10-09T12:40:09+02:00;0.001248;0.003712;0.0;0.0
131;2020-10-09T12:40:10+02:00;0.001248;0.002784;0.0;0.0
132;2020-10-09T12:40:11+02:00;0.001248;0.003824;0.0;0.0
133;2020-10-09T12:40:12+02:00;0.001872;0.002784;0.0;0.0
134;2020-10-09T12:40:13+02:00;0.007951999999999999;0.000928;0.0;0.0
135;2020-10-09T12:40:14+02:00;0.001936;0.002784;0.0;0.0
136;2020-10-09T12:40:15+02:00;0.002608;0.002784;0.0;0.0
137;2020-10-09T12:40:16+02:00;0.001248;0.003824;0.0;0.0
138;2020-10-09T12:40:17+02:00;0.002496;0.002784;0.0;0.0
139;2020-10-09T12:40:18+02:00;0.007951999999999999;0.000928;0.0;0.0
140;2020-10-09T12:40:19+02:00;0.001248;0.002784;0.0;0.0
141;2020-10-09T12:40:20+02:00;0.001248;0.002784;0.0;0.0
142;2020-10-09T12:40:21+02:00;0.001248;0.003824;0.0;0.0
143;2020-10-09T12:40:22+02:00;0.001248;0.002784;0.0;0.0
