Time;Datetime;Slice (control);Slice (ping);Slice (APP 1);Slice (APP 2)
1;2020-10-09T12:38:00+02:00;0.0038399999999999997;0.003032;1.29472;4.6771199999999995
2;2020-10-09T12:38:01+02:00;0.002496;0.0;1.17376;4.54272
3;2020-10-09T12:38:02+02:00;0.01088;0.0;1.17376;4.78912
4;2020-10-09T12:38:03+02:00;null;0.0;1.23648;4.33216
5;2020-10-09T12:38:04+02:00;0.004464;0.0;1.17376;4.049919999999998
6;2020-10-09T12:38:05+02:00;0.002496;0.0;1.17376;null
7;2020-10-09T12:38:06+02:00;0.002496;0.0;1.17824;4.35008
8;2020-10-09T12:38:07+02:00;0.01088;0.0;null;4.74432
9;2020-10-09T12:38:08+02:00;0.009536;0.0;1.04832;4.72192
10;2020-10-09T12:38:09+02:00;0.0038399999999999997;0.004072;1.29024;4.80704
11;2020-10-09T12:38:10+02:00;0.002496;0.0;1.05728;3.81696
12;2020-10-09T12:38:11+02:00;0.004992;0.0;1.17376;4.09472
13;2020-10-09T12:38:12+02:00;0.01088;0.0;1.28576;5.1878400000000005
14;2020-10-09T12:38:13+02:00;0.009536;0.0;1.17824;3.99168
15;2020-10-09T12:38:14+02:00;0.002496;0.005111999999999999;1.22304;4.5696
16;2020-10-09T12:38:15+02:00;0.0064;0.0;1.1692799999999999;4.11712
17;2020-10-09T12:38:16+02:00;0.013616;0.0;1.0528;4.13056
18;2020-10-09T12:38:17+02:00;0.012224;0.0;1.1961600000000001;4.73984
19;2020-10-09T12:38:18+02:00;0.002496;null;null;null
20;2020-10-09T12:38:19+02:00;0.004992;0.000904;1.10656;4.56064
21;2020-10-09T12:38:20+02:00;0.00312;0.0;1.17824;4.3008000000000015
22;2020-10-09T12:38:21+02:00;0.01088;0.0;1.28576;5.0982400000000005
23;2020-10-09T12:38:22+02:00;0.01088;null;null;null
24;2020-10-09T12:38:23+02:00;0.00312;0.0010400000000000001;1.17376;4.2828800000000005
25;2020-10-09T12:38:24+02:00;0.002496;0.003032;1.05728;4.05888
26;2020-10-09T12:38:25+02:00;0.002496;0.0;1.29024;4.48
27;2020-10-09T12:38:26+02:00;0.009536;0.0;1.0528;null
28;2020-10-09T12:38:27+02:00;0.01088;0.0;1.17824;3.99168
29;2020-10-09T12:38:28+02:00;0.0063360000000000005;0.0010400000000000001;1.29024;4.67264
