sep=;
"Time";"APP: 3";"APP: 5";"APP: 1";"APP: 2"
"2020-09-16T11:42:55+02:00";null;null;null;null
"2020-09-16T11:42:56+02:00";0;null;null;null
"2020-09-16T11:43:01+02:00";1;null;null;null
"2020-09-16T11:43:02+02:00";null;1;null;null
"2020-09-16T11:43:06+02:00";2;null;null;null
"2020-09-16T11:43:07+02:00";null;1;null;null
"2020-09-16T11:43:11+02:00";2.25;null;null;null
"2020-09-16T11:43:12+02:00";null;0.6666666666666666;null;null
"2020-09-16T11:43:16+02:00";2;null;null;null
"2020-09-16T11:43:17+02:00";null;0.5;null;null
"2020-09-16T11:43:21+02:00";1.6666666666666667;null;null;null
"2020-09-16T11:43:22+02:00";null;0.4;null;null
"2020-09-16T11:43:26+02:00";1.7142857142857142;null;null;null
"2020-09-16T11:43:27+02:00";null;1;null;null
"2020-09-16T11:43:31+02:00";1.625;null;null;null
"2020-09-16T11:43:32+02:00";null;1.4285714285714286;null;null
"2020-09-16T11:43:36+02:00";1.7777777777777777;null;null;null
"2020-09-16T11:43:37+02:00";null;1.25;null;null
"2020-09-16T11:43:41+02:00";1.8;null;null;null
"2020-09-16T11:43:42+02:00";null;1.1111111111111112;46.9;null
"2020-09-16T11:43:44+02:00";null;null;null;86.4
"2020-09-16T11:43:46+02:00";1.9;null;null;null
"2020-09-16T11:43:47+02:00";null;1;null;null
"2020-09-16T11:43:48+02:00";null;null;60.8;null
"2020-09-16T11:43:49+02:00";null;null;null;89.1
"2020-09-16T11:43:51+02:00";2;null;null;null
"2020-09-16T11:43:52+02:00";null;0.9;null;null
"2020-09-16T11:43:53+02:00";null;null;65.1;null
"2020-09-16T11:43:54+02:00";null;null;null;69.1
"2020-09-16T11:43:56+02:00";1.6;null;null;null
"2020-09-16T11:43:57+02:00";null;0.8;null;null
"2020-09-16T11:43:58+02:00";null;0.9;68.2;null
"2020-09-16T11:43:59+02:00";null;null;null;70.5
"2020-09-16T11:44:01+02:00";1.5;null;null;null
"2020-09-16T11:44:03+02:00";null;1.1;58.3;null
"2020-09-16T11:44:04+02:00";null;null;null;60.7
"2020-09-16T11:44:06+02:00";1.8;null;null;null
"2020-09-16T11:44:08+02:00";null;1.2;70.2;null
"2020-09-16T11:44:09+02:00";null;null;null;58.6
"2020-09-16T11:44:11+02:00";1.8;null;null;null
"2020-09-16T11:44:13+02:00";null;1.4;71.8;null
"2020-09-16T11:44:14+02:00";null;null;null;63.6
