sep=;
"Time";"APP: 3";"APP: 5";"APP: 1";"APP: 2"
"2020-09-16T11:42:55+02:00";8;null;null;null
"2020-09-16T11:42:56+02:00";8;null;null;null
"2020-09-16T11:43:01+02:00";6;1;null;null
"2020-09-16T11:43:02+02:00";null;2;null;null
"2020-09-16T11:43:06+02:00";10;null;null;null
"2020-09-16T11:43:07+02:00";null;1;null;null
"2020-09-16T11:43:11+02:00";7;null;null;null
"2020-09-16T11:43:12+02:00";null;1;null;null
"2020-09-16T11:43:16+02:00";8;null;null;null
"2020-09-16T11:43:17+02:00";null;1;null;null
"2020-09-16T11:43:21+02:00";8;null;null;null
"2020-09-16T11:43:22+02:00";null;1;null;null
"2020-09-16T11:43:26+02:00";6;null;null;null
"2020-09-16T11:43:27+02:00";null;5;null;null
"2020-09-16T11:43:31+02:00";7;null;null;null
"2020-09-16T11:43:32+02:00";null;1;null;null
"2020-09-16T11:43:36+02:00";10;null;null;null
"2020-09-16T11:43:37+02:00";null;1;null;null
"2020-09-16T11:43:41+02:00";8;null;null;null
"2020-09-16T11:43:42+02:00";null;1;3;null
"2020-09-16T11:43:44+02:00";null;null;null;144
"2020-09-16T11:43:46+02:00";9;null;null;null
"2020-09-16T11:43:47+02:00";null;1;null;null
"2020-09-16T11:43:48+02:00";null;null;155;null
"2020-09-16T11:43:49+02:00";null;null;null;182
"2020-09-16T11:43:51+02:00";6;null;null;null
"2020-09-16T11:43:52+02:00";null;1;null;null
"2020-09-16T11:43:53+02:00";null;null;200;null
"2020-09-16T11:43:54+02:00";null;null;null;246
"2020-09-16T11:43:56+02:00";6;null;null;null
"2020-09-16T11:43:57+02:00";null;1;null;null
"2020-09-16T11:43:58+02:00";null;0;163;null
"2020-09-16T11:43:59+02:00";null;null;null;164
"2020-09-16T11:44:01+02:00";4;null;null;null
"2020-09-16T11:44:03+02:00";null;2;239;null
"2020-09-16T11:44:04+02:00";null;null;null;169
"2020-09-16T11:44:06+02:00";8;null;null;null
"2020-09-16T11:44:08+02:00";null;1;116;null
"2020-09-16T11:44:09+02:00";null;null;null;174
"2020-09-16T11:44:11+02:00";8;null;null;null
"2020-09-16T11:44:13+02:00";null;7;157;null
"2020-09-16T11:44:14+02:00";null;null;null;260
"2020-09-16T11:44:16+02:00";5;null;null;null
"2020-09-16T11:44:18+02:00";null;1;143;null
"2020-09-16T11:44:19+02:00";null;null;null;119
"2020-09-16T11:44:21+02:00";5;null;null;null
"2020-09-16T11:44:23+02:00";null;0;156;null
"2020-09-16T11:44:24+02:00";null;null;null;190
"2020-09-16T11:44:26+02:00";5;null;null;null
"2020-09-16T11:44:28+02:00";null;3;134;null
