Time;Datetime;STA 5;STA 2;STA 8;STA 1;STA 4;STA 7;STA 6;STA 3
1;2020-10-09T12:38:00+02:00;5.0;null;null;0.0;3.0;null;5.0;5.0
2;2020-10-09T12:38:01+02:00;5.0;5.0;6.0;0.0;3.0;7.0;5.0;5.0
3;2020-10-09T12:38:02+02:00;5.0;null;6.0;0.0;3.0;7.0;5.0;5.0
4;2020-10-09T12:38:03+02:00;5.0;3.0;6.0;0.0;3.0;7.0;5.0;null
5;2020-10-09T12:38:04+02:00;5.0;3.0;6.0;0.0;3.0;7.0;5.0;5.0
6;2020-10-09T12:38:05+02:00;5.0;null;6.0;0.0;3.0;7.0;5.0;5.0
7;2020-10-09T12:38:06+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
8;2020-10-09T12:38:07+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
9;2020-10-09T12:38:08+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
10;2020-10-09T12:38:09+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
11;2020-10-09T12:38:10+02:00;5.0;null;6.0;6.0;3.0;7.0;5.0;5.0
12;2020-10-09T12:38:11+02:00;5.0;3.0;6.0;6.0;3.0;7.0;null;5.0
13;2020-10-09T12:38:12+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
14;2020-10-09T12:38:13+02:00;5.0;null;6.0;6.0;3.0;7.0;5.0;null
15;2020-10-09T12:38:14+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
16;2020-10-09T12:38:15+02:00;5.0;null;6.0;6.0;3.0;7.0;5.0;null
17;2020-10-09T12:38:16+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
18;2020-10-09T12:38:17+02:00;null;3.0;null;6.0;3.0;7.0;5.0;5.0
19;2020-10-09T12:38:18+02:00;5.0;null;6.0;6.0;3.0;null;5.0;5.0
20;2020-10-09T12:38:19+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
21;2020-10-09T12:38:20+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;null
22;2020-10-09T12:38:21+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
23;2020-10-09T12:38:22+02:00;5.0;null;6.0;6.0;3.0;7.0;5.0;5.0
24;2020-10-09T12:38:23+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
25;2020-10-09T12:38:24+02:00;null;3.0;6.0;null;3.0;7.0;5.0;5.0
26;2020-10-09T12:38:25+02:00;5.0;null;null;6.0;3.0;null;5.0;null
27;2020-10-09T12:38:26+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
28;2020-10-09T12:38:27+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
29;2020-10-09T12:38:28+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
30;2020-10-09T12:38:29+02:00;null;3.0;6.0;6.0;3.0;7.0;5.0;null
31;2020-10-09T12:38:30+02:00;5.0;null;6.0;6.0;3.0;null;5.0;5.0
32;2020-10-09T12:38:31+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
33;2020-10-09T12:38:32+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
34;2020-10-09T12:38:33+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
35;2020-10-09T12:38:34+02:00;null;3.0;6.0;6.0;3.0;7.0;5.0;5.0
36;2020-10-09T12:38:35+02:00;5.0;null;null;6.0;3.0;null;5.0;null
37;2020-10-09T12:38:36+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
38;2020-10-09T12:38:37+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
39;2020-10-09T12:38:38+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
40;2020-10-09T12:38:39+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;null
41;2020-10-09T12:38:40+02:00;5.0;null;6.0;6.0;3.0;null;5.0;5.0
42;2020-10-09T12:38:41+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
43;2020-10-09T12:38:42+02:00;5.0;5.0;6.0;6.0;3.0;7.0;5.0;null
44;2020-10-09T12:38:43+02:00;5.0;5.0;6.0;6.0;3.0;7.0;5.0;5.0
45;2020-10-09T12:38:44+02:00;5.0;5.0;6.0;6.0;3.0;null;5.0;null
46;2020-10-09T12:38:45+02:00;5.0;null;6.0;6.0;3.0;7.0;5.0;5.0
47;2020-10-09T12:38:46+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
48;2020-10-09T12:38:47+02:00;null;3.0;6.0;6.0;3.0;7.0;5.0;null
49;2020-10-09T12:38:48+02:00;5.0;null;6.0;6.0;3.0;null;5.0;5.0
50;2020-10-09T12:38:49+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
51;2020-10-09T12:38:50+02:00;5.0;null;null;6.0;3.0;null;5.0;null
52;2020-10-09T12:38:51+02:00;5.0;3.0;6.0;6.0;3.0;7.0;5.0;5.0
53;2020-10-09T12:38:52+02:00;null;3.0;6.0;null;3.0;7.0;5.0;5.0
54;2020-10-09T12:38:53+02:00;5.0;null;null;6.0;3.0;null;5.0;null
