sep=;
"Time";"04:D3:B0:87:2E:5E";"04:D3:B0:87:32:37";"04:D3:B0:87:32:96";"3C:6A:A7:4D:7F:FB";"3C:6A:A7:A0:E1:BE";"3C:6A:A7:B5:44:B5";"3C:6A:A7:B5:49:42";"3C:6A:A7:B5:49:A1"
"2020-09-16T11:43:00+02:00";2503;6192;4383;10179;384142;4421;1290616;3933
"2020-09-16T11:43:01+02:00";2504;6194;4383;10180;384142;4421;1290616;3936
"2020-09-16T11:43:02+02:00";2505;6204;4383;10193;384143;4422;1290616;3940
"2020-09-16T11:43:03+02:00";2509;6206;4386;10203;384146;4425;1290620;3945
"2020-09-16T11:43:04+02:00";2510;6208;4386;10205;384146;4425;1290620;null
"2020-09-16T11:43:05+02:00";2511;6213;null;10210;384146;null;1290620;3947
"2020-09-16T11:43:06+02:00";2512;6216;4386;10212;384146;4425;1290620;3948
"2020-09-16T11:43:07+02:00";2513;6227;4386;10214;384150;4426;1290620;3950
"2020-09-16T11:43:08+02:00";2518;null;4388;10225;384150;4428;1290622;null
"2020-09-16T11:43:09+02:00";2519;6231;4388;10227;384152;4428;1290622;3951
"2020-09-16T11:43:10+02:00";2520;6233;4388;10232;384155;4432;1290622;3953
"2020-09-16T11:43:11+02:00";2521;6238;4388;10234;384155;4432;1290622;3954
"2020-09-16T11:43:12+02:00";2522;6249;null;10236;null;null;null;3955
"2020-09-16T11:43:13+02:00";2524;6251;4388;10246;384155;4432;1290622;3956
"2020-09-16T11:43:14+02:00";2526;6255;4388;10248;384155;4432;1290622;3957
"2020-09-16T11:43:15+02:00";2526;6255;null;10253;null;4432;null;3960
"2020-09-16T11:43:16+02:00";2528;6271;4388;10255;384155;null;1290622;3961
"2020-09-16T11:43:17+02:00";2528;6271;4388;10257;384159;4435;1290622;3962
"2020-09-16T11:43:18+02:00";2531;6275;4388;10267;384159;4435;1290622;3963
"2020-09-16T11:43:19+02:00";2531;6275;4388;10269;384159;4435;1290622;3964
"2020-09-16T11:43:20+02:00";2532;null;4388;10275;384162;4438;1290622;null
"2020-09-16T11:43:21+02:00";2533;6281;4388;10277;384162;4438;1290622;3967
"2020-09-16T11:43:22+02:00";2535;6293;4388;10279;384162;4438;1290622;3969
"2020-09-16T11:43:23+02:00";2536;6293;4388;10289;384162;4438;1290622;null
"2020-09-16T11:43:24+02:00";2537;6295;4388;10291;384165;4441;1290622;3970
"2020-09-16T11:43:25+02:00";2538;6298;4388;10293;384165;4441;1290622;3975
"2020-09-16T11:43:26+02:00";2540;6311;4388;10295;384165;4441;1290622;3976
"2020-09-16T11:43:27+02:00";2540;6311;4388;10297;384165;4441;1290622;3977
"2020-09-16T11:43:28+02:00";2545;6313;4388;10307;384166;4441;1290622;3978
"2020-09-16T11:43:29+02:00";2546;6315;4388;10309;384166;4444;1290622;3979
"2020-09-16T11:43:30+02:00";2548;6320;4388;10311;384166;4444;1290622;3983
