sep=;
"Time";"04:D3:B0:87:2E:5E";"04:D3:B0:87:32:37";"04:D3:B0:87:32:96";"3C:6A:A7:4D:7F:FB";"3C:6A:A7:A0:E1:BE";"3C:6A:A7:B5:44:B5";"3C:6A:A7:B5:49:42";"3C:6A:A7:B5:49:A1"
"2020-09-16T11:43:00+02:00";0.0008050237225281148;0.0036782661900876135;0;0.003271914131390033;0;0;0;0
"2020-09-16T11:43:01+02:00";0.0008182081411394928;0.0015122748712420593;0;0.0022132070443902116;0;0;0;0.0012278374130545403
"2020-09-16T11:43:02+02:00";0.0008245107145127715;0.01198435616185971;0;0.015441327794128518;0.0006310405528028699;0.0006567226751192253;0;0.002959153793660004
"2020-09-16T11:43:03+02:00";0.003288830318776452;0.0017129261654384043;0.0018870818698819498;0.015506571728195374;0.0020578756639488727;0.0018051241408523287;0.0029247488858938596;0.000841152296268329
"2020-09-16T11:43:04+02:00";0.0008408513869568774;0.0016811194339988705;0;0.0016969674620994947;0;0;0;null
"2020-09-16T11:43:05+02:00";0.0007414715396777723;0.003117682806748186;null;0.0033066783954523293;0;null;0;0.0013770052224178163
"2020-09-16T11:43:06+02:00";0.000538253322287822;0.001558340565891636;0;0.0010801404880766321;0;0;0;0.0006459534065077511
"2020-09-16T11:43:07+02:00";0.0014598439461579924;0.01675269767719917;0;0.0025553292088027115;0.0029467466647355297;0.0005721595322966993;0;0.0011370718912763658
"2020-09-16T11:43:08+02:00";0.004322382687720386;null;0.0033832844304584825;0.015512272457175099;0;0.003386507542156975;0.0033520119175303657;null
"2020-09-16T11:43:09+02:00";0.0007403258804715901;0.0015309656538474521;0;0.0013557941571130624;0;0;0;0.0007122754596882899
"2020-09-16T11:43:10+02:00";0.0007916881046751796;0.0015417119307837973;0;0.003919117178590167;0.0025731574301321516;0.0033447656787946173;0;0.0015761532456297018
"2020-09-16T11:43:11+02:00";0.0006776794180957867;0.002938142280809816;0;0.0014376083636866797;0;0;0;0.0006922675047135929
"2020-09-16T11:43:12+02:00";0.0009099473689307997;0.01547184489966256;null;0.0016800947338115088;null;null;null;0.0008642932915528914
"2020-09-16T11:43:13+02:00";0.0011818823441070063;0.0010763124975553858;0;0.008929283894790781;0;0;0;0.0006994225818490785
"2020-09-16T11:43:14+02:00";0.0014381742362498957;0.0028969690292374273;0;0.0013033874067843773;0;0;0;0.0006683251835624167
"2020-09-16T11:43:15+02:00";0;0;null;0.004855122888528055;null;0;null;0.002290847502839103
"2020-09-16T11:43:16+02:00";0.001764685539740211;0.016909836517078065;0;0.0016606793023027967;0;null;0;0.0008120847900228438
"2020-09-16T11:43:17+02:00";0;0;0;0.0021909134547252263;0;0;0;0.0011762825509715328
"2020-09-16T11:43:18+02:00";0.00199338983000502;0.002707217843427905;0;0.01130446123590175;0;0;0;0.0008590686863449021
"2020-09-16T11:43:19+02:00";0;0;0;0.0019024064823348161;0;0;0;0.0010017679455273994
"2020-09-16T11:43:20+02:00";0.0008411032413201625;null;0;0.004110067985036326;0.003126002405979695;0.0031697920319103024;0;null
"2020-09-16T11:43:21+02:00";0.0005231459536992905;0.001569099112795208;0;0.0013263415736564038;0;0;0;0.0006579790124435032
"2020-09-16T11:43:22+02:00";0.001872352658891803;0.014956138363742414;0;0.0014270751453565643;0;0;0;0.0013935736016414922
"2020-09-16T11:43:23+02:00";0.0012729425413396513;0;0;0.018213157370976056;0;0;0;null
"2020-09-16T11:43:24+02:00";0.0007051419599366552;0.0014268023853988045;0;0.0013958209583195822;0.003310638312366741;0.0025254928838137213;0;0.0007302058038353225
"2020-09-16T11:43:25+02:00";0.0008045218770757821;0.002360026857647685;0;0.0016373977563259095;0;0;0;0.003533117234268651
"2020-09-16T11:43:26+02:00";0.0013714416405057564;0.011034503158648856;0;0.0011850156656260395;0;0;0;0.0005707254116207527
"2020-09-16T11:43:27+02:00";0;0;0;0.0023438504849559415;0;0;0;0.0012720784863805114
"2020-09-16T11:43:28+02:00";0.0034408553156012886;0.00159272609688583;0;0.012531247794025886;0.000764531500276944;0;0;0.0010105481121143632
"2020-09-16T11:43:29+02:00";0.000811627388355812;0.001559465575025289;0;0.0016526402545852586;0;0.002517475790526908;0;0.0007902144334524702
"2020-09-16T11:43:30+02:00";0.0013166401047118952;0.003221735751625602;0;0.001215048941023279;0;0;0;0.0021155605753084127
"2020-09-16T11:43:31+02:00";0.00193664503308273;0.012512455652588711;0;0.0031280080252690475;0;0;0;0.002361801510887677
"2020-09-16T11:43:32+02:00";0.0034656889998831166;0;0.002778694427014843;0.0019207414523137384;0;0;0;0.000961936389355068
