sep=;
"Time";"04:D3:B0:87:2E:5E";"04:D3:B0:87:32:37";"04:D3:B0:87:32:96";"3C:6A:A7:4D:7F:FB";"3C:6A:A7:A0:E1:BE";"3C:6A:A7:B5:44:B5";"3C:6A:A7:B5:49:42";"3C:6A:A7:B5:49:A1"
"2020-09-16T11:43:00+02:00";3407;3892;1292234;6284;1513;385569;1298;5661
"2020-09-16T11:43:01+02:00";3409;3893;1292234;6285;1513;385569;1298;5663
"2020-09-16T11:43:02+02:00";3410;3899;1292234;6295;1514;385570;1298;5668
"2020-09-16T11:43:03+02:00";3415;3900;1292236;6301;1516;385572;1300;5674
"2020-09-16T11:43:04+02:00";3417;3901;1292236;6302;1516;385572;1300;null
"2020-09-16T11:43:05+02:00";3419;3904;null;6306;1516;null;1300;5677
"2020-09-16T11:43:06+02:00";3421;3907;1292236;6307;1516;385572;1300;5679
"2020-09-16T11:43:07+02:00";3422;3913;1292236;6308;1520;385573;1300;5682
"2020-09-16T11:43:08+02:00";3428;null;1292238;6315;1520;385575;1302;null
"2020-09-16T11:43:09+02:00";3430;3915;1292238;6316;1522;385575;1302;5684
"2020-09-16T11:43:10+02:00";3432;3916;1292238;6320;1525;385579;1302;5687
"2020-09-16T11:43:11+02:00";3434;3920;1292238;6321;1525;385579;1302;5689
"2020-09-16T11:43:12+02:00";3435;3927;null;6322;null;null;null;5691
"2020-09-16T11:43:13+02:00";3438;3928;1292238;6328;1525;385579;1302;5692
"2020-09-16T11:43:14+02:00";3442;3930;1292238;6329;1525;385579;1302;5694
"2020-09-16T11:43:15+02:00";3442;3930;null;6333;null;385579;null;5698
"2020-09-16T11:43:16+02:00";3445;3941;1292238;6334;1525;null;1302;5700
"2020-09-16T11:43:17+02:00";3445;3941;1292238;6335;1529;385582;1302;5702
"2020-09-16T11:43:18+02:00";3450;3943;1292238;6341;1529;385582;1302;5703
"2020-09-16T11:43:19+02:00";3450;3943;1292238;6342;1529;385582;1302;5705
"2020-09-16T11:43:20+02:00";3452;null;1292238;6347;1532;385585;1302;null
"2020-09-16T11:43:21+02:00";3455;3946;1292238;6348;1532;385585;1302;5710
"2020-09-16T11:43:22+02:00";3458;3953;1292238;6349;1532;385585;1302;5713
"2020-09-16T11:43:23+02:00";3459;3953;1292238;6355;1532;385585;1302;null
"2020-09-16T11:43:24+02:00";3461;3954;1292238;6356;1535;385588;1302;5715
"2020-09-16T11:43:25+02:00";3463;3956;1292238;6357;1535;385588;1302;5721
"2020-09-16T11:43:26+02:00";3466;3964;1292238;6358;1535;385588;1302;5723
"2020-09-16T11:43:27+02:00";3466;3964;1292238;6359;1535;385588;1302;5725
"2020-09-16T11:43:28+02:00";3472;3965;1292238;6365;1536;385588;1302;5726
"2020-09-16T11:43:29+02:00";3474;3966;1292238;6366;1536;385591;1302;5728
"2020-09-16T11:43:30+02:00";3478;3969;1292238;6367;1536;385591;1302;5733
"2020-09-16T11:43:31+02:00";3481;3978;1292238;6370;1536;385591;1302;5737
"2020-09-16T11:43:32+02:00";3482;3978;1292239;6371;1536;385591;1302;5739
"2020-09-16T11:43:33+02:00";3487;3979;1292239;6377;1537;385593;1302;5740
"2020-09-16T11:43:34+02:00";3489;3980;1292239;6378;1537;385593;1302;5742
"2020-09-16T11:43:35+02:00";3491;3982;null;6379;null;385593;null;5747
"2020-09-16T11:43:36+02:00";3495;3984;1292239;6380;1537;null;1302;5750
"2020-09-16T11:43:37+02:00";3495;3990;1292239;6381;1538;385593;1302;5752
"2020-09-16T11:43:38+02:00";3502;3993;null;6389;null;null;null;5755
"2020-09-16T11:43:39+02:00";3504;3994;1292241;6390;1549;385596;1304;5757
"2020-09-16T11:43:40+02:00";3506;3999;null;6391;null;385596;null;5762
