sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 5 - Node: 12";"APP: 5 - Node: 5079035";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310"
"2020-09-16T11:42:55+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:42:56+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:01+02:00";2442;2442;2462;2462;null;null;null;null
"2020-09-16T11:43:02+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:06+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:07+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:11+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:12+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:16+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:17+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:21+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:22+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:26+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:27+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:31+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:32+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:36+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:37+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:41+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:42+02:00";null;null;2462;2462;2412;2412;null;null
"2020-09-16T11:43:44+02:00";null;null;null;null;null;null;2412;2412
"2020-09-16T11:43:46+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:47+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:48+02:00";null;null;null;null;2412;2412;null;null
"2020-09-16T11:43:49+02:00";null;null;null;null;null;null;2412;2412
"2020-09-16T11:43:51+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:52+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:53+02:00";null;null;null;null;2412;2412;null;null
"2020-09-16T11:43:54+02:00";null;null;null;null;null;null;2412;2412
"2020-09-16T11:43:56+02:00";2442;2442;null;null;null;null;null;null
"2020-09-16T11:43:57+02:00";null;null;2462;2462;null;null;null;null
"2020-09-16T11:43:58+02:00";null;null;2462;2462;2412;2412;null;null
"2020-09-16T11:43:59+02:00";null;null;null;null;null;null;2412;2412
"2020-09-16T11:44:01+02:00";2442;2442;null;null;null;null;null;null
