sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 4 - Node: 11880865";"APP: 4 - Node: 12";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13"
"2020-10-09T12:31:22+02:00";64;100;55;37;null;null;null;null
"2020-10-09T12:31:24+02:00";null;null;null;null;91;42;null;null
"2020-10-09T12:31:25+02:00";null;null;null;null;null;null;51;23
"2020-10-09T12:31:27+02:00";51;157;97;41;null;null;null;null
"2020-10-09T12:31:29+02:00";null;null;null;null;22;68;null;null
"2020-10-09T12:31:30+02:00";null;null;null;null;null;null;82;93
"2020-10-09T12:31:32+02:00";23;128;63;34;null;null;null;null
"2020-10-09T12:31:34+02:00";null;null;null;null;23;45;null;null
"2020-10-09T12:31:35+02:00";null;null;null;null;null;null;48;76
"2020-10-09T12:31:37+02:00";23;95;84;23;null;null;null;null
"2020-10-09T12:31:42+02:00";23;130;72;23;null;null;null;null
"2020-10-09T12:31:45+02:00";null;null;null;null;103;76;null;null
"2020-10-09T12:31:47+02:00";54;104;87;34;null;null;null;null
"2020-10-09T12:31:50+02:00";null;null;null;null;135;42;null;null
"2020-10-09T12:31:52+02:00";52;135;72;25;null;null;57;128
"2020-10-09T12:31:55+02:00";null;null;null;null;null;64;null;null
"2020-10-09T12:31:56+02:00";null;null;null;null;48;null;null;null
"2020-10-09T12:31:57+02:00";24;105;63;23;null;null;57;66
"2020-10-09T12:32:00+02:00";null;null;null;null;null;46;null;null
"2020-10-09T12:32:01+02:00";null;null;null;null;81;null;null;null
"2020-10-09T12:32:02+02:00";23;125;86;78;null;null;41;56
"2020-10-09T12:32:06+02:00";null;null;null;null;54;45;null;null
"2020-10-09T12:32:07+02:00";23;132;69;54;null;null;42;37
"2020-10-09T12:32:10+02:00";null;null;null;null;null;47;null;null
"2020-10-09T12:32:11+02:00";null;null;null;null;67;null;null;null
"2020-10-09T12:32:12+02:00";36;125;56;44;null;null;51;null
"2020-10-09T12:32:13+02:00";23;92;null;null;null;null;null;126
"2020-10-09T12:32:15+02:00";null;null;null;null;null;47;null;null
