Time;Datetime;AP 1 (APP 3);STA 2 (APP 3);STA 3 (APP 4);AP 2 (APP 4);AP 3 (APP 2);STA 8 (APP 2);STA 7 (APP 1);AP 3 (APP 1)
1;2020-10-09T12:38:00+02:00;null;null;null;null;null;null;0.0;null
2;2020-10-09T12:38:01+02:00;0.0;0.0;null;null;null;null;null;0.0
3;2020-10-09T12:38:02+02:00;null;null;null;null;0.0;1.0;null;null
4;2020-10-09T12:38:03+02:00;null;null;0.0;0.0;null;null;null;null
5;2020-10-09T12:38:04+02:00;null;null;null;null;null;null;null;null
6;2020-10-09T12:38:05+02:00;null;null;null;null;null;null;1.0;0.0
7;2020-10-09T12:38:06+02:00;0.0;0.0;null;null;null;null;null;null
8;2020-10-09T12:38:07+02:00;null;null;null;null;0.0;1.0;null;null
9;2020-10-09T12:38:08+02:00;null;null;0.0;0.0;null;null;null;null
10;2020-10-09T12:38:09+02:00;null;null;null;null;null;null;null;null
11;2020-10-09T12:38:10+02:00;null;0.0;null;null;null;null;null;null
12;2020-10-09T12:38:11+02:00;0.0;null;null;null;null;null;0.0;0.0
13;2020-10-09T12:38:12+02:00;null;null;null;null;0.0;1.0;null;null
14;2020-10-09T12:38:13+02:00;null;null;0.0;0.0;null;null;null;null
15;2020-10-09T12:38:14+02:00;null;null;null;null;null;null;null;null
16;2020-10-09T12:38:15+02:00;null;null;null;null;null;null;0.0;null
17;2020-10-09T12:38:16+02:00;0.0;0.0;null;null;null;0.0;null;0.0
18;2020-10-09T12:38:17+02:00;null;null;null;null;0.0;null;null;null
19;2020-10-09T12:38:18+02:00;null;null;0.0;0.0;null;null;null;null
20;2020-10-09T12:38:19+02:00;null;null;null;null;null;null;null;null
21;2020-10-09T12:38:20+02:00;null;null;null;null;null;null;null;null
22;2020-10-09T12:38:21+02:00;0.0;0.0;null;null;null;0.0;0.0;0.0
23;2020-10-09T12:38:22+02:00;null;null;null;null;0.0;null;null;null
24;2020-10-09T12:38:23+02:00;null;null;0.0;0.0;null;null;null;null
25;2020-10-09T12:38:24+02:00;null;null;null;null;null;null;null;null
26;2020-10-09T12:38:25+02:00;null;null;null;null;null;null;0.0;null
27;2020-10-09T12:38:26+02:00;0.0;0.0;null;null;null;null;null;0.0
28;2020-10-09T12:38:27+02:00;null;null;null;null;0.0;0.0;null;null
29;2020-10-09T12:38:28+02:00;null;null;0.0;0.0;null;null;null;null
30;2020-10-09T12:38:29+02:00;null;null;null;null;null;null;null;null
31;2020-10-09T12:38:30+02:00;null;null;null;null;null;null;0.0;0.0
32;2020-10-09T12:38:31+02:00;0.0;0.0;null;null;null;0.0;null;null
33;2020-10-09T12:38:32+02:00;null;null;null;null;0.0;null;null;null
34;2020-10-09T12:38:33+02:00;null;null;0.0;0.0;null;null;null;null
35;2020-10-09T12:38:34+02:00;null;null;null;null;null;null;null;null
36;2020-10-09T12:38:35+02:00;null;null;null;null;null;null;0.0;null
37;2020-10-09T12:38:36+02:00;0.0;0.0;null;null;null;1.0;null;0.0
38;2020-10-09T12:38:37+02:00;null;null;null;null;0.0;null;null;null
39;2020-10-09T12:38:38+02:00;null;null;0.0;0.0;null;null;null;null
40;2020-10-09T12:38:39+02:00;null;null;null;null;null;null;null;null
41;2020-10-09T12:38:40+02:00;null;null;null;null;null;null;0.0;null
42;2020-10-09T12:38:41+02:00;0.0;0.0;null;null;null;null;null;0.0
43;2020-10-09T12:38:42+02:00;null;null;null;null;0.0;0.0;null;null
44;2020-10-09T12:38:43+02:00;null;null;0.0;0.0;null;null;null;null
45;2020-10-09T12:38:44+02:00;null;null;null;null;null;null;null;null
46;2020-10-09T12:38:45+02:00;null;null;null;null;null;null;0.0;null
47;2020-10-09T12:38:46+02:00;0.0;1.0;null;null;0.0;0.0;null;0.0
48;2020-10-09T12:38:47+02:00;null;null;null;null;null;null;null;null
49;2020-10-09T12:38:48+02:00;null;null;0.0;0.0;null;null;null;null
50;2020-10-09T12:38:49+02:00;null;null;null;null;null;null;null;null
51;2020-10-09T12:38:50+02:00;null;null;null;null;null;null;1.0;null
52;2020-10-09T12:38:51+02:00;0.0;0.0;null;null;null;null;null;0.0
53;2020-10-09T12:38:52+02:00;null;null;null;null;0.0;1.0;null;null
54;2020-10-09T12:38:53+02:00;null;null;0.0;0.0;null;null;null;null
55;2020-10-09T12:38:54+02:00;null;null;null;null;null;null;null;null
56;2020-10-09T12:38:55+02:00;null;null;null;null;null;null;null;null
57;2020-10-09T12:38:56+02:00;0.0;1.0;null;null;null;null;0.0;0.0
58;2020-10-09T12:38:57+02:00;null;null;null;null;0.0;0.0;null;null
59;2020-10-09T12:38:58+02:00;null;null;0.0;0.0;null;null;null;null
60;2020-10-09T12:38:59+02:00;null;null;null;null;null;null;null;null
61;2020-10-09T12:39:00+02:00;null;null;null;null;null;null;0.0;0.0
62;2020-10-09T12:39:01+02:00;0.0;1.0;0.0;0.0;0.0;0.0;null;null
63;2020-10-09T12:39:02+02:00;null;null;null;null;null;null;null;null
64;2020-10-09T12:39:03+02:00;null;null;null;null;null;null;null;null
65;2020-10-09T12:39:04+02:00;null;null;null;null;null;null;null;null
66;2020-10-09T12:39:05+02:00;null;null;null;null;null;null;0.0;null
67;2020-10-09T12:39:06+02:00;0.0;0.0;0.0;0.0;null;null;null;0.0
68;2020-10-09T12:39:07+02:00;null;null;null;null;0.0;0.0;null;null
69;2020-10-09T12:39:08+02:00;null;null;null;null;null;null;null;null
70;2020-10-09T12:39:09+02:00;null;null;null;null;null;null;null;null
71;2020-10-09T12:39:10+02:00;null;null;null;null;null;null;1.0;0.0
72;2020-10-09T12:39:11+02:00;0.0;0.0;0.0;0.0;null;null;null;null
73;2020-10-09T12:39:12+02:00;null;null;null;null;0.0;0.0;null;null
74;2020-10-09T12:39:13+02:00;null;null;null;null;null;null;null;null
75;2020-10-09T12:39:14+02:00;null;null;null;null;null;null;null;null
76;2020-10-09T12:39:15+02:00;null;null;null;null;null;null;null;null
77;2020-10-09T12:39:16+02:00;0.0;0.0;0.0;0.0;null;null;0.0;0.0
78;2020-10-09T12:39:17+02:00;null;null;null;null;0.0;1.0;null;null
79;2020-10-09T12:39:18+02:00;null;null;null;null;null;null;null;null
80;2020-10-09T12:39:19+02:00;null;null;null;null;null;null;null;null
81;2020-10-09T12:39:20+02:00;null;null;null;null;null;null;0.0;0.0
82;2020-10-09T12:39:21+02:00;0.0;0.0;0.0;0.0;null;null;null;null
83;2020-10-09T12:39:22+02:00;null;null;null;null;0.0;1.0;null;null
