sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 4 - Node: 11880865";"APP: 4 - Node: 12";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13"
"2020-10-09T12:31:22+02:00";-29;-35;-52;-45;null;null;null;null
"2020-10-09T12:31:24+02:00";null;null;null;null;-47;-61;null;null
"2020-10-09T12:31:25+02:00";null;null;null;null;null;null;-48;-43
"2020-10-09T12:31:27+02:00";-29;-35;-52;-45;null;null;null;null
"2020-10-09T12:31:29+02:00";null;null;null;null;-47;-61;null;null
"2020-10-09T12:31:30+02:00";null;null;null;null;null;null;-48;-42
"2020-10-09T12:31:32+02:00";-29;-35;-51;-45;null;null;null;null
"2020-10-09T12:31:34+02:00";null;null;null;null;-47;-61;null;null
"2020-10-09T12:31:35+02:00";null;null;null;null;null;null;-46;-43
"2020-10-09T12:31:37+02:00";-29;-35;-52;-45;null;null;null;null
"2020-10-09T12:31:42+02:00";-28;-35;-50;-44;null;null;null;null
"2020-10-09T12:31:45+02:00";null;null;null;null;-47;-60;null;null
"2020-10-09T12:31:47+02:00";-30;-35;-50;-45;null;null;null;null
"2020-10-09T12:31:50+02:00";null;null;null;null;-47;-61;null;null
"2020-10-09T12:31:52+02:00";-30;-37;-52;-45;null;null;-48;-43
"2020-10-09T12:31:55+02:00";null;null;null;null;null;-61;null;null
"2020-10-09T12:31:56+02:00";null;null;null;null;-47;null;null;null
"2020-10-09T12:31:57+02:00";-29;-37;-50;-45;null;null;-45;-43
"2020-10-09T12:32:00+02:00";null;null;null;null;null;-62;null;null
"2020-10-09T12:32:01+02:00";null;null;null;null;-47;null;null;null
"2020-10-09T12:32:02+02:00";-29;-37;-52;-45;null;null;-48;-42
"2020-10-09T12:32:06+02:00";null;null;null;null;-46;-61;null;null
"2020-10-09T12:32:07+02:00";-27;-35;-50;-43;null;null;-46;-44
"2020-10-09T12:32:10+02:00";null;null;null;null;null;-60;null;null
"2020-10-09T12:32:11+02:00";null;null;null;null;-45;null;null;null
"2020-10-09T12:32:12+02:00";-29;-35;-50;-44;null;null;-46;null
"2020-10-09T12:32:13+02:00";-26;-37;null;null;null;null;null;-44
"2020-10-09T12:32:15+02:00";null;null;null;null;null;-61;null;null
"2020-10-09T12:32:16+02:00";null;null;null;null;-47;null;null;null
"2020-10-09T12:32:17+02:00";null;null;-52;-45;null;null;-47;-43
"2020-10-09T12:32:18+02:00";-29;-36;null;null;null;null;null;null
"2020-10-09T12:32:20+02:00";null;null;null;null;-46;-61;null;null
"2020-10-09T12:32:22+02:00";null;null;-50;-45;null;null;-49;null
"2020-10-09T12:32:23+02:00";-29;-37;null;null;null;null;null;-43
"2020-10-09T12:32:25+02:00";null;null;null;null;null;-60;null;null
"2020-10-09T12:32:26+02:00";null;null;null;null;-46;null;null;null
"2020-10-09T12:32:27+02:00";null;null;-50;-45;null;null;null;null
"2020-10-09T12:32:28+02:00";-30;-37;null;null;null;null;null;null
"2020-10-09T12:32:30+02:00";null;null;null;null;null;null;-48;-42
"2020-10-09T12:32:32+02:00";null;null;-50;-44;null;null;null;null
"2020-10-09T12:32:33+02:00";-29;-35;null;null;null;null;null;null
"2020-10-09T12:32:36+02:00";null;null;null;null;null;null;-46;-44
"2020-10-09T12:32:37+02:00";null;null;-52;-44;null;null;null;null
"2020-10-09T12:32:38+02:00";-25;-35;null;null;null;null;null;null
"2020-10-09T12:32:40+02:00";null;null;null;null;-46;-62;-48;-43
"2020-10-09T12:32:42+02:00";null;null;-52;-45;null;null;null;null
"2020-10-09T12:32:43+02:00";-29;-37;null;null;null;null;null;null
"2020-10-09T12:32:44+02:00";null;null;null;null;null;null;-49;-42
"2020-10-09T12:32:45+02:00";null;null;null;null;-45;-61;null;null
"2020-10-09T12:32:47+02:00";null;null;-52;-44;null;null;null;null
"2020-10-09T12:32:48+02:00";-29;-37;null;null;null;null;null;null
"2020-10-09T12:32:49+02:00";null;null;null;null;null;null;-46;-43
"2020-10-09T12:32:52+02:00";null;null;-50;-44;null;null;null;null
"2020-10-09T12:32:53+02:00";-29;-35;null;null;null;null;null;null
"2020-10-09T12:32:57+02:00";null;null;-50;-44;null;null;null;null
"2020-10-09T12:32:58+02:00";-29;-37;null;null;null;null;null;null
"2020-10-09T12:33:00+02:00";null;null;null;null;null;null;-46;-44
"2020-10-09T12:33:02+02:00";null;null;-50;-45;null;null;null;null
"2020-10-09T12:33:03+02:00";-29;-37;null;null;null;null;null;null
"2020-10-09T12:33:04+02:00";null;null;null;null;null;null;-47;-43
"2020-10-09T12:33:07+02:00";null;null;-52;-45;null;null;null;null
"2020-10-09T12:33:08+02:00";-29;-36;null;null;null;null;null;null
"2020-10-09T12:33:09+02:00";null;null;null;null;null;null;-46;-43
"2020-10-09T12:33:12+02:00";null;null;-51;-44;null;null;null;null
"2020-10-09T12:33:13+02:00";-29;-35;null;null;null;null;null;null
"2020-10-09T12:33:14+02:00";null;null;null;null;null;null;-49;null
"2020-10-09T12:33:15+02:00";null;null;null;null;null;null;null;-44
"2020-10-09T12:33:17+02:00";null;null;-49;-45;null;null;null;null
"2020-10-09T12:33:18+02:00";-29;-37;null;null;null;null;null;null
"2020-10-09T12:33:20+02:00";null;null;null;null;null;null;-45;-43
"2020-10-09T12:33:22+02:00";null;null;-52;-45;null;null;null;null
"2020-10-09T12:33:23+02:00";-25;-37;null;null;null;null;null;null
"2020-10-09T12:33:24+02:00";null;null;null;null;-45;-62;-46;-43
"2020-10-09T12:33:25+02:00";null;null;null;null;-45;-62;null;null
"2020-10-09T12:33:26+02:00";null;null;null;null;-45;-62;null;null
"2020-10-09T12:33:27+02:00";null;null;-52;-45;-47;-62;-45;-43
"2020-10-09T12:33:28+02:00";-28;-35;null;null;null;null;null;null
"2020-10-09T12:33:29+02:00";null;null;null;null;-48;-62;null;null
"2020-10-09T12:33:30+02:00";null;null;null;null;-46;-61;null;null
"2020-10-09T12:33:32+02:00";null;null;-52;-45;null;null;-48;-43
"2020-10-09T12:33:33+02:00";-28;-37;null;null;null;null;null;null
"2020-10-09T12:33:34+02:00";null;null;null;null;-46;-61;null;null
"2020-10-09T12:33:37+02:00";null;null;-52;-45;null;null;null;null
"2020-10-09T12:33:38+02:00";-28;-37;null;null;null;-62;-48;-44
"2020-10-09T12:33:39+02:00";-29;-36;null;null;-46;null;null;null
"2020-10-09T12:33:42+02:00";null;null;-52;-45;null;null;-49;null
"2020-10-09T12:33:43+02:00";null;null;null;null;-47;-61;null;-43
"2020-10-09T12:33:44+02:00";-29;-35;null;null;null;null;null;null
"2020-10-09T12:33:47+02:00";null;null;-50;-45;null;null;-46;null
"2020-10-09T12:33:48+02:00";null;null;null;null;-47;-62;null;-44
