sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 5 - Node: 12";"APP: 5 - Node: 5079035";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310"
"2020-09-16T11:42:55+02:00";60;82;null;null;null;null;null;null
"2020-09-16T11:42:56+02:00";59;152;null;null;null;null;null;null
"2020-09-16T11:43:01+02:00";55;127;34;66;null;null;null;null
"2020-09-16T11:43:02+02:00";null;null;60;90;null;null;null;null
"2020-09-16T11:43:06+02:00";39;99;null;null;null;null;null;null
"2020-09-16T11:43:07+02:00";null;null;56;86;null;null;null;null
"2020-09-16T11:43:11+02:00";27;159;null;null;null;null;null;null
"2020-09-16T11:43:12+02:00";null;null;70;68;null;null;null;null
"2020-09-16T11:43:16+02:00";37;123;null;null;null;null;null;null
"2020-09-16T11:43:17+02:00";null;null;22;94;null;null;null;null
"2020-09-16T11:43:21+02:00";54;151;null;null;null;null;null;null
"2020-09-16T11:43:22+02:00";null;null;26;88;null;null;null;null
"2020-09-16T11:43:26+02:00";39;147;null;null;null;null;null;null
"2020-09-16T11:43:27+02:00";null;null;58;100;null;null;null;null
"2020-09-16T11:43:31+02:00";28;129;null;null;null;null;null;null
"2020-09-16T11:43:32+02:00";null;null;25;86;null;null;null;null
"2020-09-16T11:43:36+02:00";21;124;null;null;null;null;null;null
"2020-09-16T11:43:37+02:00";null;null;20;81;null;null;null;null
"2020-09-16T11:43:41+02:00";22;127;null;null;null;null;null;null
"2020-09-16T11:43:42+02:00";null;null;56;74;48;127;null;null
"2020-09-16T11:43:44+02:00";null;null;null;null;null;null;25;63
"2020-09-16T11:43:46+02:00";42;151;null;null;null;null;null;null
"2020-09-16T11:43:47+02:00";null;null;55;90;null;null;null;null
"2020-09-16T11:43:48+02:00";null;null;null;null;59;43;null;null
"2020-09-16T11:43:49+02:00";null;null;null;null;null;null;78;46
"2020-09-16T11:43:51+02:00";51;121;null;null;null;null;null;null
"2020-09-16T11:43:52+02:00";null;null;56;102;null;null;null;null
"2020-09-16T11:43:53+02:00";null;null;null;null;65;85;null;null
"2020-09-16T11:43:54+02:00";null;null;null;null;null;null;56;47
"2020-09-16T11:43:56+02:00";35;129;null;null;null;null;null;null
"2020-09-16T11:43:57+02:00";null;null;68;98;null;null;null;null
"2020-09-16T11:43:58+02:00";null;null;37;74;127;45;null;null
"2020-09-16T11:43:59+02:00";null;null;null;null;null;null;35;45
"2020-09-16T11:44:01+02:00";23;128;null;null;null;null;null;null
"2020-09-16T11:44:03+02:00";null;null;52;86;45;61;null;null
"2020-09-16T11:44:04+02:00";null;null;null;null;null;null;24;46
"2020-09-16T11:44:06+02:00";24;151;null;null;null;null;null;null
"2020-09-16T11:44:08+02:00";null;null;55;81;60;25;null;null
"2020-09-16T11:44:09+02:00";null;null;null;null;null;null;124;49
"2020-09-16T11:44:11+02:00";53;127;null;null;null;null;null;null
"2020-09-16T11:44:13+02:00";null;null;23;96;64;56;null;null
"2020-09-16T11:44:14+02:00";null;null;null;null;null;null;128;98
"2020-09-16T11:44:16+02:00";25;171;null;null;null;null;null;null
"2020-09-16T11:44:18+02:00";null;null;38;81;42;123;null;null
"2020-09-16T11:44:19+02:00";null;null;null;null;null;null;34;67
"2020-09-16T11:44:21+02:00";25;123;null;null;null;null;null;null
