Time;Datetime;APP 1;APP 2;APP 3;APP 4
1;2020-10-09T12:38:00+02:00;1.29472;4.6771199999999995;0.005816;0.005816
2;2020-10-09T12:38:01+02:00;1.17376;4.54272;0.001968;0.002784
3;2020-10-09T12:38:02+02:00;1.17376;4.78912;0.002784;0.002784
4;2020-10-09T12:38:03+02:00;1.23648;4.33216;0.002784;0.002784
5;2020-10-09T12:38:04+02:00;1.17376;4.049919999999998;0.003824;0.000928
6;2020-10-09T12:38:05+02:00;1.17376;null;0.002784;0.002784
7;2020-10-09T12:38:06+02:00;1.17824;4.35008;0.001968;0.002784
8;2020-10-09T12:38:07+02:00;null;4.74432;0.002784;0.003824
9;2020-10-09T12:38:08+02:00;1.04832;4.72192;0.002784;0.003824
10;2020-10-09T12:38:09+02:00;1.29024;4.80704;0.003824;0.000928
11;2020-10-09T12:38:10+02:00;1.05728;3.81696;0.002784;0.002784
12;2020-10-09T12:38:11+02:00;1.17376;4.09472;0.001968;0.002784
13;2020-10-09T12:38:12+02:00;1.28576;5.1878400000000005;0.002784;0.003824
14;2020-10-09T12:38:13+02:00;1.17824;3.99168;0.002784;0.003824
15;2020-10-09T12:38:14+02:00;1.22304;4.5696;0.003824;0.000928
16;2020-10-09T12:38:15+02:00;1.1692799999999999;4.11712;0.002784;0.002784
17;2020-10-09T12:38:16+02:00;1.0528;4.13056;0.001968;0.002784
18;2020-10-09T12:38:17+02:00;1.1961600000000001;4.73984;0.002784;0.003824
19;2020-10-09T12:38:18+02:00;null;null;0.002784;0.003824
20;2020-10-09T12:38:19+02:00;1.10656;4.56064;0.006856;0.000928
21;2020-10-09T12:38:20+02:00;1.17824;4.3008000000000015;0.002784;0.002784
22;2020-10-09T12:38:21+02:00;1.28576;5.0982400000000005;0.005;0.002784
23;2020-10-09T12:38:22+02:00;null;null;0.002784;0.003824
24;2020-10-09T12:38:23+02:00;1.17376;4.2828800000000005;0.002784;0.003824
25;2020-10-09T12:38:24+02:00;1.05728;4.05888;0.005816;0.000928
26;2020-10-09T12:38:25+02:00;1.29024;4.48;0.002784;0.002784
27;2020-10-09T12:38:26+02:00;1.0528;null;0.00396;0.002784
28;2020-10-09T12:38:27+02:00;1.17824;3.99168;0.002784;0.006856
29;2020-10-09T12:38:28+02:00;1.29024;4.67264;0.002784;0.006856
30;2020-10-09T12:38:29+02:00;1.05728;3.9961599999999997;0.005816;0.000928
31;2020-10-09T12:38:30+02:00;1.29024;null;0.002784;0.002784
32;2020-10-09T12:38:31+02:00;null;4.43968;0.00396;0.002784
33;2020-10-09T12:38:32+02:00;1.0528;4.05888;0.0;0.005816
34;2020-10-09T12:38:33+02:00;1.29472;4.5964800000000015;0.005568;0.005816
35;2020-10-09T12:38:34+02:00;1.17376;4.62336;0.005816;0.000928
36;2020-10-09T12:38:35+02:00;1.17376;4.55168;0.002784;0.002784
37;2020-10-09T12:38:36+02:00;null;null;0.003032;0.002784
38;2020-10-09T12:38:37+02:00;1.0528;3.79456;0.003712;0.005816
39;2020-10-09T12:38:38+02:00;1.05728;4.5651199999999985;0.002784;0.005816
40;2020-10-09T12:38:39+02:00;1.17376;4.4665599999999985;0.005816;0.000928
41;2020-10-09T12:38:40+02:00;null;null;0.003824;0.002784
42;2020-10-09T12:38:41+02:00;1.29472;4.85184;0.00396;0.002784
43;2020-10-09T12:38:42+02:00;1.06176;4.28736;0.002784;0.005816
44;2020-10-09T12:38:43+02:00;1.28576;4.53824;0.003824;0.005816
45;2020-10-09T12:38:44+02:00;1.05728;4.22464;0.002784;0.000928
46;2020-10-09T12:38:45+02:00;1.29024;4.77568;0.003824;0.002784
47;2020-10-09T12:38:46+02:00;1.0528;4.4934400000000005;0.000928;0.002784
48;2020-10-09T12:38:47+02:00;1.29472;4.62784;0.002784;0.005816
49;2020-10-09T12:38:48+02:00;1.05728;4.35456;0.003824;0.006856
50;2020-10-09T12:38:49+02:00;1.17376;4.29632;0.0;0.001968
51;2020-10-09T12:38:50+02:00;1.29024;5.04896;0.006607999999999999;0.002784
52;2020-10-09T12:38:51+02:00;1.0528;4.01408;0.000928;0.002784
53;2020-10-09T12:38:52+02:00;1.2006400000000002;4.1753599999999995;0.0;0.002784
54;2020-10-09T12:38:53+02:00;null;null;0.004752;0.003824
55;2020-10-09T12:38:54+02:00;1.17376;4.1216;0.002784;0.001968
56;2020-10-09T12:38:55+02:00;null;4.27392;0.006607999999999999;0.002784
57;2020-10-09T12:38:56+02:00;1.29472;4.7084800000000016;0.001856;0.002784
58;2020-10-09T12:38:57+02:00;1.1692799999999999;4.37696;0.002784;0.002784
59;2020-10-09T12:38:58+02:00;1.17376;4.53824;0.003824;0.003824
60;2020-10-09T12:38:59+02:00;1.29024;3.8931199999999997;0.002784;0.001968
61;2020-10-09T12:39:00+02:00;1.05728;4.148479999999998;0.006856;0.002784
62;2020-10-09T12:39:01+02:00;1.1692799999999999;4.40832;0.0;0.002784
63;2020-10-09T12:39:02+02:00;1.17824;4.31424;0.001856;0.000928
64;2020-10-09T12:39:03+02:00;1.17376;4.6905600000000005;0.006856;0.003824
65;2020-10-09T12:39:04+02:00;1.29024;4.51136;0.003712;0.003824
66;2020-10-09T12:39:05+02:00;1.05728;4.04544;0.005816;0.002784
67;2020-10-09T12:39:06+02:00;null;null;0.002784;0.002784
68;2020-10-09T12:39:07+02:00;1.1692799999999999;4.49792;0.000928;0.000928
69;2020-10-09T12:39:08+02:00;1.29472;4.60992;0.005816;0.006856
70;2020-10-09T12:39:09+02:00;1.05728;3.97824;0.002784;0.006856
71;2020-10-09T12:39:10+02:00;1.29024;4.90112;0.005816;0.002784
72;2020-10-09T12:39:11+02:00;1.1692799999999999;4.44864;0.003712;0.002784
73;2020-10-09T12:39:12+02:00;1.05728;3.87072;0.0;0.000928
74;2020-10-09T12:39:13+02:00;null;null;0.005816;0.005816
75;2020-10-09T12:39:14+02:00;1.29024;4.4665599999999985;0.002784;0.005816
76;2020-10-09T12:39:15+02:00;1.25888;4.811520000000002;0.006744;0.002784
77;2020-10-09T12:39:16+02:00;1.20512;4.64128;0.002784;0.002784
78;2020-10-09T12:39:17+02:00;1.05728;3.92;0.000928;0.000928
79;2020-10-09T12:39:18+02:00;1.29024;null;0.005816;0.005816
80;2020-10-09T12:39:19+02:00;1.05728;4.1036800000000015;0.002784;0.005816
81;2020-10-09T12:39:20+02:00;1.29024;4.8608;0.005816;0.002784
82;2020-10-09T12:39:21+02:00;1.0528;4.1888000000000005;0.002784;0.002784
83;2020-10-09T12:39:22+02:00;null;null;0.004752;0.000928
84;2020-10-09T12:39:23+02:00;1.29472;4.93696;0.005816;0.005816
85;2020-10-09T12:39:24+02:00;1.29024;4.7084800000000016;0.0;0.005816
86;2020-10-09T12:39:25+02:00;0.6316799999999999;3.66912;0.002784;0.002784
87;2020-10-09T12:39:26+02:00;null;5.06688;0.00464;0.002784
88;2020-10-09T12:39:27+02:00;1.17376;5.13856;0.0020800000000000003;0.000928
89;2020-10-09T12:39:28+02:00;1.0752000000000002;4.959359999999998;0.002784;0.005816
