sep=;
"Time";"APP: 3";"APP: 4";"APP: 2";"APP: 1"
"2020-10-09T12:31:22+02:00";1.6;1.6;null;null
"2020-10-09T12:31:24+02:00";null;null;2;null
"2020-10-09T12:31:25+02:00";null;null;null;146.9
"2020-10-09T12:31:27+02:00";0.2;1.6;null;null
"2020-10-09T12:31:29+02:00";null;null;2.3;null
"2020-10-09T12:31:30+02:00";null;null;null;146.9
"2020-10-09T12:31:32+02:00";0.2;1.8;null;null
"2020-10-09T12:31:34+02:00";null;null;2.5;null
"2020-10-09T12:31:35+02:00";null;null;null;147
"2020-10-09T12:31:37+02:00";0.2;1.4;null;null
"2020-10-09T12:31:42+02:00";0.2;0.8;null;null
"2020-10-09T12:31:45+02:00";null;null;2.9;null
"2020-10-09T12:31:47+02:00";0.1;0.8;null;null
"2020-10-09T12:31:50+02:00";null;null;2.8;null
"2020-10-09T12:31:52+02:00";1.6;0.8;null;153.9
"2020-10-09T12:31:55+02:00";null;null;13.5;null
"2020-10-09T12:31:56+02:00";null;null;13.5;null
"2020-10-09T12:31:57+02:00";1.8;0.7;null;142.8
"2020-10-09T12:32:00+02:00";null;null;14.1;null
"2020-10-09T12:32:01+02:00";null;null;14.1;null
"2020-10-09T12:32:02+02:00";1.8;0.6;null;83.8
"2020-10-09T12:32:06+02:00";null;null;15.8;null
"2020-10-09T12:32:07+02:00";1.8;1.8;null;12.6
"2020-10-09T12:32:10+02:00";null;null;16.7;null
"2020-10-09T12:32:11+02:00";null;null;16.7;null
"2020-10-09T12:32:12+02:00";1.8;3.2;null;16
"2020-10-09T12:32:13+02:00";1.9;null;null;16
"2020-10-09T12:32:15+02:00";null;null;17;null
"2020-10-09T12:32:16+02:00";null;null;17;null
"2020-10-09T12:32:17+02:00";null;3.2;null;20.1
"2020-10-09T12:32:18+02:00";2;null;null;null
"2020-10-09T12:32:20+02:00";null;null;17.6;null
"2020-10-09T12:32:22+02:00";null;3;null;21.5
"2020-10-09T12:32:23+02:00";2;null;null;21.5
"2020-10-09T12:32:25+02:00";null;null;17.5;null
"2020-10-09T12:32:26+02:00";null;null;17.5;null
"2020-10-09T12:32:27+02:00";null;2.8;null;null
"2020-10-09T12:32:28+02:00";2;null;null;null
"2020-10-09T12:32:30+02:00";null;null;null;535.2
"2020-10-09T12:32:32+02:00";null;2.9;null;null
"2020-10-09T12:32:33+02:00";1.1;null;null;null
"2020-10-09T12:32:36+02:00";null;null;null;940.2
"2020-10-09T12:32:37+02:00";null;3;null;null
"2020-10-09T12:32:38+02:00";0.4;null;null;null
"2020-10-09T12:32:40+02:00";null;null;236.7;947.7
"2020-10-09T12:32:42+02:00";null;3;null;null
"2020-10-09T12:32:43+02:00";0.2;null;null;null
"2020-10-09T12:32:44+02:00";null;null;null;993.4
"2020-10-09T12:32:45+02:00";null;null;287.8;null
"2020-10-09T12:32:47+02:00";null;3;null;null
"2020-10-09T12:32:48+02:00";0.2;null;null;null
"2020-10-09T12:32:49+02:00";null;null;null;994.6
"2020-10-09T12:32:52+02:00";null;3.2;null;null
"2020-10-09T12:32:53+02:00";0.2;null;null;null
"2020-10-09T12:32:57+02:00";null;2;null;null
"2020-10-09T12:32:58+02:00";0.2;null;null;null
"2020-10-09T12:33:00+02:00";null;null;null;1028.5
"2020-10-09T12:33:02+02:00";null;0.6;null;null
"2020-10-09T12:33:03+02:00";0.1;null;null;null
"2020-10-09T12:33:04+02:00";null;null;null;1054.1
"2020-10-09T12:33:07+02:00";null;0.6;null;null
"2020-10-09T12:33:08+02:00";0;null;null;null
"2020-10-09T12:33:09+02:00";null;null;null;1051.8
"2020-10-09T12:33:12+02:00";null;0.7;null;null
"2020-10-09T12:33:13+02:00";0.1;null;null;null
"2020-10-09T12:33:14+02:00";null;null;null;1049.1
"2020-10-09T12:33:15+02:00";null;null;null;1049.1
"2020-10-09T12:33:17+02:00";null;0.9;null;null
"2020-10-09T12:33:18+02:00";0.2;null;null;null
"2020-10-09T12:33:20+02:00";null;null;null;1056.2
"2020-10-09T12:33:22+02:00";null;0.9;null;null
"2020-10-09T12:33:23+02:00";0.2;null;null;null
"2020-10-09T12:33:24+02:00";null;null;348.5;542.7
"2020-10-09T12:33:25+02:00";null;null;491.6;null
"2020-10-09T12:33:26+02:00";null;null;869.4;null
"2020-10-09T12:33:27+02:00";null;0.8;909.6;224.5
"2020-10-09T12:33:28+02:00";0.2;null;null;null
"2020-10-09T12:33:29+02:00";null;null;1235.5;null
"2020-10-09T12:33:30+02:00";null;null;1572.6;null
"2020-10-09T12:33:32+02:00";null;0.8;null;220.9
"2020-10-09T12:33:33+02:00";0.2;null;null;null
"2020-10-09T12:33:34+02:00";null;null;1690.5;null
"2020-10-09T12:33:37+02:00";null;0.8;null;null
"2020-10-09T12:33:38+02:00";0.2;null;1640.9;168.4
"2020-10-09T12:33:39+02:00";0.3;null;1640.9;null
"2020-10-09T12:33:42+02:00";null;0.6;null;166.7
"2020-10-09T12:33:43+02:00";null;null;1639.8;166.7
"2020-10-09T12:33:44+02:00";0.4;null;null;null
"2020-10-09T12:33:47+02:00";null;0.6;null;135.7
"2020-10-09T12:33:48+02:00";null;null;1572.8;135.7
