sep=;
"Time";"APP: 1";"APP: 2"
"2020-09-16T11:24:59+02:00";null;null
"2020-09-16T11:25:04+02:00";4;null
"2020-09-16T11:25:10+02:00";85;null
"2020-09-16T11:25:11+02:00";null;null
"2020-09-16T11:25:15+02:00";61;null
"2020-09-16T11:25:16+02:00";null;2
"2020-09-16T11:25:20+02:00";57;null
"2020-09-16T11:25:21+02:00";null;33
"2020-09-16T11:25:25+02:00";53;null
"2020-09-16T11:25:26+02:00";null;41
"2020-09-16T11:25:30+02:00";50.666666666666664;null
"2020-09-16T11:25:31+02:00";null;32.25
"2020-09-16T11:25:35+02:00";49.285714285714285;null
"2020-09-16T11:25:36+02:00";null;25.8
"2020-09-16T11:25:40+02:00";44.25;null
"2020-09-16T11:25:41+02:00";null;23.166666666666668
"2020-09-16T11:25:45+02:00";41;null
"2020-09-16T11:25:46+02:00";null;21.428571428571427
"2020-09-16T11:25:50+02:00";38.9;null
"2020-09-16T11:25:51+02:00";null;27.875
"2020-09-16T11:25:55+02:00";40.9;null
"2020-09-16T11:25:56+02:00";null;34.888888888888886
"2020-09-16T11:26:00+02:00";24.6;null
"2020-09-16T11:26:01+02:00";null;33.7
"2020-09-16T11:26:05+02:00";25.9;null
"2020-09-16T11:26:06+02:00";null;35.7
"2020-09-16T11:26:10+02:00";23.7;null
"2020-09-16T11:26:11+02:00";null;34.1
"2020-09-16T11:26:15+02:00";20;null
"2020-09-16T11:26:16+02:00";null;30.1
"2020-09-16T11:26:20+02:00";18.9;null
"2020-09-16T11:26:21+02:00";null;30.6
"2020-09-16T11:26:25+02:00";16.2;null
"2020-09-16T11:26:26+02:00";null;30.9
"2020-09-16T11:26:30+02:00";18.7;null
"2020-09-16T11:26:31+02:00";null;30.7
"2020-09-16T11:26:35+02:00";19.8;null
"2020-09-16T11:26:36+02:00";null;32.4
"2020-09-16T11:26:40+02:00";18.9;null
"2020-09-16T11:26:41+02:00";null;28.5
"2020-09-16T11:26:45+02:00";16.6;null
"2020-09-16T11:26:46+02:00";null;21.7
"2020-09-16T11:26:50+02:00";17.3;null
"2020-09-16T11:26:51+02:00";null;19.6
"2020-09-16T11:26:55+02:00";16.2;null
"2020-09-16T11:26:56+02:00";null;20.2
"2020-09-16T11:27:00+02:00";14.4;null
"2020-09-16T11:27:01+02:00";null;15.8
"2020-09-16T11:27:05+02:00";16.2;null
"2020-09-16T11:27:06+02:00";null;14.7
"2020-09-16T11:27:10+02:00";14.4;null
"2020-09-16T11:27:11+02:00";null;18.6
"2020-09-16T11:27:15+02:00";15.8;null
"2020-09-16T11:27:16+02:00";null;22.7
"2020-09-16T11:27:20+02:00";15.3;null
"2020-09-16T11:27:21+02:00";null;22.5
"2020-09-16T11:27:25+02:00";16.2;null
"2020-09-16T11:27:26+02:00";null;19.8
"2020-09-16T11:27:30+02:00";17.4;null
"2020-09-16T11:27:31+02:00";null;18.5
"2020-09-16T11:27:35+02:00";17.8;null
"2020-09-16T11:27:36+02:00";null;18.2
"2020-09-16T11:27:40+02:00";26.6;null
"2020-09-16T11:27:41+02:00";null;18.6
"2020-09-16T11:27:45+02:00";33.2;null
"2020-09-16T11:27:46+02:00";null;20.5
"2020-09-16T11:27:50+02:00";32.7;25.9
"2020-09-16T11:27:51+02:00";null;25.9
"2020-09-16T11:27:54+02:00";32.2;null
"2020-09-16T11:27:55+02:00";32.2;28
"2020-09-16T11:27:56+02:00";null;28
"2020-09-16T11:27:59+02:00";47.7;null
"2020-09-16T11:28:00+02:00";null;40.2
"2020-09-16T11:28:04+02:00";45.5;null
"2020-09-16T11:28:05+02:00";null;37.3
"2020-09-16T11:28:09+02:00";43.3;null
"2020-09-16T11:28:10+02:00";null;37.4
"2020-09-16T11:28:14+02:00";39.8;null
"2020-09-16T11:28:15+02:00";null;39.4
