sep=;
"Time";"APP: 1";"APP: 2"
"2020-09-16T11:24:59+02:00";2;null
"2020-09-16T11:25:04+02:00";6;null
"2020-09-16T11:25:10+02:00";172;null
"2020-09-16T11:25:11+02:00";null;148
"2020-09-16T11:25:15+02:00";185;null
"2020-09-16T11:25:16+02:00";null;150
"2020-09-16T11:25:20+02:00";140;null
"2020-09-16T11:25:21+02:00";null;214
"2020-09-16T11:25:25+02:00";177;null
"2020-09-16T11:25:26+02:00";null;157
"2020-09-16T11:25:30+02:00";138;null
"2020-09-16T11:25:31+02:00";null;151
"2020-09-16T11:25:35+02:00";179;null
"2020-09-16T11:25:36+02:00";null;151
"2020-09-16T11:25:40+02:00";170;null
"2020-09-16T11:25:41+02:00";null;141
"2020-09-16T11:25:45+02:00";185;null
"2020-09-16T11:25:46+02:00";null;152
"2020-09-16T11:25:50+02:00";165;null
"2020-09-16T11:25:51+02:00";null;225
"2020-09-16T11:25:55+02:00";141;null
"2020-09-16T11:25:56+02:00";null;134
"2020-09-16T11:26:00+02:00";144;null
"2020-09-16T11:26:01+02:00";null;157
"2020-09-16T11:26:05+02:00";170;null
"2020-09-16T11:26:06+02:00";null;135
"2020-09-16T11:26:10+02:00";193;null
"2020-09-16T11:26:11+02:00";null;183
"2020-09-16T11:26:15+02:00";193;null
"2020-09-16T11:26:16+02:00";null;166
"2020-09-16T11:26:20+02:00";165;null
"2020-09-16T11:26:21+02:00";null;177
"2020-09-16T11:26:25+02:00";179;null
"2020-09-16T11:26:26+02:00";null;174
"2020-09-16T11:26:30+02:00";145;null
"2020-09-16T11:26:31+02:00";null;166
"2020-09-16T11:26:35+02:00";171;null
"2020-09-16T11:26:36+02:00";null;138
"2020-09-16T11:26:40+02:00";182;null
"2020-09-16T11:26:41+02:00";null;172
"2020-09-16T11:26:45+02:00";181;null
"2020-09-16T11:26:46+02:00";null;195
"2020-09-16T11:26:50+02:00";191;null
"2020-09-16T11:26:51+02:00";null;193
"2020-09-16T11:26:55+02:00";176;null
"2020-09-16T11:26:56+02:00";null;165
"2020-09-16T11:27:00+02:00";171;null
"2020-09-16T11:27:01+02:00";null;161
"2020-09-16T11:27:05+02:00";189;null
"2020-09-16T11:27:06+02:00";null;155
"2020-09-16T11:27:10+02:00";179;null
"2020-09-16T11:27:11+02:00";null;205
"2020-09-16T11:27:15+02:00";151;null
"2020-09-16T11:27:16+02:00";null;161
"2020-09-16T11:27:20+02:00";180;null
"2020-09-16T11:27:21+02:00";null;155
"2020-09-16T11:27:25+02:00";145;null
"2020-09-16T11:27:26+02:00";null;154
"2020-09-16T11:27:30+02:00";168;null
"2020-09-16T11:27:31+02:00";null;133
"2020-09-16T11:27:35+02:00";163;null
"2020-09-16T11:27:36+02:00";null;153
"2020-09-16T11:27:40+02:00";261;null
"2020-09-16T11:27:41+02:00";null;159
"2020-09-16T11:27:45+02:00";180;null
"2020-09-16T11:27:46+02:00";null;206
"2020-09-16T11:27:50+02:00";180;148
"2020-09-16T11:27:51+02:00";null;148
"2020-09-16T11:27:54+02:00";167;null
"2020-09-16T11:27:55+02:00";167;175
"2020-09-16T11:27:56+02:00";null;175
"2020-09-16T11:27:59+02:00";2;null
"2020-09-16T11:28:00+02:00";null;3
"2020-09-16T11:28:04+02:00";8;null
"2020-09-16T11:28:05+02:00";null;18
"2020-09-16T11:28:09+02:00";1;null
"2020-09-16T11:28:10+02:00";null;11
"2020-09-16T11:28:14+02:00";1;null
"2020-09-16T11:28:15+02:00";null;32
"2020-09-16T11:28:19+02:00";1;null
"2020-09-16T11:28:20+02:00";null;37
"2020-09-16T11:28:24+02:00";3;null
"2020-09-16T11:28:25+02:00";null;6
"2020-09-16T11:28:29+02:00";5;null
"2020-09-16T11:28:30+02:00";null;20
"2020-09-16T11:28:34+02:00";7;null
"2020-09-16T11:28:35+02:00";null;37
"2020-09-16T11:28:39+02:00";4;null
"2020-09-16T11:28:40+02:00";null;26
"2020-09-16T11:28:44+02:00";10;null
"2020-09-16T11:28:45+02:00";null;30
"2020-09-16T11:28:49+02:00";13;null
"2020-09-16T11:28:50+02:00";null;29
"2020-09-16T11:28:54+02:00";8;null
"2020-09-16T11:28:55+02:00";null;42
"2020-09-16T11:28:59+02:00";11;null
"2020-09-16T11:29:00+02:00";null;34
"2020-09-16T11:29:04+02:00";5;null
"2020-09-16T11:29:05+02:00";null;28
"2020-09-16T11:29:09+02:00";18;null
"2020-09-16T11:29:10+02:00";null;18
"2020-09-16T11:29:14+02:00";5;null
"2020-09-16T11:29:15+02:00";null;39
"2020-09-16T11:29:19+02:00";7;null
"2020-09-16T11:29:20+02:00";null;44
"2020-09-16T11:29:24+02:00";13;null
"2020-09-16T11:29:25+02:00";null;33
"2020-09-16T11:29:30+02:00";188;null
"2020-09-16T11:29:31+02:00";null;297
"2020-09-16T11:29:35+02:00";192;null
"2020-09-16T11:29:36+02:00";null;229
"2020-09-16T11:29:40+02:00";167;null
"2020-09-16T11:29:41+02:00";null;126
"2020-09-16T11:29:45+02:00";207;null
"2020-09-16T11:29:46+02:00";null;152
"2020-09-16T11:29:50+02:00";180;null
"2020-09-16T11:29:51+02:00";null;188
"2020-09-16T11:29:55+02:00";171;null
"2020-09-16T11:29:56+02:00";null;265
"2020-09-16T11:30:01+02:00";null;145
"2020-09-16T11:30:06+02:00";null;224
