Time;Datetime;STA 2;STA 7;STA 3;STA 5;STA 8;STA 1;STA 4;STA 6
1;2020-09-16T11:24:59+02:00;5693.0;3392.0;3468.0;1995.0;3315.0;9763.0;305047.0;990273.0
2;2020-09-16T11:25:00+02:00;5693.0;null;3468.0;1995.0;null;9763.0;null;null
3;2020-09-16T11:25:01+02:00;5693.0;3402.0;3468.0;1995.0;3315.0;9763.0;305309.0;990274.0
4;2020-09-16T11:25:02+02:00;5697.0;3402.0;3469.0;1995.0;3315.0;9763.0;305571.0;990274.0
5;2020-09-16T11:25:03+02:00;5697.0;3402.0;3469.0;1995.0;3315.0;9766.0;305833.0;990274.0
6;2020-09-16T11:25:04+02:00;5697.0;3402.0;3469.0;1995.0;3315.0;9766.0;306095.0;990274.0
7;2020-09-16T11:25:05+02:00;5697.0;3402.0;3469.0;1995.0;3315.0;9766.0;306361.0;990274.0
8;2020-09-16T11:25:06+02:00;5697.0;3411.0;3469.0;1995.0;3315.0;9766.0;306623.0;990278.0
9;2020-09-16T11:25:07+02:00;5701.0;3413.0;3470.0;1995.0;3349.0;9766.0;306861.0;990596.0
10;2020-09-16T11:25:08+02:00;5701.0;3413.0;3470.0;1995.0;3349.0;9771.0;307149.0;991596.0
11;2020-09-16T11:25:09+02:00;5701.0;3413.0;3470.0;1995.0;3349.0;9771.0;307411.0;992596.0
12;2020-09-16T11:25:10+02:00;5701.0;3413.0;3470.0;1995.0;3349.0;9771.0;307670.0;993596.0
13;2020-09-16T11:25:11+02:00;5701.0;3417.0;3470.0;1995.0;3349.0;9771.0;307914.0;994601.0
14;2020-09-16T11:25:12+02:00;5706.0;3422.0;3474.0;1995.0;3353.0;9771.0;308175.0;995601.0
15;2020-09-16T11:25:13+02:00;5706.0;3422.0;3474.0;1995.0;3358.0;9774.0;308464.0;996615.0
16;2020-09-16T11:25:14+02:00;5706.0;3422.0;3474.0;1995.0;3358.0;9774.0;308726.0;997662.0
17;2020-09-16T11:25:15+02:00;5706.0;3426.0;3474.0;1995.0;3358.0;9774.0;null;998701.0
