sep=;
"Time";"04:D3:B0:87:32:37";"3C:6A:A7:B5:44:B5";"3C:6A:A7:B5:49:A1";"04:D3:B0:87:2E:5E";"04:D3:B0:87:32:96";"3C:6A:A7:4D:7F:FB";"3C:6A:A7:A0:E1:BE";"3C:6A:A7:B5:49:42"
"2020-09-16T11:24:01+02:00";5661;3362;3429;null;null;null;null;null
"2020-09-16T11:24:02+02:00";5663;null;3429;1985;3306;9726;304947;990221
"2020-09-16T11:24:03+02:00";5663;3362;3429;1985;3306;9729;304951;990221
"2020-09-16T11:24:04+02:00";null;3362;3429;1985;3306;9729;304951;990221
"2020-09-16T11:24:05+02:00";5663;3362;null;1985;3306;null;304951;990225
"2020-09-16T11:24:06+02:00";5663;3362;3434;1985;3306;9729;304951;990225
"2020-09-16T11:24:07+02:00";5664;3362;3434;1985;3306;9729;304951;990225
"2020-09-16T11:24:08+02:00";5664;3362;3434;1985;3306;9730;304954;990225
"2020-09-16T11:24:09+02:00";5664;3362;3434;1985;3306;9730;304954;990225
"2020-09-16T11:24:10+02:00";null;3362;null;1985;3306;null;304954;990228
"2020-09-16T11:24:11+02:00";5664;3362;3437;1985;3306;9730;304954;990228
"2020-09-16T11:24:12+02:00";5665;3362;3437;1985;3306;9730;304954;990228
"2020-09-16T11:24:13+02:00";5665;3362;3437;1985;3306;9731;304959;990228
"2020-09-16T11:24:14+02:00";5665;3362;3437;1985;3306;null;304959;990228
"2020-09-16T11:24:15+02:00";null;null;null;1985;3306;9731;304959;990229
"2020-09-16T11:24:16+02:00";5665;3362;3440;1985;3306;9731;304959;990229
"2020-09-16T11:24:17+02:00";5669;3362;3441;1985;3306;9731;304959;990229
"2020-09-16T11:24:18+02:00";null;null;3441;1985;3306;9735;304962;990229
"2020-09-16T11:24:19+02:00";5669;3362;3441;1985;3306;9735;304962;990229
"2020-09-16T11:24:20+02:00";5669;3362;null;1985;3306;null;304962;990230
"2020-09-16T11:24:21+02:00";5669;3362;3441;1985;3306;9735;304962;990230
"2020-09-16T11:24:22+02:00";5672;3362;3441;1985;3306;9735;304962;990230
"2020-09-16T11:24:23+02:00";5672;3362;3442;1985;3306;9738;304965;990230
"2020-09-16T11:24:24+02:00";5672;3362;3442;1985;3306;null;304966;990230
"2020-09-16T11:24:25+02:00";5672;3362;null;1985;3306;9738;304966;990234
"2020-09-16T11:24:26+02:00";5672;3362;3442;1985;3306;9738;304966;990234
"2020-09-16T11:24:27+02:00";5675;3362;3442;1985;3306;9738;304966;990234
"2020-09-16T11:24:28+02:00";5675;3362;3443;1985;3306;9741;304966;990234
"2020-09-16T11:24:29+02:00";5675;3362;3443;1985;3306;9741;304967;990234
"2020-09-16T11:24:30+02:00";null;3362;null;1985;3306;9741;304967;990237
"2020-09-16T11:24:31+02:00";5675;3362;3443;1985;null;9741;null;null
"2020-09-16T11:24:32+02:00";5681;3362;3446;1989;3306;9744;304967;990237
"2020-09-16T11:24:33+02:00";5681;3362;3447;1989;3310;9747;304967;990240
"2020-09-16T11:24:34+02:00";5684;3368;3450;1992;3313;9750;304982;990243
"2020-09-16T11:24:35+02:00";null;null;null;1992;3313;null;304986;990246
"2020-09-16T11:24:36+02:00";5684;3368;3450;1992;3313;9750;304989;990246
"2020-09-16T11:24:37+02:00";5687;3368;3450;1992;3313;9750;304989;990246
"2020-09-16T11:24:38+02:00";null;3371;3456;1992;3313;null;304989;990246
"2020-09-16T11:24:39+02:00";5689;null;null;1994;3314;9756;304993;990261
"2020-09-16T11:24:40+02:00";5689;3371;3456;1994;3315;9756;304993;990267
"2020-09-16T11:24:41+02:00";5690;3371;3456;1994;3315;9756;304993;990267
"2020-09-16T11:24:42+02:00";5690;3371;null;1994;3315;9756;304993;990267
"2020-09-16T11:24:43+02:00";5690;3371;3459;1994;3315;9757;304993;990267
"2020-09-16T11:24:44+02:00";5690;3371;3459;1994;3315;9757;304997;990267
"2020-09-16T11:24:45+02:00";5690;3371;3459;1994;3315;9757;304997;990271
"2020-09-16T11:24:46+02:00";5690;3371;3459;1994;3315;9757;304997;990271
"2020-09-16T11:24:47+02:00";5691;3371;3459;1994;3315;9757;304997;990271
"2020-09-16T11:24:48+02:00";null;3371;3462;1994;3315;9758;304997;990271
"2020-09-16T11:24:49+02:00";5691;3371;null;1994;3315;9758;305000;990271
"2020-09-16T11:24:50+02:00";5691;null;3462;1994;3315;9758;305000;990272
"2020-09-16T11:24:51+02:00";5691;3371;3462;1994;3315;9758;305000;990272
"2020-09-16T11:24:52+02:00";5692;3371;3462;1994;3315;9758;305000;990272
"2020-09-16T11:24:53+02:00";5692;null;3465;1994;3315;9759;305000;990272
"2020-09-16T11:24:54+02:00";5692;3371;3465;1994;3315;9759;305003;990272
"2020-09-16T11:24:55+02:00";null;null;null;1994;3315;9759;305003;990273
"2020-09-16T11:24:56+02:00";5692;3371;3465;1994;3315;9759;305003;990273
"2020-09-16T11:24:57+02:00";5693;3371;3468;1994;3315;null;305003;990273
"2020-09-16T11:24:58+02:00";5693;3371;null;1994;3315;9763;305003;990273
"2020-09-16T11:24:59+02:00";5693;3392;3468;1995;3315;9763;305047;990273
"2020-09-16T11:25:00+02:00";5693;null;3468;1995;null;9763;null;null
"2020-09-16T11:25:01+02:00";5693;3402;3468;1995;3315;9763;305309;990274
"2020-09-16T11:25:02+02:00";5697;3402;3469;1995;3315;9763;305571;990274
"2020-09-16T11:25:03+02:00";5697;3402;3469;1995;3315;9766;305833;990274
"2020-09-16T11:25:04+02:00";5697;3402;3469;1995;3315;9766;306095;990274
"2020-09-16T11:25:05+02:00";5697;3402;3469;1995;3315;9766;306361;990274
"2020-09-16T11:25:06+02:00";5697;3411;3469;1995;3315;9766;306623;990278
"2020-09-16T11:25:07+02:00";5701;3413;3470;1995;3349;9766;306861;990596
"2020-09-16T11:25:08+02:00";5701;3413;3470;1995;3349;9771;307149;991596
"2020-09-16T11:25:09+02:00";5701;3413;3470;1995;3349;9771;307411;992596
"2020-09-16T11:25:10+02:00";5701;3413;3470;1995;3349;9771;307670;993596
"2020-09-16T11:25:11+02:00";5701;3417;3470;1995;3349;9771;307914;994601
"2020-09-16T11:25:12+02:00";5706;3422;3474;1995;3353;9771;308175;995601
"2020-09-16T11:25:13+02:00";5706;3422;3474;1995;3358;9774;308464;996615
"2020-09-16T11:25:14+02:00";5706;3422;3474;1995;3358;9774;308726;997662
"2020-09-16T11:25:15+02:00";5706;3426;3474;1995;3358;9774;null;998701
"2020-09-16T11:25:16+02:00";5706;3431;3474;1995;3362;9774;309226;999601
"2020-09-16T11:25:17+02:00";5709;3431;3475;1995;3367;9774;309487;1000604
"2020-09-16T11:25:18+02:00";5709;3431;3475;1995;3367;9778;309775;1001688
"2020-09-16T11:25:19+02:00";5709;3431;3475;1995;3367;9778;310300;1002604
"2020-09-16T11:25:20+02:00";5709;3435;3475;1995;3367;9778;null;null
"2020-09-16T11:25:21+02:00";5709;null;3475;1995;null;9778;310553;1004604
"2020-09-16T11:25:22+02:00";5712;3440;3479;1995;3368;9778;310825;1005608
"2020-09-16T11:25:23+02:00";5712;3440;3479;1995;3376;9780;311323;1006683
"2020-09-16T11:25:24+02:00";null;3440;null;1995;3376;9780;311585;1008607
"2020-09-16T11:25:25+02:00";5712;3445;3479;1995;3376;9780;311874;1009607
