Time;Datetime;STA 2;STA 7;STA 3;STA 5;STA 8;STA 1;STA 4;STA 6
1;2020-09-16T11:24:59+02:00;3465.0;306243.0;5256.0;2963.0;991562.0;5924.0;1061.0;902.0
2;2020-09-16T11:25:00+02:00;3465.0;null;5256.0;2963.0;null;5924.0;null;null
3;2020-09-16T11:25:01+02:00;3465.0;306511.0;5256.0;2963.0;991562.0;5924.0;1061.0;903.0
4;2020-09-16T11:25:02+02:00;3469.0;306773.0;5257.0;2963.0;991562.0;5924.0;1061.0;903.0
5;2020-09-16T11:25:03+02:00;3469.0;307035.0;5257.0;2963.0;991562.0;5927.0;1061.0;903.0
6;2020-09-16T11:25:04+02:00;3469.0;307297.0;5257.0;2963.0;991562.0;5927.0;1061.0;903.0
7;2020-09-16T11:25:05+02:00;3469.0;307560.0;5257.0;2963.0;991562.0;5927.0;1064.0;903.0
8;2020-09-16T11:25:06+02:00;3469.0;307827.0;5257.0;2963.0;991562.0;5927.0;1064.0;907.0
9;2020-09-16T11:25:07+02:00;3473.0;308063.0;5258.0;2963.0;991892.0;5927.0;1069.0;923.0
10;2020-09-16T11:25:08+02:00;3473.0;308351.0;5258.0;2963.0;992892.0;5931.0;1069.0;923.0
11;2020-09-16T11:25:09+02:00;3473.0;308613.0;5258.0;2963.0;993892.0;5931.0;1069.0;923.0
12;2020-09-16T11:25:10+02:00;3473.0;308869.0;5258.0;2963.0;994892.0;5931.0;1070.0;923.0
13;2020-09-16T11:25:11+02:00;3473.0;309115.0;5258.0;2963.0;995892.0;5931.0;1070.0;927.0
14;2020-09-16T11:25:12+02:00;3477.0;309378.0;5261.0;2963.0;996895.0;5931.0;1072.0;927.0
15;2020-09-16T11:25:13+02:00;3477.0;309667.0;5261.0;2963.0;997908.0;5934.0;1072.0;927.0
16;2020-09-16T11:25:14+02:00;3477.0;309929.0;5261.0;2963.0;998956.0;5934.0;1072.0;927.0
17;2020-09-16T11:25:15+02:00;3477.0;310432.0;5261.0;2963.0;1000897.0;5934.0;null;927.0
18;2020-09-16T11:25:16+02:00;3477.0;310694.0;5261.0;2963.0;1001900.0;5934.0;1072.0;927.0
19;2020-09-16T11:25:17+02:00;3480.0;310982.0;5262.0;2963.0;1002982.0;5934.0;1073.0;930.0
20;2020-09-16T11:25:18+02:00;3480.0;311245.0;5262.0;2963.0;1003902.0;5938.0;1073.0;930.0
21;2020-09-16T11:25:19+02:00;3480.0;311507.0;5262.0;2963.0;1004902.0;5938.0;1073.0;930.0
22;2020-09-16T11:25:20+02:00;3480.0;311762.0;5262.0;2963.0;1005902.0;5938.0;null;null
23;2020-09-16T11:25:21+02:00;3480.0;null;5262.0;2963.0;null;5938.0;1073.0;930.0
24;2020-09-16T11:25:22+02:00;3483.0;312298.0;5266.0;2963.0;1006903.0;5938.0;1074.0;932.0
