sep=;
"Time";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310"
"2020-09-16T11:24:59+02:00";7;7;null;null
"2020-09-16T11:25:04+02:00";7;5;null;null
"2020-09-16T11:25:10+02:00";7;6;null;null
"2020-09-16T11:25:11+02:00";null;null;7;6
"2020-09-16T11:25:15+02:00";7;6;null;null
"2020-09-16T11:25:16+02:00";null;null;7;6
"2020-09-16T11:25:20+02:00";7;7;null;null
"2020-09-16T11:25:21+02:00";null;null;7;6
"2020-09-16T11:25:25+02:00";7;7;null;null
"2020-09-16T11:25:26+02:00";null;null;7;6
"2020-09-16T11:25:30+02:00";7;7;null;null
"2020-09-16T11:25:31+02:00";null;null;7;6
"2020-09-16T11:25:35+02:00";7;7;null;null
"2020-09-16T11:25:36+02:00";null;null;7;6
"2020-09-16T11:25:40+02:00";7;7;null;null
"2020-09-16T11:25:41+02:00";null;null;7;6
"2020-09-16T11:25:45+02:00";7;6;null;null
"2020-09-16T11:25:46+02:00";null;null;6;6
"2020-09-16T11:25:50+02:00";7;6;null;null
"2020-09-16T11:25:51+02:00";null;null;7;6
"2020-09-16T11:25:55+02:00";7;7;null;null
"2020-09-16T11:25:56+02:00";null;null;7;6
"2020-09-16T11:26:00+02:00";7;7;null;null
"2020-09-16T11:26:01+02:00";null;null;7;6
"2020-09-16T11:26:05+02:00";7;7;null;null
"2020-09-16T11:26:06+02:00";null;null;7;6
"2020-09-16T11:26:10+02:00";7;0;null;null
"2020-09-16T11:26:11+02:00";null;null;7;6
"2020-09-16T11:26:15+02:00";7;7;null;null
"2020-09-16T11:26:16+02:00";null;null;7;6
"2020-09-16T11:26:20+02:00";7;7;null;null
"2020-09-16T11:26:21+02:00";null;null;7;6
"2020-09-16T11:26:25+02:00";7;7;null;null
"2020-09-16T11:26:26+02:00";null;null;7;6
"2020-09-16T11:26:30+02:00";7;6;null;null
"2020-09-16T11:26:31+02:00";null;null;7;6
"2020-09-16T11:26:35+02:00";7;7;null;null
"2020-09-16T11:26:36+02:00";null;null;6;6
"2020-09-16T11:26:40+02:00";7;4;null;null
"2020-09-16T11:26:41+02:00";null;null;7;6
"2020-09-16T11:26:45+02:00";7;6;null;null
"2020-09-16T11:26:46+02:00";null;null;7;6
"2020-09-16T11:26:50+02:00";7;6;null;null
"2020-09-16T11:26:51+02:00";null;null;6;6
"2020-09-16T11:26:55+02:00";7;5;null;null
"2020-09-16T11:26:56+02:00";null;null;6;6
"2020-09-16T11:27:00+02:00";7;4;null;null
"2020-09-16T11:27:01+02:00";null;null;7;6
