Time;Datetime;STA 7 (APP 1);AP 3 (APP 1);AP 3 (APP 2);STA 8 (APP 2)
1;2020-09-16T11:24:59+02:00;0.0;0.0;null;null
2;2020-09-16T11:25:00+02:00;null;null;null;null
3;2020-09-16T11:25:01+02:00;null;null;null;null
4;2020-09-16T11:25:02+02:00;null;null;null;null
5;2020-09-16T11:25:03+02:00;null;null;null;null
6;2020-09-16T11:25:04+02:00;1.0;0.0;null;null
7;2020-09-16T11:25:05+02:00;null;null;null;null
8;2020-09-16T11:25:06+02:00;null;null;null;null
9;2020-09-16T11:25:07+02:00;null;null;null;null
10;2020-09-16T11:25:08+02:00;null;null;null;null
11;2020-09-16T11:25:09+02:00;null;null;null;null
12;2020-09-16T11:25:10+02:00;0.0;0.0;null;null
13;2020-09-16T11:25:11+02:00;null;null;0.0;0.0
14;2020-09-16T11:25:12+02:00;null;null;null;null
15;2020-09-16T11:25:13+02:00;null;null;null;null
16;2020-09-16T11:25:14+02:00;null;null;null;null
17;2020-09-16T11:25:15+02:00;1.0;0.0;null;null
18;2020-09-16T11:25:16+02:00;null;null;0.0;1.0
19;2020-09-16T11:25:17+02:00;null;null;null;null
20;2020-09-16T11:25:18+02:00;null;null;null;null
21;2020-09-16T11:25:19+02:00;null;null;null;null
22;2020-09-16T11:25:20+02:00;0.0;0.0;null;null
23;2020-09-16T11:25:21+02:00;null;null;0.0;0.0
24;2020-09-16T11:25:22+02:00;null;null;null;null
25;2020-09-16T11:25:23+02:00;null;null;null;null
26;2020-09-16T11:25:24+02:00;null;null;null;null
27;2020-09-16T11:25:25+02:00;0.0;0.0;null;null
28;2020-09-16T11:25:26+02:00;null;null;0.0;0.0
29;2020-09-16T11:25:27+02:00;null;null;null;null
30;2020-09-16T11:25:28+02:00;null;null;null;null
31;2020-09-16T11:25:29+02:00;null;null;null;null
32;2020-09-16T11:25:30+02:00;0.0;0.0;null;null
33;2020-09-16T11:25:31+02:00;null;null;0.0;1.0
34;2020-09-16T11:25:32+02:00;null;null;null;null
35;2020-09-16T11:25:33+02:00;null;null;null;null
36;2020-09-16T11:25:34+02:00;null;null;null;null
37;2020-09-16T11:25:35+02:00;0.0;0.0;null;null
38;2020-09-16T11:25:36+02:00;null;null;0.0;0.0
39;2020-09-16T11:25:37+02:00;null;null;null;null
40;2020-09-16T11:25:38+02:00;null;null;null;null
41;2020-09-16T11:25:39+02:00;null;null;null;null
42;2020-09-16T11:25:40+02:00;0.0;0.0;null;null
43;2020-09-16T11:25:41+02:00;null;null;0.0;1.0
44;2020-09-16T11:25:42+02:00;null;null;null;null
45;2020-09-16T11:25:43+02:00;null;null;null;null
46;2020-09-16T11:25:44+02:00;null;null;null;null
47;2020-09-16T11:25:45+02:00;0.0;0.0;null;null
48;2020-09-16T11:25:46+02:00;null;null;0.0;1.0
49;2020-09-16T11:25:47+02:00;null;null;null;null
50;2020-09-16T11:25:48+02:00;null;null;null;null
51;2020-09-16T11:25:49+02:00;null;null;null;null
52;2020-09-16T11:25:50+02:00;0.0;0.0;null;null
53;2020-09-16T11:25:51+02:00;null;null;0.0;1.0
54;2020-09-16T11:25:52+02:00;null;null;null;null
55;2020-09-16T11:25:53+02:00;null;null;null;null
56;2020-09-16T11:25:54+02:00;null;null;null;null
57;2020-09-16T11:25:55+02:00;0.0;0.0;null;null
58;2020-09-16T11:25:56+02:00;null;null;0.0;0.0
59;2020-09-16T11:25:57+02:00;null;null;null;null
60;2020-09-16T11:25:58+02:00;null;null;null;null
61;2020-09-16T11:25:59+02:00;null;null;null;null
62;2020-09-16T11:26:00+02:00;0.0;0.0;null;null
63;2020-09-16T11:26:01+02:00;null;null;0.0;0.0
64;2020-09-16T11:26:02+02:00;null;null;null;null
65;2020-09-16T11:26:03+02:00;null;null;null;null
66;2020-09-16T11:26:04+02:00;null;null;null;null
67;2020-09-16T11:26:05+02:00;0.0;0.0;null;null
68;2020-09-16T11:26:06+02:00;null;null;0.0;1.0
69;2020-09-16T11:26:07+02:00;null;null;null;null
70;2020-09-16T11:26:08+02:00;null;null;null;null
71;2020-09-16T11:26:09+02:00;null;null;null;null
72;2020-09-16T11:26:10+02:00;0.0;0.0;null;null
73;2020-09-16T11:26:11+02:00;null;null;0.0;0.0
74;2020-09-16T11:26:12+02:00;null;null;null;null
75;2020-09-16T11:26:13+02:00;null;null;null;null
76;2020-09-16T11:26:14+02:00;null;null;null;null
77;2020-09-16T11:26:15+02:00;0.0;0.0;null;null
78;2020-09-16T11:26:16+02:00;null;null;0.0;0.0
79;2020-09-16T11:26:17+02:00;null;null;null;null
80;2020-09-16T11:26:18+02:00;null;null;null;null
81;2020-09-16T11:26:19+02:00;null;null;null;null
82;2020-09-16T11:26:20+02:00;0.0;0.0;null;null
83;2020-09-16T11:26:21+02:00;null;null;0.0;1.0
84;2020-09-16T11:26:22+02:00;null;null;null;null
85;2020-09-16T11:26:23+02:00;null;null;null;null
86;2020-09-16T11:26:24+02:00;null;null;null;null
87;2020-09-16T11:26:25+02:00;0.0;0.0;null;null
88;2020-09-16T11:26:26+02:00;null;null;0.0;1.0
89;2020-09-16T11:26:27+02:00;null;null;null;null
90;2020-09-16T11:26:28+02:00;null;null;null;null
91;2020-09-16T11:26:29+02:00;null;null;null;null
92;2020-09-16T11:26:30+02:00;0.0;0.0;null;null
93;2020-09-16T11:26:31+02:00;null;null;0.0;1.0
94;2020-09-16T11:26:32+02:00;null;null;null;null
95;2020-09-16T11:26:33+02:00;null;null;null;null
96;2020-09-16T11:26:34+02:00;null;null;null;null
97;2020-09-16T11:26:35+02:00;0.0;0.0;null;null
98;2020-09-16T11:26:36+02:00;null;null;0.0;1.0
