sep=;
"Time";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310"
"2020-09-16T11:24:59+02:00";77;76;null;null
"2020-09-16T11:25:04+02:00";81;38;null;null
"2020-09-16T11:25:10+02:00";43;52;null;null
"2020-09-16T11:25:11+02:00";null;null;36;43
"2020-09-16T11:25:15+02:00";136;65;null;null
"2020-09-16T11:25:16+02:00";null;null;23;56
"2020-09-16T11:25:20+02:00";64;79;null;null
"2020-09-16T11:25:21+02:00";null;null;22;82
"2020-09-16T11:25:25+02:00";72;48;null;null
"2020-09-16T11:25:26+02:00";null;null;92;77
"2020-09-16T11:25:30+02:00";82;52;null;null
"2020-09-16T11:25:31+02:00";null;null;69;47
"2020-09-16T11:25:35+02:00";84;23;null;null
"2020-09-16T11:25:36+02:00";null;null;22;114
"2020-09-16T11:25:40+02:00";49;34;null;null
"2020-09-16T11:25:41+02:00";null;null;76;46
"2020-09-16T11:25:45+02:00";57;101;null;null
"2020-09-16T11:25:46+02:00";null;null;26;48
"2020-09-16T11:25:50+02:00";95;50;null;null
"2020-09-16T11:25:51+02:00";null;null;44;64
"2020-09-16T11:25:55+02:00";58;25;null;null
"2020-09-16T11:25:56+02:00";null;null;33;43
"2020-09-16T11:26:00+02:00";43;25;null;null
"2020-09-16T11:26:01+02:00";null;null;123;50
"2020-09-16T11:26:05+02:00";46;48;null;null
"2020-09-16T11:26:06+02:00";null;null;104;46
"2020-09-16T11:26:10+02:00";131;23;null;null
"2020-09-16T11:26:11+02:00";null;null;98;61
"2020-09-16T11:26:15+02:00";51;22;null;null
"2020-09-16T11:26:16+02:00";null;null;50;46
"2020-09-16T11:26:20+02:00";50;23;null;null
"2020-09-16T11:26:21+02:00";null;null;23;45
"2020-09-16T11:26:25+02:00";44;22;null;null
"2020-09-16T11:26:26+02:00";null;null;46;44
"2020-09-16T11:26:30+02:00";45;27;null;null
"2020-09-16T11:26:31+02:00";null;null;32;48
"2020-09-16T11:26:35+02:00";81;100;null;null
"2020-09-16T11:26:36+02:00";null;null;99;44
"2020-09-16T11:26:40+02:00";44;50;null;null
"2020-09-16T11:26:41+02:00";null;null;44;67
"2020-09-16T11:26:45+02:00";65;192;null;null
"2020-09-16T11:26:46+02:00";null;null;31;44
"2020-09-16T11:26:50+02:00";48;54;null;null
"2020-09-16T11:26:51+02:00";null;null;49;46
"2020-09-16T11:26:55+02:00";46;78;null;null
"2020-09-16T11:26:56+02:00";null;null;71;49
"2020-09-16T11:27:00+02:00";48;50;null;null
"2020-09-16T11:27:01+02:00";null;null;45;45
"2020-09-16T11:27:05+02:00";82;67;null;null
"2020-09-16T11:27:06+02:00";null;null;64;78
"2020-09-16T11:27:10+02:00";76;103;null;null
"2020-09-16T11:27:11+02:00";null;null;71;68
"2020-09-16T11:27:15+02:00";47;23;null;null
"2020-09-16T11:27:16+02:00";null;null;23;58
"2020-09-16T11:27:20+02:00";45;23;null;null
"2020-09-16T11:27:21+02:00";null;null;45;72
"2020-09-16T11:27:25+02:00";48;35;null;null
"2020-09-16T11:27:26+02:00";null;null;63;72
"2020-09-16T11:27:30+02:00";133;77;null;null
"2020-09-16T11:27:31+02:00";null;null;22;62
"2020-09-16T11:27:35+02:00";52;31;null;null
"2020-09-16T11:27:36+02:00";null;null;75;56
"2020-09-16T11:27:40+02:00";65;23;null;null
"2020-09-16T11:27:41+02:00";null;null;70;47
"2020-09-16T11:27:45+02:00";44;23;null;null
"2020-09-16T11:27:46+02:00";null;null;93;70
"2020-09-16T11:27:50+02:00";98;34;null;49
"2020-09-16T11:27:51+02:00";null;null;22;null
"2020-09-16T11:27:54+02:00";87;null;null;null
"2020-09-16T11:27:55+02:00";null;190;null;61
"2020-09-16T11:27:56+02:00";null;null;111;null
"2020-09-16T11:27:59+02:00";44;93;null;null
"2020-09-16T11:28:00+02:00";null;null;144;62
"2020-09-16T11:28:04+02:00";77;184;null;null
"2020-09-16T11:28:05+02:00";null;null;50;48
"2020-09-16T11:28:09+02:00";48;141;null;null
"2020-09-16T11:28:10+02:00";null;null;306;64
"2020-09-16T11:28:14+02:00";66;34;null;null
"2020-09-16T11:28:15+02:00";null;null;172;75
"2020-09-16T11:28:19+02:00";48;43;null;null
"2020-09-16T11:28:20+02:00";null;null;359;53
"2020-09-16T11:28:24+02:00";45;239;null;null
"2020-09-16T11:28:25+02:00";null;null;357;84
"2020-09-16T11:28:29+02:00";42;209;null;null
"2020-09-16T11:28:30+02:00";null;null;271;84
"2020-09-16T11:28:34+02:00";59;406;null;null
"2020-09-16T11:28:35+02:00";null;null;320;48
"2020-09-16T11:28:39+02:00";66;335;null;null
"2020-09-16T11:28:40+02:00";null;null;371;97
"2020-09-16T11:28:44+02:00";60;124;null;null
"2020-09-16T11:28:45+02:00";null;null;217;79
"2020-09-16T11:28:49+02:00";63;202;null;null
"2020-09-16T11:28:50+02:00";null;null;280;41
"2020-09-16T11:28:54+02:00";48;74;null;null
"2020-09-16T11:28:55+02:00";null;null;114;40
"2020-09-16T11:28:59+02:00";50;57;null;null
"2020-09-16T11:29:00+02:00";null;null;233;48
"2020-09-16T11:29:04+02:00";49;180;null;null
"2020-09-16T11:29:05+02:00";null;null;414;65
"2020-09-16T11:29:09+02:00";58;394;null;null
"2020-09-16T11:29:10+02:00";null;null;320;62
"2020-09-16T11:29:14+02:00";67;165;null;null
