Time;Datetime;Slice (control);Slice (ping);Slice (APP 1);Slice (APP 2)
1;2020-09-16T11:24:59+02:00;12000.0;null;null;12000.0
2;2020-09-16T11:25:00+02:00;null;12000.0;12000.0;12000.0
3;2020-09-16T11:25:01+02:00;12000.0;12000.0;12000.0;12000.0
4;2020-09-16T11:25:02+02:00;12000.0;12000.0;12000.0;12000.0
5;2020-09-16T11:25:03+02:00;12000.0;12000.0;12000.0;12000.0
6;2020-09-16T11:25:04+02:00;12000.0;12000.0;12000.0;12000.0
7;2020-09-16T11:25:05+02:00;12000.0;12000.0;null;null
8;2020-09-16T11:25:06+02:00;12000.0;12000.0;12000.0;12000.0
9;2020-09-16T11:25:07+02:00;null;null;null;12000.0
10;2020-09-16T11:25:08+02:00;12000.0;12000.0;12000.0;12000.0
11;2020-09-16T11:25:09+02:00;12000.0;12000.0;12000.0;12000.0
12;2020-09-16T11:25:10+02:00;null;null;null;null
13;2020-09-16T11:25:11+02:00;12000.0;12000.0;12000.0;12000.0
14;2020-09-16T11:25:12+02:00;12000.0;12000.0;12000.0;12000.0
15;2020-09-16T11:25:13+02:00;12000.0;12000.0;12000.0;12000.0
16;2020-09-16T11:25:14+02:00;12000.0;12000.0;12000.0;12000.0
17;2020-09-16T11:25:15+02:00;12000.0;12000.0;12000.0;12000.0
18;2020-09-16T11:25:16+02:00;12000.0;12000.0;12000.0;12000.0
19;2020-09-16T11:25:17+02:00;12000.0;12000.0;12000.0;12000.0
20;2020-09-16T11:25:18+02:00;12000.0;12000.0;12000.0;12000.0
21;2020-09-16T11:25:19+02:00;12000.0;12000.0;12000.0;12000.0
22;2020-09-16T11:25:20+02:00;null;12000.0;12000.0;12000.0
23;2020-09-16T11:25:21+02:00;12000.0;12000.0;12000.0;12000.0
24;2020-09-16T11:25:22+02:00;12000.0;12000.0;12000.0;12000.0
25;2020-09-16T11:25:23+02:00;12000.0;12000.0;12000.0;12000.0
26;2020-09-16T11:25:24+02:00;12000.0;12000.0;12000.0;12000.0
27;2020-09-16T11:25:25+02:00;12000.0;null;null;null
28;2020-09-16T11:25:26+02:00;12000.0;12000.0;12000.0;12000.0
29;2020-09-16T11:25:27+02:00;12000.0;12000.0;12000.0;12000.0
30;2020-09-16T11:25:28+02:00;12000.0;12000.0;12000.0;12000.0
31;2020-09-16T11:25:29+02:00;null;null;null;null
32;2020-09-16T11:25:30+02:00;12000.0;12000.0;12000.0;12000.0
33;2020-09-16T11:25:31+02:00;12000.0;12000.0;12000.0;12000.0
34;2020-09-16T11:25:32+02:00;12000.0;12000.0;12000.0;12000.0
35;2020-09-16T11:25:33+02:00;12000.0;12000.0;12000.0;12000.0
36;2020-09-16T11:25:34+02:00;null;null;null;12000.0
37;2020-09-16T11:25:35+02:00;12000.0;12000.0;12000.0;12000.0
38;2020-09-16T11:25:36+02:00;12000.0;null;null;null
39;2020-09-16T11:25:37+02:00;12000.0;12000.0;12000.0;12000.0
40;2020-09-16T11:25:38+02:00;12000.0;12000.0;12000.0;12000.0
41;2020-09-16T11:25:39+02:00;12000.0;12000.0;12000.0;12000.0
42;2020-09-16T11:25:40+02:00;12000.0;12000.0;12000.0;null
43;2020-09-16T11:25:41+02:00;null;null;null;12000.0
44;2020-09-16T11:25:42+02:00;12000.0;12000.0;12000.0;12000.0
45;2020-09-16T11:25:43+02:00;12000.0;12000.0;12000.0;12000.0
46;2020-09-16T11:25:44+02:00;12000.0;12000.0;12000.0;12000.0
47;2020-09-16T11:25:45+02:00;12000.0;12000.0;12000.0;12000.0
48;2020-09-16T11:25:46+02:00;12000.0;12000.0;12000.0;null
49;2020-09-16T11:25:47+02:00;12000.0;12000.0;12000.0;12000.0
50;2020-09-16T11:25:48+02:00;12000.0;12000.0;12000.0;12000.0
51;2020-09-16T11:25:49+02:00;12000.0;12000.0;12000.0;12000.0
52;2020-09-16T11:25:50+02:00;null;null;null;null
53;2020-09-16T11:25:51+02:00;12000.0;12000.0;12000.0;12000.0
54;2020-09-16T11:25:52+02:00;12000.0;12000.0;12000.0;12000.0
55;2020-09-16T11:25:53+02:00;12000.0;12000.0;12000.0;12000.0
56;2020-09-16T11:25:54+02:00;null;null;null;12000.0
57;2020-09-16T11:25:55+02:00;12000.0;12000.0;12000.0;12000.0
58;2020-09-16T11:25:56+02:00;12000.0;12000.0;12000.0;12000.0
59;2020-09-16T11:25:57+02:00;12000.0;12000.0;12000.0;12000.0
60;2020-09-16T11:25:58+02:00;12000.0;12000.0;12000.0;12000.0
61;2020-09-16T11:25:59+02:00;12000.0;12000.0;12000.0;12000.0
62;2020-09-16T11:26:00+02:00;12000.0;12000.0;12000.0;null
63;2020-09-16T11:26:01+02:00;12000.0;12000.0;12000.0;12000.0
64;2020-09-16T11:26:02+02:00;12000.0;12000.0;12000.0;12000.0
65;2020-09-16T11:26:03+02:00;12000.0;12000.0;12000.0;12000.0
66;2020-09-16T11:26:04+02:00;12000.0;12000.0;12000.0;12000.0
67;2020-09-16T11:26:05+02:00;null;null;null;null
68;2020-09-16T11:26:06+02:00;12000.0;12000.0;12000.0;12000.0
69;2020-09-16T11:26:07+02:00;12000.0;12000.0;12000.0;12000.0
70;2020-09-16T11:26:08+02:00;12000.0;12000.0;12000.0;12000.0
71;2020-09-16T11:26:09+02:00;12000.0;12000.0;12000.0;12000.0
72;2020-09-16T11:26:10+02:00;null;12000.0;12000.0;12000.0
73;2020-09-16T11:26:11+02:00;12000.0;12000.0;12000.0;12000.0
74;2020-09-16T11:26:12+02:00;12000.0;12000.0;12000.0;12000.0
75;2020-09-16T11:26:13+02:00;12000.0;12000.0;12000.0;12000.0
76;2020-09-16T11:26:14+02:00;12000.0;12000.0;12000.0;12000.0
77;2020-09-16T11:26:15+02:00;12000.0;12000.0;12000.0;null
78;2020-09-16T11:26:16+02:00;12000.0;null;null;12000.0
79;2020-09-16T11:26:17+02:00;12000.0;12000.0;12000.0;12000.0
80;2020-09-16T11:26:18+02:00;12000.0;12000.0;12000.0;12000.0
81;2020-09-16T11:26:19+02:00;12000.0;12000.0;12000.0;12000.0
82;2020-09-16T11:26:20+02:00;12000.0;12000.0;null;null
83;2020-09-16T11:26:21+02:00;null;null;12000.0;12000.0
84;2020-09-16T11:26:22+02:00;12000.0;12000.0;12000.0;12000.0
85;2020-09-16T11:26:23+02:00;12000.0;12000.0;12000.0;12000.0
86;2020-09-16T11:26:24+02:00;12000.0;12000.0;12000.0;12000.0
87;2020-09-16T11:26:25+02:00;12000.0;null;null;null
88;2020-09-16T11:26:26+02:00;null;12000.0;12000.0;12000.0
89;2020-09-16T11:26:27+02:00;12000.0;12000.0;12000.0;12000.0
90;2020-09-16T11:26:28+02:00;12000.0;12000.0;12000.0;null
91;2020-09-16T11:26:29+02:00;12000.0;12000.0;12000.0;12000.0
92;2020-09-16T11:26:30+02:00;null;null;null;12000.0
93;2020-09-16T11:26:31+02:00;12000.0;12000.0;12000.0;12000.0
94;2020-09-16T11:26:32+02:00;12000.0;12000.0;12000.0;12000.0
95;2020-09-16T11:26:33+02:00;12000.0;12000.0;12000.0;12000.0
96;2020-09-16T11:26:34+02:00;12000.0;12000.0;12000.0;12000.0
97;2020-09-16T11:26:35+02:00;12000.0;12000.0;12000.0;null
98;2020-09-16T11:26:36+02:00;null;null;null;12000.0
99;2020-09-16T11:26:37+02:00;12000.0;12000.0;12000.0;12000.0
100;2020-09-16T11:26:38+02:00;12000.0;12000.0;12000.0;12000.0
101;2020-09-16T11:26:39+02:00;12000.0;12000.0;12000.0;12000.0
102;2020-09-16T11:26:40+02:00;12000.0;12000.0;null;null
103;2020-09-16T11:26:41+02:00;12000.0;null;12000.0;12000.0
104;2020-09-16T11:26:42+02:00;12000.0;12000.0;12000.0;12000.0
105;2020-09-16T11:26:43+02:00;12000.0;12000.0;12000.0;12000.0
106;2020-09-16T11:26:44+02:00;12000.0;12000.0;12000.0;12000.0
107;2020-09-16T11:26:45+02:00;12000.0;12000.0;12000.0;12000.0
108;2020-09-16T11:26:46+02:00;12000.0;12000.0;12000.0;12000.0
109;2020-09-16T11:26:47+02:00;12000.0;12000.0;12000.0;12000.0
110;2020-09-16T11:26:48+02:00;12000.0;12000.0;12000.0;12000.0
111;2020-09-16T11:26:49+02:00;12000.0;12000.0;12000.0;12000.0
112;2020-09-16T11:26:50+02:00;12000.0;12000.0;12000.0;12000.0
113;2020-09-16T11:26:51+02:00;12000.0;12000.0;12000.0;12000.0
114;2020-09-16T11:26:52+02:00;12000.0;12000.0;12000.0;12000.0
115;2020-09-16T11:26:53+02:00;12000.0;12000.0;12000.0;12000.0
116;2020-09-16T11:26:54+02:00;12000.0;12000.0;12000.0;12000.0
117;2020-09-16T11:26:55+02:00;12000.0;12000.0;12000.0;12000.0
118;2020-09-16T11:26:56+02:00;12000.0;12000.0;12000.0;12000.0
119;2020-09-16T11:26:57+02:00;12000.0;12000.0;12000.0;12000.0
120;2020-09-16T11:26:58+02:00;12000.0;12000.0;12000.0;12000.0
121;2020-09-16T11:26:59+02:00;12000.0;12000.0;12000.0;12000.0
122;2020-09-16T11:27:00+02:00;12000.0;12000.0;12000.0;12000.0
123;2020-09-16T11:27:01+02:00;12000.0;12000.0;12000.0;12000.0
124;2020-09-16T11:27:02+02:00;12000.0;12000.0;12000.0;12000.0
125;2020-09-16T11:27:03+02:00;12000.0;12000.0;12000.0;12000.0
126;2020-09-16T11:27:04+02:00;12000.0;12000.0;12000.0;12000.0
127;2020-09-16T11:27:05+02:00;12000.0;12000.0;12000.0;12000.0
128;2020-09-16T11:27:06+02:00;12000.0;12000.0;12000.0;null
129;2020-09-16T11:27:07+02:00;null;null;null;12000.0
130;2020-09-16T11:27:08+02:00;12000.0;12000.0;12000.0;12000.0
131;2020-09-16T11:27:09+02:00;12000.0;12000.0;12000.0;12000.0
132;2020-09-16T11:27:10+02:00;12000.0;12000.0;12000.0;null
133;2020-09-16T11:27:11+02:00;12000.0;null;null;4800.0
134;2020-09-16T11:27:12+02:00;12000.0;12000.0;12000.0;4800.0
135;2020-09-16T11:27:13+02:00;12000.0;12000.0;12000.0;4800.0
136;2020-09-16T11:27:14+02:00;12000.0;null;null;4800.0
137;2020-09-16T11:27:15+02:00;null;12000.0;12000.0;4800.0
138;2020-09-16T11:27:16+02:00;12000.0;12000.0;12000.0;1920.0
139;2020-09-16T11:27:17+02:00;12000.0;12000.0;12000.0;1920.0
140;2020-09-16T11:27:18+02:00;12000.0;12000.0;12000.0;1920.0
141;2020-09-16T11:27:19+02:00;12000.0;12000.0;12000.0;1920.0
142;2020-09-16T11:27:20+02:00;null;12000.0;12000.0;1920.0
143;2020-09-16T11:27:21+02:00;12000.0;12000.0;12000.0;768.0
144;2020-09-16T11:27:22+02:00;12000.0;12000.0;12000.0;768.0
145;2020-09-16T11:27:23+02:00;12000.0;12000.0;12000.0;768.0
146;2020-09-16T11:27:24+02:00;12000.0;12000.0;12000.0;768.0
147;2020-09-16T11:27:25+02:00;null;null;null;null
148;2020-09-16T11:27:26+02:00;12000.0;12000.0;12000.0;308.0
149;2020-09-16T11:27:27+02:00;12000.0;12000.0;12000.0;308.0
150;2020-09-16T11:27:28+02:00;12000.0;12000.0;12000.0;308.0
151;2020-09-16T11:27:29+02:00;12000.0;12000.0;12000.0;308.0
152;2020-09-16T11:27:30+02:00;12000.0;12000.0;null;null
153;2020-09-16T11:27:31+02:00;12000.0;null;12000.0;124.0
154;2020-09-16T11:27:32+02:00;12000.0;12000.0;12000.0;124.0
155;2020-09-16T11:27:33+02:00;12000.0;12000.0;12000.0;124.0
156;2020-09-16T11:27:34+02:00;12000.0;12000.0;12000.0;124.0
157;2020-09-16T11:27:35+02:00;12000.0;12000.0;12000.0;124.0
158;2020-09-16T11:27:36+02:00;12000.0;null;null;null
159;2020-09-16T11:27:37+02:00;12000.0;12000.0;12000.0;50.0
160;2020-09-16T11:27:38+02:00;12000.0;12000.0;12000.0;50.0
161;2020-09-16T11:27:39+02:00;12000.0;12000.0;12000.0;50.0
162;2020-09-16T11:27:40+02:00;12000.0;12000.0;12000.0;null
163;2020-09-16T11:27:41+02:00;12000.0;12000.0;12000.0;20.0
164;2020-09-16T11:27:42+02:00;12000.0;12000.0;12000.0;20.0
165;2020-09-16T11:27:43+02:00;12000.0;12000.0;12000.0;20.0
166;2020-09-16T11:27:44+02:00;12000.0;12000.0;12000.0;20.0
