sep=;
"Time";"0x00";"0x1A";"0x20";"0x30"
"2020-09-16T11:24:02+02:00";12000;12000;12000;12000
"2020-09-16T11:24:03+02:00";12000;12000;12000;12000
"2020-09-16T11:24:04+02:00";12000;12000;12000;12000
"2020-09-16T11:24:05+02:00";12000;12000;12000;12000
"2020-09-16T11:24:06+02:00";12000;12000;12000;12000
"2020-09-16T11:24:07+02:00";12000;12000;12000;12000
"2020-09-16T11:24:08+02:00";12000;12000;12000;12000
"2020-09-16T11:24:09+02:00";12000;12000;12000;12000
"2020-09-16T11:24:10+02:00";12000;12000;12000;12000
"2020-09-16T11:24:11+02:00";12000;12000;12000;12000
"2020-09-16T11:24:12+02:00";12000;12000;12000;12000
"2020-09-16T11:24:13+02:00";12000;12000;12000;12000
"2020-09-16T11:24:14+02:00";12000;12000;12000;12000
"2020-09-16T11:24:15+02:00";12000;12000;12000;12000
"2020-09-16T11:24:16+02:00";12000;12000;12000;12000
"2020-09-16T11:24:17+02:00";12000;12000;12000;12000
"2020-09-16T11:24:18+02:00";12000;12000;12000;12000
"2020-09-16T11:24:19+02:00";12000;12000;12000;12000
"2020-09-16T11:24:20+02:00";12000;12000;12000;12000
"2020-09-16T11:24:21+02:00";12000;12000;12000;12000
"2020-09-16T11:24:22+02:00";12000;12000;12000;12000
"2020-09-16T11:24:23+02:00";12000;12000;12000;12000
"2020-09-16T11:24:24+02:00";12000;12000;12000;12000
"2020-09-16T11:24:25+02:00";12000;12000;12000;12000
"2020-09-16T11:24:26+02:00";12000;12000;12000;12000
"2020-09-16T11:24:27+02:00";12000;12000;12000;12000
"2020-09-16T11:24:28+02:00";12000;12000;12000;12000
"2020-09-16T11:24:29+02:00";12000;12000;12000;12000
"2020-09-16T11:24:30+02:00";12000;12000;12000;12000
"2020-09-16T11:24:31+02:00";12000;12000;12000;12000
"2020-09-16T11:24:32+02:00";12000;12000;12000;12000
"2020-09-16T11:24:33+02:00";12000;12000;12000;12000
"2020-09-16T11:24:34+02:00";12000;12000;12000;12000
"2020-09-16T11:24:35+02:00";12000;12000;12000;12000
"2020-09-16T11:24:36+02:00";12000;12000;12000;12000
"2020-09-16T11:24:37+02:00";12000;12000;12000;12000
"2020-09-16T11:24:38+02:00";12000;12000;12000;12000
"2020-09-16T11:24:39+02:00";12000;12000;12000;12000
"2020-09-16T11:24:40+02:00";12000;12000;12000;12000
"2020-09-16T11:24:41+02:00";12000;12000;12000;12000
"2020-09-16T11:24:42+02:00";12000;12000;12000;12000
"2020-09-16T11:24:43+02:00";12000;12000;12000;12000
"2020-09-16T11:24:44+02:00";12000;12000;12000;12000
"2020-09-16T11:24:45+02:00";12000;12000;12000;12000
"2020-09-16T11:24:46+02:00";12000;12000;12000;12000
"2020-09-16T11:24:47+02:00";12000;12000;12000;12000
"2020-09-16T11:24:48+02:00";12000;12000;12000;12000
"2020-09-16T11:24:49+02:00";12000;12000;12000;12000
"2020-09-16T11:24:50+02:00";12000;12000;12000;12000
"2020-09-16T11:24:51+02:00";12000;12000;12000;12000
"2020-09-16T11:24:52+02:00";12000;12000;12000;12000
"2020-09-16T11:24:53+02:00";12000;12000;12000;12000
"2020-09-16T11:24:54+02:00";12000;12000;12000;12000
"2020-09-16T11:24:55+02:00";12000;12000;12000;12000
"2020-09-16T11:24:56+02:00";12000;12000;12000;12000
"2020-09-16T11:24:57+02:00";12000;12000;12000;12000
"2020-09-16T11:24:58+02:00";12000;12000;12000;12000
"2020-09-16T11:24:59+02:00";12000;12000;12000;12000
"2020-09-16T11:25:00+02:00";12000;12000;12000;12000
"2020-09-16T11:25:01+02:00";12000;12000;12000;12000
"2020-09-16T11:25:02+02:00";12000;12000;12000;12000
"2020-09-16T11:25:03+02:00";12000;12000;12000;12000
"2020-09-16T11:25:04+02:00";12000;12000;12000;12000
"2020-09-16T11:25:05+02:00";12000;12000;12000;12000
"2020-09-16T11:25:06+02:00";12000;12000;12000;12000
"2020-09-16T11:25:07+02:00";12000;12000;12000;12000
"2020-09-16T11:25:08+02:00";12000;12000;12000;12000
"2020-09-16T11:25:09+02:00";12000;12000;12000;12000
"2020-09-16T11:25:10+02:00";12000;12000;12000;12000
"2020-09-16T11:25:11+02:00";12000;12000;12000;12000
"2020-09-16T11:25:12+02:00";12000;12000;12000;12000
"2020-09-16T11:25:13+02:00";12000;12000;12000;12000
"2020-09-16T11:25:14+02:00";12000;12000;12000;12000
"2020-09-16T11:25:15+02:00";12000;12000;12000;12000
"2020-09-16T11:25:16+02:00";12000;12000;12000;12000
"2020-09-16T11:25:17+02:00";12000;12000;12000;12000
"2020-09-16T11:25:18+02:00";12000;12000;12000;12000
"2020-09-16T11:25:19+02:00";12000;12000;12000;12000
"2020-09-16T11:25:20+02:00";12000;12000;12000;12000
"2020-09-16T11:25:21+02:00";12000;12000;12000;12000
"2020-09-16T11:25:22+02:00";12000;12000;12000;12000
"2020-09-16T11:25:23+02:00";12000;12000;12000;12000
"2020-09-16T11:25:24+02:00";12000;12000;12000;12000
"2020-09-16T11:25:25+02:00";12000;12000;12000;12000
"2020-09-16T11:25:26+02:00";12000;12000;12000;12000
"2020-09-16T11:25:27+02:00";12000;12000;12000;12000
"2020-09-16T11:25:28+02:00";12000;12000;12000;12000
"2020-09-16T11:25:29+02:00";12000;12000;12000;12000
"2020-09-16T11:25:30+02:00";12000;12000;null;null
"2020-09-16T11:25:31+02:00";12000;12000;12000;12000
"2020-09-16T11:25:32+02:00";12000;12000;12000;12000
"2020-09-16T11:25:33+02:00";12000;12000;12000;12000
"2020-09-16T11:25:34+02:00";12000;12000;12000;12000
"2020-09-16T11:25:35+02:00";12000;12000;12000;12000
"2020-09-16T11:25:36+02:00";12000;12000;12000;12000
"2020-09-16T11:25:37+02:00";12000;12000;12000;12000
"2020-09-16T11:25:38+02:00";12000;12000;12000;12000
"2020-09-16T11:25:39+02:00";12000;12000;12000;12000
"2020-09-16T11:25:40+02:00";12000;12000;12000;null
"2020-09-16T11:25:41+02:00";12000;12000;null;12000
"2020-09-16T11:25:42+02:00";12000;12000;12000;12000
"2020-09-16T11:25:43+02:00";12000;12000;12000;12000
"2020-09-16T11:25:44+02:00";12000;12000;12000;12000
"2020-09-16T11:25:45+02:00";12000;12000;null;null
"2020-09-16T11:25:46+02:00";12000;12000;12000;12000
"2020-09-16T11:25:47+02:00";12000;12000;12000;12000
"2020-09-16T11:25:48+02:00";12000;12000;12000;12000
"2020-09-16T11:25:49+02:00";12000;12000;12000;12000
"2020-09-16T11:25:50+02:00";12000;12000;12000;12000
"2020-09-16T11:25:51+02:00";12000;12000;12000;12000
"2020-09-16T11:25:52+02:00";12000;12000;12000;12000
"2020-09-16T11:25:53+02:00";12000;12000;12000;12000
"2020-09-16T11:25:54+02:00";12000;12000;12000;12000
"2020-09-16T11:25:55+02:00";12000;12000;12000;null
"2020-09-16T11:25:56+02:00";12000;12000;12000;12000
"2020-09-16T11:25:57+02:00";12000;12000;12000;12000
"2020-09-16T11:25:58+02:00";12000;12000;12000;12000
"2020-09-16T11:25:59+02:00";12000;12000;12000;12000
"2020-09-16T11:26:00+02:00";12000;12000;12000;12000
"2020-09-16T11:26:01+02:00";12000;12000;12000;12000
"2020-09-16T11:26:02+02:00";12000;12000;12000;12000
"2020-09-16T11:26:03+02:00";12000;12000;12000;12000
"2020-09-16T11:26:04+02:00";12000;12000;12000;12000
"2020-09-16T11:26:05+02:00";12000;12000;null;null
"2020-09-16T11:26:06+02:00";12000;12000;12000;12000
"2020-09-16T11:26:07+02:00";12000;12000;12000;12000
"2020-09-16T11:26:08+02:00";12000;12000;12000;12000
"2020-09-16T11:26:09+02:00";12000;12000;12000;12000
"2020-09-16T11:26:10+02:00";12000;12000;12000;12000
"2020-09-16T11:26:11+02:00";12000;12000;12000;12000
"2020-09-16T11:26:12+02:00";12000;12000;12000;12000
"2020-09-16T11:26:13+02:00";12000;12000;12000;12000
"2020-09-16T11:26:14+02:00";12000;12000;12000;12000
"2020-09-16T11:26:15+02:00";12000;12000;12000;12000
"2020-09-16T11:26:16+02:00";12000;12000;12000;12000
"2020-09-16T11:26:17+02:00";12000;12000;12000;12000
"2020-09-16T11:26:18+02:00";12000;12000;12000;12000
"2020-09-16T11:26:19+02:00";12000;12000;12000;12000
"2020-09-16T11:26:20+02:00";12000;12000;12000;12000
"2020-09-16T11:26:21+02:00";12000;12000;12000;12000
"2020-09-16T11:26:22+02:00";12000;12000;12000;12000
"2020-09-16T11:26:23+02:00";12000;12000;12000;12000
"2020-09-16T11:26:24+02:00";12000;12000;12000;12000
"2020-09-16T11:26:25+02:00";12000;12000;12000;12000
"2020-09-16T11:26:26+02:00";12000;12000;12000;12000
"2020-09-16T11:26:27+02:00";12000;12000;12000;12000
"2020-09-16T11:26:28+02:00";12000;12000;12000;12000
"2020-09-16T11:26:29+02:00";12000;12000;12000;12000
"2020-09-16T11:26:30+02:00";12000;12000;12000;12000
"2020-09-16T11:26:31+02:00";12000;12000;12000;12000
"2020-09-16T11:26:32+02:00";12000;12000;12000;12000
"2020-09-16T11:26:33+02:00";12000;12000;12000;12000
"2020-09-16T11:26:34+02:00";12000;12000;12000;12000
"2020-09-16T11:26:35+02:00";12000;12000;12000;12000
"2020-09-16T11:26:36+02:00";12000;null;null;null
"2020-09-16T11:26:37+02:00";12000;12000;12000;12000
"2020-09-16T11:26:38+02:00";12000;12000;12000;12000
"2020-09-16T11:26:39+02:00";12000;12000;12000;12000
"2020-09-16T11:26:40+02:00";12000;12000;12000;12000
"2020-09-16T11:26:41+02:00";12000;12000;12000;12000
"2020-09-16T11:26:42+02:00";12000;12000;12000;12000
"2020-09-16T11:26:43+02:00";12000;12000;12000;12000
"2020-09-16T11:26:44+02:00";12000;12000;12000;12000
"2020-09-16T11:26:45+02:00";12000;12000;12000;12000
"2020-09-16T11:26:46+02:00";12000;12000;12000;12000
"2020-09-16T11:26:47+02:00";12000;12000;12000;12000
"2020-09-16T11:26:48+02:00";12000;12000;12000;12000
"2020-09-16T11:26:49+02:00";12000;12000;12000;12000
"2020-09-16T11:26:50+02:00";12000;12000;12000;12000
"2020-09-16T11:26:51+02:00";12000;12000;12000;12000
"2020-09-16T11:26:52+02:00";12000;12000;12000;12000
"2020-09-16T11:26:53+02:00";12000;12000;12000;12000
"2020-09-16T11:26:54+02:00";12000;12000;12000;12000
"2020-09-16T11:26:55+02:00";12000;12000;12000;12000
"2020-09-16T11:26:56+02:00";12000;12000;12000;12000
"2020-09-16T11:26:57+02:00";12000;12000;12000;12000
"2020-09-16T11:26:58+02:00";12000;12000;12000;12000
"2020-09-16T11:26:59+02:00";12000;12000;12000;12000
"2020-09-16T11:27:00+02:00";12000;12000;12000;12000
"2020-09-16T11:27:01+02:00";12000;12000;12000;12000
"2020-09-16T11:27:02+02:00";12000;12000;12000;12000
"2020-09-16T11:27:03+02:00";12000;12000;12000;12000
"2020-09-16T11:27:04+02:00";12000;12000;12000;12000
"2020-09-16T11:27:05+02:00";12000;12000;12000;12000
"2020-09-16T11:27:06+02:00";12000;12000;12000;12000
"2020-09-16T11:27:07+02:00";12000;12000;12000;12000
"2020-09-16T11:27:08+02:00";12000;12000;12000;12000
"2020-09-16T11:27:09+02:00";12000;12000;12000;12000
"2020-09-16T11:27:10+02:00";12000;12000;12000;12000
"2020-09-16T11:27:11+02:00";12000;12000;12000;4800
"2020-09-16T11:27:12+02:00";12000;12000;12000;4800
"2020-09-16T11:27:13+02:00";12000;12000;12000;4800
"2020-09-16T11:27:14+02:00";12000;12000;12000;4800
"2020-09-16T11:27:15+02:00";12000;12000;12000;null
"2020-09-16T11:27:16+02:00";12000;12000;12000;1920
"2020-09-16T11:27:17+02:00";12000;12000;12000;1920
"2020-09-16T11:27:18+02:00";12000;12000;12000;1920
"2020-09-16T11:27:19+02:00";12000;12000;12000;1920
"2020-09-16T11:27:20+02:00";12000;12000;12000;1920
"2020-09-16T11:27:21+02:00";12000;12000;12000;768
"2020-09-16T11:27:22+02:00";12000;12000;12000;768
"2020-09-16T11:27:23+02:00";12000;12000;12000;768
"2020-09-16T11:27:24+02:00";12000;12000;12000;768
"2020-09-16T11:27:25+02:00";12000;12000;12000;768
"2020-09-16T11:27:26+02:00";12000;12000;12000;308
"2020-09-16T11:27:27+02:00";12000;12000;12000;308
"2020-09-16T11:27:28+02:00";12000;12000;12000;308
"2020-09-16T11:27:29+02:00";12000;12000;12000;308
"2020-09-16T11:27:30+02:00";12000;12000;12000;308
"2020-09-16T11:27:31+02:00";12000;12000;12000;124
"2020-09-16T11:27:32+02:00";12000;12000;12000;124
"2020-09-16T11:27:33+02:00";12000;12000;12000;124
"2020-09-16T11:27:34+02:00";12000;12000;12000;124
"2020-09-16T11:27:35+02:00";12000;12000;12000;124
"2020-09-16T11:27:36+02:00";12000;null;null;null
"2020-09-16T11:27:37+02:00";12000;12000;12000;50
"2020-09-16T11:27:38+02:00";12000;12000;12000;50
"2020-09-16T11:27:39+02:00";12000;12000;12000;50
"2020-09-16T11:27:40+02:00";12000;12000;12000;50
"2020-09-16T11:27:41+02:00";12000;12000;12000;20
"2020-09-16T11:27:42+02:00";12000;12000;12000;20
"2020-09-16T11:27:43+02:00";12000;12000;12000;20
"2020-09-16T11:27:44+02:00";12000;12000;12000;20
"2020-09-16T11:27:45+02:00";12000;12000;12000;20
"2020-09-16T11:27:46+02:00";12000;12000;12000;8
"2020-09-16T11:27:47+02:00";12000;12000;12000;8
"2020-09-16T11:27:48+02:00";12000;12000;12000;8
"2020-09-16T11:27:49+02:00";12000;12000;12000;8
"2020-09-16T11:27:50+02:00";12000;12000;12000;8
"2020-09-16T11:27:51+02:00";12000;12000;12000;null
"2020-09-16T11:27:52+02:00";12000;12000;12000;4
"2020-09-16T11:27:53+02:00";12000;12000;12000;4
"2020-09-16T11:27:54+02:00";12000;12000;12000;4
"2020-09-16T11:27:55+02:00";12000;12000;12000;null
"2020-09-16T11:27:56+02:00";12000;12000;12000;2
"2020-09-16T11:27:57+02:00";12000;12000;12000;2
"2020-09-16T11:27:58+02:00";12000;12000;12000;2
"2020-09-16T11:27:59+02:00";12000;12000;12000;2
"2020-09-16T11:28:00+02:00";12000;12000;12000;2
"2020-09-16T11:28:01+02:00";12000;12000;12000;2
"2020-09-16T11:28:02+02:00";12000;12000;12000;2
"2020-09-16T11:28:03+02:00";12000;12000;12000;2
"2020-09-16T11:28:04+02:00";12000;12000;12000;2
"2020-09-16T11:28:05+02:00";12000;12000;12000;2
"2020-09-16T11:28:06+02:00";12000;12000;12000;2
"2020-09-16T11:28:07+02:00";12000;12000;12000;2
"2020-09-16T11:28:08+02:00";12000;12000;12000;2
"2020-09-16T11:28:09+02:00";12000;12000;12000;2
"2020-09-16T11:28:10+02:00";12000;12000;12000;2
"2020-09-16T11:28:11+02:00";12000;12000;12000;2
"2020-09-16T11:28:12+02:00";12000;12000;12000;2
"2020-09-16T11:28:13+02:00";12000;12000;12000;2
"2020-09-16T11:28:14+02:00";12000;12000;12000;2
"2020-09-16T11:28:15+02:00";12000;12000;12000;2
"2020-09-16T11:28:16+02:00";12000;12000;12000;2
"2020-09-16T11:28:17+02:00";12000;12000;12000;2
"2020-09-16T11:28:18+02:00";12000;12000;12000;2
"2020-09-16T11:28:19+02:00";12000;12000;12000;2
"2020-09-16T11:28:20+02:00";12000;12000;12000;2
"2020-09-16T11:28:21+02:00";12000;12000;12000;2
"2020-09-16T11:28:22+02:00";12000;12000;12000;2
"2020-09-16T11:28:23+02:00";12000;12000;12000;2
"2020-09-16T11:28:24+02:00";12000;12000;12000;2
"2020-09-16T11:28:25+02:00";12000;12000;12000;2
"2020-09-16T11:28:26+02:00";12000;12000;12000;2
"2020-09-16T11:28:27+02:00";12000;12000;12000;2
"2020-09-16T11:28:28+02:00";12000;12000;12000;2
"2020-09-16T11:28:29+02:00";12000;12000;12000;2
"2020-09-16T11:28:30+02:00";12000;12000;12000;2
"2020-09-16T11:28:31+02:00";12000;12000;12000;null
"2020-09-16T11:28:32+02:00";12000;12000;12000;2
"2020-09-16T11:28:33+02:00";12000;12000;12000;2
"2020-09-16T11:28:34+02:00";12000;12000;12000;2
"2020-09-16T11:28:35+02:00";12000;12000;12000;null
"2020-09-16T11:28:36+02:00";12000;12000;12000;2
"2020-09-16T11:28:37+02:00";12000;12000;12000;2
"2020-09-16T11:28:38+02:00";12000;12000;12000;2
"2020-09-16T11:28:39+02:00";12000;12000;12000;2
"2020-09-16T11:28:40+02:00";12000;12000;12000;2
"2020-09-16T11:28:41+02:00";12000;12000;12000;2
"2020-09-16T11:28:42+02:00";12000;12000;12000;2
"2020-09-16T11:28:43+02:00";12000;12000;12000;2
"2020-09-16T11:28:44+02:00";12000;12000;12000;2
"2020-09-16T11:28:45+02:00";12000;12000;12000;2
"2020-09-16T11:28:46+02:00";12000;12000;12000;2
"2020-09-16T11:28:47+02:00";12000;12000;12000;2
"2020-09-16T11:28:48+02:00";12000;12000;12000;2
"2020-09-16T11:28:49+02:00";12000;12000;12000;2
"2020-09-16T11:28:50+02:00";12000;12000;12000;2
"2020-09-16T11:28:51+02:00";12000;12000;12000;2
"2020-09-16T11:28:52+02:00";12000;12000;12000;2
"2020-09-16T11:28:53+02:00";12000;12000;12000;2
"2020-09-16T11:28:54+02:00";12000;12000;12000;2
"2020-09-16T11:28:55+02:00";12000;12000;12000;2
"2020-09-16T11:28:56+02:00";12000;12000;12000;null
"2020-09-16T11:28:57+02:00";12000;12000;12000;2
"2020-09-16T11:28:58+02:00";12000;12000;12000;2
"2020-09-16T11:28:59+02:00";12000;12000;12000;2
"2020-09-16T11:29:00+02:00";12000;12000;12000;null
"2020-09-16T11:29:01+02:00";12000;12000;12000;2
"2020-09-16T11:29:02+02:00";12000;12000;12000;2
"2020-09-16T11:29:03+02:00";12000;12000;12000;2
"2020-09-16T11:29:04+02:00";12000;12000;12000;2
"2020-09-16T11:29:05+02:00";12000;12000;12000;2
"2020-09-16T11:29:06+02:00";12000;12000;12000;2
"2020-09-16T11:29:07+02:00";12000;12000;12000;2
"2020-09-16T11:29:08+02:00";12000;12000;12000;2
"2020-09-16T11:29:09+02:00";12000;12000;12000;2
"2020-09-16T11:29:10+02:00";12000;12000;12000;2
"2020-09-16T11:29:11+02:00";12000;12000;12000;2
"2020-09-16T11:29:12+02:00";12000;12000;12000;2
"2020-09-16T11:29:13+02:00";12000;12000;12000;2
"2020-09-16T11:29:14+02:00";12000;12000;12000;2
"2020-09-16T11:29:15+02:00";12000;12000;12000;2
"2020-09-16T11:29:16+02:00";12000;12000;12000;2
"2020-09-16T11:29:17+02:00";12000;12000;12000;2
"2020-09-16T11:29:18+02:00";12000;12000;12000;2
"2020-09-16T11:29:19+02:00";12000;12000;12000;2
"2020-09-16T11:29:20+02:00";12000;12000;12000;2
"2020-09-16T11:29:21+02:00";12000;12000;12000;2
"2020-09-16T11:29:22+02:00";12000;12000;12000;2
"2020-09-16T11:29:23+02:00";12000;12000;12000;2
"2020-09-16T11:29:24+02:00";12000;12000;12000;2
"2020-09-16T11:29:25+02:00";12000;12000;12000;2
"2020-09-16T11:29:26+02:00";12000;12000;12000;2
"2020-09-16T11:29:27+02:00";12000;12000;12000;2
"2020-09-16T11:29:28+02:00";12000;12000;12000;2
"2020-09-16T11:29:29+02:00";12000;12000;12000;12000
"2020-09-16T11:29:30+02:00";12000;12000;12000;12000
"2020-09-16T11:29:31+02:00";12000;12000;12000;12000
"2020-09-16T11:29:32+02:00";12000;12000;12000;12000
"2020-09-16T11:29:33+02:00";12000;12000;12000;12000
"2020-09-16T11:29:34+02:00";12000;12000;12000;12000
"2020-09-16T11:29:35+02:00";12000;12000;12000;null
"2020-09-16T11:29:36+02:00";12000;12000;12000;12000
"2020-09-16T11:29:37+02:00";12000;12000;12000;12000
"2020-09-16T11:29:38+02:00";12000;12000;12000;12000
"2020-09-16T11:29:39+02:00";12000;12000;12000;12000
"2020-09-16T11:29:40+02:00";12000;12000;12000;null
"2020-09-16T11:29:41+02:00";12000;12000;12000;12000
"2020-09-16T11:29:42+02:00";12000;12000;12000;12000
"2020-09-16T11:29:43+02:00";12000;12000;12000;12000
"2020-09-16T11:29:44+02:00";12000;12000;12000;12000
"2020-09-16T11:29:45+02:00";12000;12000;12000;12000
"2020-09-16T11:29:46+02:00";12000;12000;12000;12000
"2020-09-16T11:29:47+02:00";12000;12000;12000;12000
"2020-09-16T11:29:48+02:00";12000;12000;12000;12000
"2020-09-16T11:29:49+02:00";12000;12000;12000;12000
"2020-09-16T11:29:50+02:00";12000;12000;12000;12000
"2020-09-16T11:29:51+02:00";12000;12000;12000;12000
"2020-09-16T11:29:52+02:00";12000;12000;12000;12000
"2020-09-16T11:29:53+02:00";12000;12000;12000;12000
"2020-09-16T11:29:54+02:00";12000;12000;12000;12000
"2020-09-16T11:29:55+02:00";12000;12000;12000;12000
"2020-09-16T11:29:56+02:00";12000;12000;12000;12000
"2020-09-16T11:29:57+02:00";12000;12000;12000;12000
"2020-09-16T11:29:58+02:00";12000;12000;12000;12000
"2020-09-16T11:29:59+02:00";12000;12000;12000;12000
"2020-09-16T11:30:00+02:00";12000;12000;12000;12000
"2020-09-16T11:30:01+02:00";12000;12000;12000;12000
"2020-09-16T11:30:02+02:00";12000;12000;12000;12000
"2020-09-16T11:30:03+02:00";12000;12000;12000;12000
"2020-09-16T11:30:04+02:00";12000;12000;12000;12000
"2020-09-16T11:30:05+02:00";12000;12000;12000;null
"2020-09-16T11:30:06+02:00";12000;12000;12000;12000
"2020-09-16T11:30:07+02:00";12000;12000;12000;12000
"2020-09-16T11:30:08+02:00";12000;12000;12000;12000
"2020-09-16T11:30:09+02:00";12000;12000;12000;12000
"2020-09-16T11:30:10+02:00";12000;12000;null;null
"2020-09-16T11:30:11+02:00";12000;12000;12000;12000
"2020-09-16T11:30:12+02:00";12000;12000;12000;12000
"2020-09-16T11:30:13+02:00";12000;12000;12000;12000
"2020-09-16T11:30:14+02:00";12000;12000;12000;12000
"2020-09-16T11:30:15+02:00";12000;12000;12000;12000
"2020-09-16T11:30:16+02:00";12000;12000;12000;12000
"2020-09-16T11:30:17+02:00";12000;12000;12000;12000
"2020-09-16T11:30:18+02:00";12000;12000;12000;12000
"2020-09-16T11:30:19+02:00";12000;12000;12000;12000
"2020-09-16T11:30:20+02:00";12000;12000;12000;12000
"2020-09-16T11:30:21+02:00";12000;12000;12000;12000
"2020-09-16T11:30:22+02:00";12000;12000;12000;12000
