Time;Datetime;Slice (control);Slice (ping);Slice (APP 1);Slice (APP 2)
1;2020-09-16T11:24:59+02:00;0.0226;null;null;0.0
2;2020-09-16T11:25:00+02:00;null;0.003032;0.121472;0.0
3;2020-09-16T11:25:01+02:00;0.009008;0.0010400000000000001;1.28576;0.0
4;2020-09-16T11:25:02+02:00;0.0;0.0;1.05728;0.0
5;2020-09-16T11:25:03+02:00;0.0;0.0;1.29024;0.0
6;2020-09-16T11:25:04+02:00;0.0;0.0;1.05728;0.0
7;2020-09-16T11:25:05+02:00;0.0;0.003032;null;null
8;2020-09-16T11:25:06+02:00;0.008384;0.004072;1.17824;0.0
9;2020-09-16T11:25:07+02:00;null;null;null;0.0
10;2020-09-16T11:25:08+02:00;0.002496;0.0010400000000000001;1.17376;1.640192
11;2020-09-16T11:25:09+02:00;0.0;0.0;0.9408;2.55808
12;2020-09-16T11:25:10+02:00;null;null;null;null
13;2020-09-16T11:25:11+02:00;0.007664;0.0;1.17376;2.52224
14;2020-09-16T11:25:12+02:00;0.010928;0.0010400000000000001;1.18272;2.46848
15;2020-09-16T11:25:13+02:00;0.0038399999999999997;0.0;1.12448;2.49536
16;2020-09-16T11:25:14+02:00;0.0;0.0;1.2006400000000002;2.61184
17;2020-09-16T11:25:15+02:00;0.0;0.0;1.19168;2.41024
18;2020-09-16T11:25:16+02:00;0.00704;0.0;1.1692799999999999;2.2534400000000003
19;2020-09-16T11:25:17+02:00;0.008384;0.004072;1.17376;2.42368
20;2020-09-16T11:25:18+02:00;0.001344;0.0;1.17824;2.4416
21;2020-09-16T11:25:19+02:00;0.0;0.0;1.27232;2.88064
22;2020-09-16T11:25:20+02:00;null;0.0;1.07968;2.41024
23;2020-09-16T11:25:21+02:00;0.00704;0.0;1.1692799999999999;2.5984000000000003
24;2020-09-16T11:25:22+02:00;0.008384;0.003168;1.29024;2.9030400000000003
25;2020-09-16T11:25:23+02:00;0.001344;0.0;1.05728;2.12352
26;2020-09-16T11:25:24+02:00;0.0;0.0;1.12448;2.80896
27;2020-09-16T11:25:25+02:00;0.009584;null;null;null
28;2020-09-16T11:25:26+02:00;0.008384;0.0;1.1961600000000001;2.28928
29;2020-09-16T11:25:27+02:00;0.001344;0.0020800000000000003;1.17824;2.43264
30;2020-09-16T11:25:28+02:00;0.0;0.0;1.09312;2.47296
31;2020-09-16T11:25:29+02:00;null;null;null;null
32;2020-09-16T11:25:30+02:00;0.0;0.0010400000000000001;1.17376;2.80896
