Time (sec), CPU Load (%), Memory (%), Process Name, PID
     1,0.0,0.6,python3,9367
     2,1.0,0.6,python3,9367
     3,1.0,0.6,python3,9367
     4,2.0,0.6,python3,9367
     5,1.0,0.6,python3,9367
     6,1.0,0.6,python3,9367
     7,2.0,0.6,python3,9367
     8,1.0,0.6,python3,9367
     9,1.0,0.6,python3,9367
    10,1.0,0.6,python3,9367
    11,1.0,0.6,python3,9367
    12,2.0,0.6,python3,9367
    13,0.0,0.6,python3,9367
    14,1.0,0.6,python3,9367
    15,3.0,0.6,python3,9367
    16,1.0,0.6,python3,9367
    17,1.0,0.6,python3,9367
    18,0.0,0.6,python3,9367
    19,2.0,0.6,python3,9367
    20,1.0,0.6,python3,9367
    21,2.0,0.6,python3,9367
    22,0.0,0.6,python3,9367
    23,1.0,0.6,python3,9367
    24,2.0,0.6,python3,9367
    25,3.0,0.6,python3,9367
    26,0.0,0.6,python3,9367
    27,1.0,0.6,python3,9367
    28,1.0,0.6,python3,9367
    29,1.0,0.6,python3,9367
    30,2.0,0.6,python3,9367
    31,1.0,0.6,python3,9367
    32,2.0,0.6,python3,9367
    33,1.0,0.6,python3,9367
    34,1.0,0.6,python3,9367
    35,1.0,0.6,python3,9367
    36,2.0,0.6,python3,9367
    37,1.0,0.6,python3,9367
    38,0.0,0.6,python3,9367
    39,1.0,0.6,python3,9367
    40,3.0,0.6,python3,9367
    41,0.0,0.6,python3,9367
    42,1.0,0.6,python3,9367
    43,1.0,0.6,python3,9367
    44,2.0,0.6,python3,9367
    45,2.0,0.6,python3,9367
    46,0.0,0.6,python3,9367
    47,2.0,0.6,python3,9367
    48,1.0,0.6,python3,9367
    49,1.0,0.6,python3,9367
    50,2.0,0.6,python3,9367
    51,1.0,0.6,python3,9367
    52,0.0,0.6,python3,9367
    53,2.0,0.6,python3,9367
    54,1.0,0.6,python3,9367
    55,2.0,0.6,python3,9367
    56,1.0,0.6,python3,9367
    57,1.0,0.6,python3,9367
    58,1.0,0.6,python3,9367
    59,1.0,0.6,python3,9367
    60,2.0,0.6,python3,9367
    61,1.0,0.6,python3,9367
    62,1.0,0.6,python3,9367
    63,1.0,0.6,python3,9367
    64,2.0,0.6,python3,9367
    65,1.0,0.6,python3,9367
    66,2.0,0.6,python3,9367
    67,1.0,0.6,python3,9367
    68,0.0,0.6,python3,9367
    69,2.0,0.6,python3,9367
    70,1.0,0.6,python3,9367
    71,1.0,0.6,python3,9367
    72,1.0,0.6,python3,9367
    73,1.0,0.6,python3,9367
    74,3.0,0.6,python3,9367
    75,1.0,0.6,python3,9367
    76,0.0,0.6,python3,9367
    77,1.0,0.6,python3,9367
    78,1.0,0.6,python3,9367
    79,2.0,0.6,python3,9367
    80,1.0,0.6,python3,9367
    81,1.0,0.6,python3,9367
    82,1.0,0.6,python3,9367
    83,1.0,0.6,python3,9367
    84,2.0,0.6,python3,9367
    85,1.0,0.6,python3,9367
    86,1.0,0.6,python3,9367
    87,1.0,0.6,python3,9367
    88,1.0,0.6,python3,9367
    89,2.0,0.6,python3,9367
    90,1.0,0.6,python3,9367
    91,1.0,0.6,python3,9367
    92,2.0,0.6,python3,9367
    93,0.0,0.6,python3,9367
    94,3.0,0.6,python3,9367
    95,0.0,0.6,python3,9367
    96,2.0,0.6,python3,9367
    97,1.0,0.6,python3,9367
    98,1.0,0.6,python3,9367
    99,2.0,0.6,python3,9367
   100,0.0,0.6,python3,9367
   101,1.0,0.6,python3,9367
   102,2.0,0.6,python3,9367
   103,1.0,0.6,python3,9367
   104,1.0,0.6,python3,9367
   105,2.0,0.6,python3,9367
   106,0.0,0.6,python3,9367
   107,2.0,0.6,python3,9367
   108,0.0,0.6,python3,9367
   109,3.0,0.6,python3,9367
   110,1.0,0.6,python3,9367
   111,0.0,0.6,python3,9367
   112,2.0,0.6,python3,9367
   113,1.0,0.6,python3,9367
   114,2.0,0.6,python3,9367
   115,1.0,0.6,python3,9367
   116,1.0,0.6,python3,9367
   117,1.0,0.6,python3,9367
   118,1.0,0.6,python3,9367
   119,2.0,0.6,python3,9367
   120,2.0,0.6,python3,9367
