sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x20"
"2020-06-23T01:40:28+02:00";0;0;0;0;0;0
"2020-06-23T01:40:29+02:00";0;0;0;0;0;0
"2020-06-23T01:40:30+02:00";0;0;0;0;0;0
"2020-06-23T01:40:31+02:00";0;0;0;0;0;0
"2020-06-23T01:40:32+02:00";0;0;0;0;null;null
"2020-06-23T01:40:33+02:00";0;0;0;0;0;0
"2020-06-23T01:40:34+02:00";0;0;0;0;0;0
"2020-06-23T01:40:35+02:00";0;0;0;0;0;0
"2020-06-23T01:40:36+02:00";0;0;0;0;0;0
"2020-06-23T01:40:37+02:00";0;0;0;0;0;null
"2020-06-23T01:40:38+02:00";0;0;0;0;0;0
"2020-06-23T01:40:39+02:00";0;0;0;0;0;0
"2020-06-23T01:40:40+02:00";0;0;0;0;0;0
"2020-06-23T01:40:41+02:00";0;0;0;0;0;0
"2020-06-23T01:40:42+02:00";0;0;0;0;0;0
"2020-06-23T01:40:43+02:00";0;0;0;0;0;0
"2020-06-23T01:40:44+02:00";0;0;0;0;0;0
"2020-06-23T01:40:45+02:00";0;0;0;0;0;0
"2020-06-23T01:40:46+02:00";0;0;0;0;0;0
"2020-06-23T01:40:47+02:00";0;0;0;0;0;0
"2020-06-23T01:40:48+02:00";0;0;0;0;0;0
"2020-06-23T01:40:49+02:00";0;0;0;0;0;0
"2020-06-23T01:40:50+02:00";0;0;0;0;0;0
"2020-06-23T01:40:51+02:00";0;0;0;0;0;0
"2020-06-23T01:40:52+02:00";0;0;0;0;0;0
"2020-06-23T01:40:53+02:00";0;0;0;0;0;0
"2020-06-23T01:40:54+02:00";0;0;0;0;0;0
"2020-06-23T01:40:55+02:00";0;0;0;0;0;0
"2020-06-23T01:40:56+02:00";0;0;0;0;0;0
"2020-06-23T01:40:57+02:00";0;0;0;0;0;0
"2020-06-23T01:40:58+02:00";0;0;0;0;0;0
"2020-06-23T01:40:59+02:00";0.189;0;0;0;0;0
"2020-06-23T01:41:00+02:00";0.232;0;0;0;0;0
"2020-06-23T01:41:01+02:00";0.193;0;0;0;0;0
"2020-06-23T01:41:02+02:00";0.186;0;0;0;null;null
"2020-06-23T01:41:03+02:00";0.195;0;0;0;0;0
"2020-06-23T01:41:04+02:00";0.23;0;0;0;0;0
"2020-06-23T01:41:05+02:00";0.152;0;0;0;0;0
"2020-06-23T01:41:06+02:00";0.152;0;0;0;0;0
"2020-06-23T01:41:08+02:00";0.073;0;0;0;0;0
"2020-06-23T01:41:09+02:00";0.105;0;0;0;0;0
"2020-06-23T01:41:10+02:00";0.103;0;0;0;0;0
"2020-06-23T01:41:11+02:00";0.106;0;0;0;0;0
"2020-06-23T01:41:12+02:00";0.106;0;0;0;0;0
"2020-06-23T01:41:13+02:00";0.098;0;0;0;0;0
"2020-06-23T01:41:14+02:00";0.098;0;0;0;null;null
"2020-06-23T01:41:15+02:00";0.08;0;0;0;0;0
"2020-06-23T01:41:16+02:00";0.084;0;0;0;0;null
"2020-06-23T01:41:17+02:00";0.069;0;null;null;null;0
"2020-06-23T01:41:18+02:00";0.133;0;0;0;0;0
"2020-06-23T01:41:19+02:00";0.091;0;0;0;0;0
"2020-06-23T01:41:20+02:00";0.126;0;0;0;0;0
"2020-06-23T01:41:21+02:00";0.119;0;0;0;0;0
"2020-06-23T01:41:22+02:00";0.123;0;0;0;null;null
"2020-06-23T01:41:23+02:00";0.123;0;25.737;0;0;0
"2020-06-23T01:41:24+02:00";0.142;0;0.023;0;0;0
"2020-06-23T01:41:25+02:00";4.581;0;1.984;0;0;null
"2020-06-23T01:41:26+02:00";4.581;0;0.024;0;0;0
"2020-06-23T01:41:27+02:00";0.08;0;0.026;0;0;0
"2020-06-23T01:41:28+02:00";0.096;0;0.024;0;0;0
"2020-06-23T01:41:29+02:00";0.086;0;0.025;0;0;0
"2020-06-23T01:41:30+02:00";0.086;0;0.023;0;0;0
"2020-06-23T01:41:31+02:00";0.125;0;0.024;0;0;null
"2020-06-23T01:41:32+02:00";0.084;0;0.025;0;0;0
"2020-06-23T01:41:33+02:00";0.085;0;0.023;0;0;0
"2020-06-23T01:41:34+02:00";0.092;0;0.024;0;0;null
"2020-06-23T01:41:35+02:00";0.093;0;0.024;0;0;0
"2020-06-23T01:41:36+02:00";0.084;0;0.023;0;0;0
"2020-06-23T01:41:37+02:00";0.101;0;0.024;0;0;0
"2020-06-23T01:41:38+02:00";0.121;0;0.024;0;0;0
"2020-06-23T01:41:39+02:00";0.121;0;0.027;0.027;0;0
"2020-06-23T01:41:40+02:00";0.049;0;0.027;0.03;0;0
"2020-06-23T01:41:41+02:00";0.079;0;0.03;0.027;0;0
"2020-06-23T01:41:42+02:00";0.123;0;0.031;0.031;0;0
"2020-06-23T01:41:43+02:00";0.019;0;0.028;0.028;0;0
"2020-06-23T01:41:44+02:00";0.028;0;0.029;0.03;0;0
"2020-06-23T01:41:45+02:00";0.068;0;0.028;0.029;0;0
"2020-06-23T01:41:46+02:00";0.045;0;0.027;0.028;0;0
