sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x20"
"2020-06-23T01:47:21+02:00";0;0;0;0;0;0
"2020-06-23T01:47:22+02:00";0;0;0;0;0;0
"2020-06-23T01:47:23+02:00";0;0;0;0;0;0
"2020-06-23T01:47:24+02:00";0;0;0;0;0;0
"2020-06-23T01:47:25+02:00";0;0;0;0;0;0
"2020-06-23T01:47:26+02:00";0;0;0;0;0;0
"2020-06-23T01:47:27+02:00";0;0;0;0;0;0
"2020-06-23T01:47:28+02:00";0;0;0;0;0;0
"2020-06-23T01:47:29+02:00";0;0;0;0;0;0
"2020-06-23T01:47:30+02:00";0;0;0;0;0;0
"2020-06-23T01:47:31+02:00";0;0;0;0;0;0
"2020-06-23T01:47:32+02:00";0;0;0;0;0;0
"2020-06-23T01:47:33+02:00";0;0;0;0;0;0
"2020-06-23T01:47:34+02:00";0;0;0;0;0;0
"2020-06-23T01:47:35+02:00";0;0;0;0;0;0
"2020-06-23T01:47:36+02:00";0;0;0;0;0;0
"2020-06-23T01:47:37+02:00";0;0;0;0;0;0
"2020-06-23T01:47:38+02:00";0.231;0;0;0;null;null
"2020-06-23T01:47:39+02:00";0.207;0;0;0;0;0
"2020-06-23T01:47:40+02:00";0.193;0;0;0;0;0
"2020-06-23T01:47:41+02:00";0.173;0;0;0;0;0
"2020-06-23T01:47:42+02:00";0.181;0;0;0;0;null
"2020-06-23T01:47:43+02:00";0.218;0;0;0;0;0
"2020-06-23T01:47:44+02:00";0.211;0;0;0;0;0
"2020-06-23T01:47:45+02:00";0.154;0;0;0;0;null
"2020-06-23T01:47:46+02:00";0.147;0;0;0;0;0
"2020-06-23T01:47:47+02:00";0.14;0;0;0;null;null
"2020-06-23T01:47:48+02:00";0.156;0;0;0;0;0
"2020-06-23T01:47:49+02:00";0.163;0;0;0;0;0
"2020-06-23T01:47:50+02:00";0.165;0;0;0;0;0
"2020-06-23T01:47:51+02:00";0.13;0;0;0;0;0
"2020-06-23T01:47:52+02:00";0.13;0;0;0;0;0
"2020-06-23T01:47:53+02:00";0.132;0;0;0;0;0
"2020-06-23T01:47:54+02:00";0.116;0;0;0;0;null
"2020-06-23T01:47:55+02:00";0.106;0;0;0;null;0
"2020-06-23T01:47:56+02:00";0.109;0;0;0;0;0
"2020-06-23T01:47:57+02:00";0.123;0;0;null;null;null
"2020-06-23T01:47:58+02:00";0.169;0;0;0;0;0
"2020-06-23T01:47:59+02:00";0.12;0;0;0;0;0
"2020-06-23T01:48:00+02:00";0.094;0;0;0;0;null
"2020-06-23T01:48:01+02:00";0.114;0;0.025;0;0;0
"2020-06-23T01:48:02+02:00";0.148;0;0.025;0;0;null
"2020-06-23T01:48:03+02:00";0.148;0;0.022;0;0;0
"2020-06-23T01:48:04+02:00";0.086;0;0.024;0;0;0
"2020-06-23T01:48:05+02:00";0.108;0;0.024;0;0;0
"2020-06-23T01:48:06+02:00";0.135;0;0.024;0;0;0
"2020-06-23T01:48:07+02:00";0.11;0;0.026;0;0;0
"2020-06-23T01:48:08+02:00";0.085;0;0.024;0;0;0
"2020-06-23T01:48:09+02:00";0.084;0;0.024;0;0;0
"2020-06-23T01:48:10+02:00";0.084;0;0.023;0;0;null
"2020-06-23T01:48:11+02:00";0.102;0;0.023;0;0;0
"2020-06-23T01:48:12+02:00";0.083;0;0.023;0;0;0
"2020-06-23T01:48:13+02:00";0.087;0;0.024;0;0;0
"2020-06-23T01:48:14+02:00";0.209;0;0.024;0;0;0
"2020-06-23T01:48:15+02:00";0.091;0;0.023;0;0;0
"2020-06-23T01:48:16+02:00";0.083;0;0.023;0;0;0
"2020-06-23T01:48:17+02:00";0.112;0;0.023;0;0;0
"2020-06-23T01:48:18+02:00";0.11;0;0.022;0;0;0
"2020-06-23T01:48:19+02:00";0.11;0;0.022;0;0;0
"2020-06-23T01:48:20+02:00";0.047;0;0.026;0;0;0
"2020-06-23T01:48:21+02:00";0.026;0;0.023;0;0;0
"2020-06-23T01:48:22+02:00";0.05;0;0.024;0;0;0
"2020-06-23T01:48:23+02:00";0.05;0;0.022;0;0;0
"2020-06-23T01:48:24+02:00";0.046;0;0.023;0;0;0
"2020-06-23T01:48:25+02:00";0.028;0;0.023;0;0;0
"2020-06-23T01:48:26+02:00";0.028;0;0.024;0;0;0
"2020-06-23T01:48:27+02:00";0.047;0;0.025;0;0;0
"2020-06-23T01:48:28+02:00";0.044;0;0.023;0;0;0
"2020-06-23T01:48:29+02:00";0.065;0;0.024;0;0;0
"2020-06-23T01:48:30+02:00";0.043;0;0.024;0;0;0
"2020-06-23T01:48:31+02:00";0.027;0;0.023;0;0;0
"2020-06-23T01:48:32+02:00";0.062;0;0.028;0.027;0;0
"2020-06-23T01:48:33+02:00";0.124;0;0.031;0.033;0;0
"2020-06-23T01:48:34+02:00";0.081;0;0.026;0.029;0;0
"2020-06-23T01:48:35+02:00";0.05;0;0.031;0.029;0;0
"2020-06-23T01:48:36+02:00";0.026;0;0.029;0.028;0;0
"2020-06-23T01:48:37+02:00";0.039;0;0.028;0.028;null;null
"2020-06-23T01:48:38+02:00";0.068;0;0.026;0.027;0;0
"2020-06-23T01:48:39+02:00";0.068;0;0.029;0.032;0;0
"2020-06-23T01:48:40+02:00";0.164;0;0.028;0.027;0;0
"2020-06-23T01:48:41+02:00";0.053;0;0.029;0.027;0;0
"2020-06-23T01:48:42+02:00";0.067;0;0.029;0.032;0;0
"2020-06-23T01:48:43+02:00";0.052;0;0.027;0.028;0;0
"2020-06-23T01:48:44+02:00";0.072;0;0.03;0.029;0;0
"2020-06-23T01:48:45+02:00";0.028;0;0.029;0.028;0;0
"2020-06-23T01:48:46+02:00";0.048;0;0.028;0.028;0;0
"2020-06-23T01:48:47+02:00";0.041;0;0.029;0.028;0;0
"2020-06-23T01:48:48+02:00";0.049;0;0.03;0.029;0;0
"2020-06-23T01:48:49+02:00";0.049;0;0.027;0.028;0;0
"2020-06-23T01:48:50+02:00";0.077;0;0.028;0.029;0;0
"2020-06-23T01:48:51+02:00";0.041;0;0.027;0.028;0;0
"2020-06-23T01:48:52+02:00";0.051;0;0.027;0.026;0;0
"2020-06-23T01:48:53+02:00";0.084;0;0.029;0.029;0;0
"2020-06-23T01:48:54+02:00";0.048;0;0.03;0.03;0;0
