sep=;
"Time";"DC:A6:32:0A:E0:C9"
"2020-06-23T00:05:46+02:00";1
"2020-06-23T00:05:51+02:00";1
"2020-06-23T00:05:56+02:00";1
"2020-06-23T00:06:06+02:00";1
"2020-06-23T00:06:11+02:00";1
"2020-06-23T00:06:16+02:00";1
"2020-06-23T00:06:26+02:00";1
"2020-06-23T00:06:31+02:00";1
"2020-06-23T00:06:36+02:00";1
"2020-06-23T00:06:46+02:00";1
"2020-06-23T00:06:51+02:00";1
"2020-06-23T00:06:56+02:00";1
"2020-06-23T00:07:06+02:00";1
"2020-06-23T00:07:11+02:00";1
"2020-06-23T00:07:16+02:00";1
"2020-06-23T00:07:26+02:00";1
"2020-06-23T00:07:31+02:00";1
"2020-06-23T00:07:36+02:00";1
"2020-06-23T00:07:46+02:00";1
"2020-06-23T00:07:51+02:00";1
"2020-06-23T00:07:56+02:00";1
"2020-06-23T00:08:06+02:00";1
"2020-06-23T00:08:11+02:00";1
"2020-06-23T00:08:16+02:00";1
"2020-06-23T00:08:46+02:00";1
"2020-06-23T00:08:51+02:00";1
"2020-06-23T00:08:56+02:00";1
