sep=;
"Time";"DC:A6:32:0A:B8:22";"DC:A6:32:0A:E0:C9";"DC:A6:32:0A:E1:D4";"DC:A6:32:65:E7:AA"
"2020-06-23T00:04:06+02:00";1;1;1;1
"2020-06-23T00:04:11+02:00";1;1;1;1
"2020-06-23T00:04:16+02:00";1;1;1;1
"2020-06-23T00:04:26+02:00";1;1;1;1
"2020-06-23T00:04:31+02:00";1;1;1;1
"2020-06-23T00:04:36+02:00";1;1;1;1
"2020-06-23T00:04:46+02:00";1;1;1;1
"2020-06-23T00:04:51+02:00";1;1;1;1
"2020-06-23T00:04:56+02:00";1;1;1;1
"2020-06-23T00:05:06+02:00";1;1;1;1
"2020-06-23T00:05:11+02:00";1;1;1;1
"2020-06-23T00:05:16+02:00";1;1;1;1
"2020-06-23T00:05:26+02:00";1;1;1;1
"2020-06-23T00:05:31+02:00";1;1;1;1
"2020-06-23T00:05:36+02:00";1;1;1;1
"2020-06-23T00:05:46+02:00";1;null;1;1
"2020-06-23T00:05:51+02:00";1;null;1;1
"2020-06-23T00:05:56+02:00";1;null;1;1
"2020-06-23T00:06:06+02:00";1;null;1;1
"2020-06-23T00:06:11+02:00";1;null;1;1
"2020-06-23T00:06:16+02:00";1;null;1;1
"2020-06-23T00:06:26+02:00";1;null;1;1
"2020-06-23T00:06:31+02:00";1;null;1;1
"2020-06-23T00:06:36+02:00";1;null;1;1
"2020-06-23T00:06:46+02:00";1;null;1;1
"2020-06-23T00:06:51+02:00";1;null;1;1
"2020-06-23T00:06:56+02:00";1;null;1;1
"2020-06-23T00:07:06+02:00";1;null;1;1
"2020-06-23T00:07:11+02:00";1;null;1;1
"2020-06-23T00:07:16+02:00";1;null;1;1
"2020-06-23T00:07:26+02:00";1;null;1;1
"2020-06-23T00:07:31+02:00";1;null;1;1
"2020-06-23T00:07:36+02:00";1;null;1;1
"2020-06-23T00:07:46+02:00";1;null;1;1
"2020-06-23T00:07:51+02:00";1;null;1;1
"2020-06-23T00:07:56+02:00";1;null;1;1
"2020-06-23T00:08:06+02:00";1;null;1;1
"2020-06-23T00:08:11+02:00";1;null;1;1
"2020-06-23T00:08:16+02:00";1;null;1;1
"2020-06-23T00:08:26+02:00";1;1;1;1
"2020-06-23T00:08:31+02:00";1;1;1;1
"2020-06-23T00:08:36+02:00";1;1;1;1
"2020-06-23T00:08:46+02:00";1;null;1;1
"2020-06-23T00:08:51+02:00";1;null;1;1
"2020-06-23T00:08:56+02:00";1;null;1;1
