QoS 1;BE 1;BE 2;BE 3;QoS 2
0.107;0.024;0.027;0.113;33.171
0.107;0.022;0.027;0.14;27.536
0.116;0.023;0.027;0.126;29.003
0.101;0.024;0.026;0.115;34.419
0.099;0.024;0.026;0.126;46.221
0.109;0.025;0.03;76.297;27.811
0.103;0.024;0.029;386.438;31.945
0.1;0.023;0.028;535.71;43.597
0.098;0.024;0.029;64.825;29.161
0.102;0.023;0.03;257.751;44.668
0.101;0.024;0.039;475.466;34.721
0.102;0.024;0.029;680.834;34.824
0.107;2.643;0.62;311.845;33.408
0.115;2.643;0.486;0.123;36.934
0.105;165.057;0.028;0.13;36.93
0.104;613.893;0.029;0.127;35.763
0.098;20.743;0.026;0.13;43.696
0.1;0.023;0.029;0.117;29.715
0.107;0.024;0.027;0.14;45.947
0.105;0.023;0.03;0.132;45.947
0.111;0.024;0.026;0.126;31.42
0.111;0.023;0.026;0.123;40.156
0.097;0.022;0.028;0.132;27.488
0.1;0.024;0.029;0.127;47.002
0.103;0.022;0.028;0.121;40.66
0.142;0.023;0.026;0.139;27.218
0.106;0.024;0.03;0.128;37.742
0.107;0.025;0.026;0.124;38.365
0.106;0.024;0.032;0.136;29.88
0.092;0.023;0.027;0.138;29.94
0.112;0.025;0.025;0.024;39.069
0.106;0.027;0.027;0.026;28.039
0.1;0.027;0.03;0.025;34.024
0.097;0.027;0.026;0.024;22.049
0.097;0.028;0.033;0.025;22.049
0.096;0.031;0.029;0.023;22.129
0.103;0.03;0.028;0.024;23.436
0.103;0.027;0.028;0.024;42.067
0.103;0.03;6.499;0.024;851.114
0.1;0.027;89.069;0.024;851.114
0.095;0.031;0.027;0.024;330.907
0.115;0.03;0.027;0.023;127.482
0.099;0.844;0.027;0.023;207.34
0.097;0.759;141.1;0.023;21.552
0.098;0.029;758.76;0.024;22.634
0.102;0.028;342.527;0.024;32.26
0.104;0.029;19.553;0.025;31.462
0.093;0.03;35.051;0.024;40.863
0.095;0.028;110.619;0.024;39.403
0.095;0.028;0.03;0.024;39.403
0.101;0.027;0.03;0.024;67.89
0.098;0.028;0.028;0.023;436.263
0.095;0.027;0.027;0.023;885.057
0.102;0.029;0.028;275.216;603.434
0.093;0.029;0.027;592.919;603.434
0.1;0.026;0.027;527.014;820.113
0.101;0.03;0.025;460.983;107.448
0.098;0.027;0.029;460.983;27.999
0.103;0.03;0.028;437.9;52.888
0.107;0.029;0.025;379.471;52.888
0.103;0.026;0.025;550.591;25.691
0.102;0.027;36.538;133.091;31.474
0.102;0.031;377.697;912.548;28.2
0.104;0.028;610.323;338.978;30.217
0.102;0.029;689.039;409.097;29.913
0.116;0.027;864.812;520.016;28.037
0.099;0.029;637.337;505.223;30.268
0.093;0.029;328.828;589.209;24.107
