sep=;
"Time";"DC:A6:32:0A:B8:22";"DC:A6:32:0A:E0:C9";"DC:A6:32:0A:E1:D4";"DC:A6:32:65:E7:AA"
"2020-06-21T21:32:14+02:00";1;1;1;1
"2020-06-21T21:32:19+02:00";1;1;null;1
"2020-06-21T21:32:20+02:00";null;null;1;null
"2020-06-21T21:32:29+02:00";1;1;1;null
"2020-06-21T21:32:34+02:00";1;1;null;null
"2020-06-21T21:32:35+02:00";null;null;1;null
"2020-06-21T21:32:39+02:00";1;1;null;null
"2020-06-21T21:32:40+02:00";null;null;1;null
"2020-06-21T21:32:49+02:00";1;1;null;null
"2020-06-21T21:32:50+02:00";null;null;1;null
"2020-06-21T21:32:54+02:00";1;1;null;null
"2020-06-21T21:32:55+02:00";null;null;1;null
"2020-06-21T21:32:59+02:00";1;1;null;null
"2020-06-21T21:33:00+02:00";null;null;1;null
"2020-06-21T21:33:09+02:00";1;1;null;1
"2020-06-21T21:33:10+02:00";null;null;1;null
"2020-06-21T21:33:14+02:00";1;1;null;1
"2020-06-21T21:33:15+02:00";null;null;1;null
"2020-06-21T21:33:19+02:00";1;1;null;1
"2020-06-21T21:33:20+02:00";null;null;1;null
"2020-06-21T21:33:29+02:00";1;1;null;null
"2020-06-21T21:33:30+02:00";null;null;1;null
"2020-06-21T21:33:34+02:00";1;1;1;null
"2020-06-21T21:33:39+02:00";1;1;1;null
"2020-06-21T21:33:49+02:00";1;1;1;null
"2020-06-21T21:33:54+02:00";1;1;null;null
"2020-06-21T21:33:55+02:00";null;null;1;null
"2020-06-21T21:33:59+02:00";1;1;null;null
"2020-06-21T21:34:00+02:00";null;null;1;null
"2020-06-21T21:34:09+02:00";1;1;null;1
"2020-06-21T21:34:10+02:00";null;null;1;null
"2020-06-21T21:34:14+02:00";1;1;1;1
"2020-06-21T21:34:19+02:00";1;1;1;1
"2020-06-21T21:34:29+02:00";1;1;null;null
"2020-06-21T21:34:30+02:00";null;null;1;null
"2020-06-21T21:34:34+02:00";1;1;null;null
"2020-06-21T21:34:35+02:00";null;null;1;null
"2020-06-21T21:34:39+02:00";1;1;null;null
"2020-06-21T21:34:40+02:00";null;null;1;null
"2020-06-21T21:34:49+02:00";1;1;null;null
"2020-06-21T21:34:50+02:00";null;null;1;null
"2020-06-21T21:34:54+02:00";1;1;1;null
"2020-06-21T21:34:59+02:00";1;1;1;null
"2020-06-21T21:35:09+02:00";1;1;1;1
"2020-06-21T21:35:14+02:00";1;1;1;1
"2020-06-21T21:35:19+02:00";1;1;1;1
"2020-06-21T21:35:29+02:00";1;1;null;null
"2020-06-21T21:35:30+02:00";null;null;1;null
"2020-06-21T21:35:34+02:00";1;1;1;null
"2020-06-21T21:35:39+02:00";1;1;null;null
"2020-06-21T21:35:40+02:00";null;null;1;null
"2020-06-21T21:35:49+02:00";1;1;1;null
"2020-06-21T21:35:54+02:00";1;1;null;null
"2020-06-21T21:35:55+02:00";null;null;1;null
"2020-06-21T21:35:59+02:00";1;1;null;null
"2020-06-21T21:36:00+02:00";null;null;1;null
"2020-06-21T21:36:09+02:00";1;1;null;1
"2020-06-21T21:36:10+02:00";null;null;1;null
"2020-06-21T21:36:14+02:00";1;1;1;1
"2020-06-21T21:36:19+02:00";1;1;1;1
"2020-06-21T21:36:29+02:00";1;1;1;1
"2020-06-21T21:36:34+02:00";1;1;1;1
"2020-06-21T21:36:39+02:00";1;1;1;1
"2020-06-21T21:36:49+02:00";1;1;1;null
"2020-06-21T21:36:54+02:00";1;1;1;null
"2020-06-21T21:36:59+02:00";1;1;null;null
"2020-06-21T21:37:00+02:00";null;null;1;null
"2020-06-21T21:37:09+02:00";1;1;1;null
"2020-06-21T21:37:14+02:00";1;1;1;null
