sep=;
"Time";"DC:A6:32:65:E7:AA"
"2020-06-21T21:32:29+02:00";1
"2020-06-21T21:32:34+02:00";1
"2020-06-21T21:32:39+02:00";1
"2020-06-21T21:32:49+02:00";1
"2020-06-21T21:32:54+02:00";1
"2020-06-21T21:32:59+02:00";1
"2020-06-21T21:33:29+02:00";1
"2020-06-21T21:33:34+02:00";1
"2020-06-21T21:33:39+02:00";1
"2020-06-21T21:33:49+02:00";1
"2020-06-21T21:33:54+02:00";1
"2020-06-21T21:33:59+02:00";1
"2020-06-21T21:34:29+02:00";1
"2020-06-21T21:34:34+02:00";1
"2020-06-21T21:34:39+02:00";1
"2020-06-21T21:34:49+02:00";1
"2020-06-21T21:34:54+02:00";1
"2020-06-21T21:34:59+02:00";1
"2020-06-21T21:35:29+02:00";1
"2020-06-21T21:35:34+02:00";1
"2020-06-21T21:35:39+02:00";1
"2020-06-21T21:35:49+02:00";1
"2020-06-21T21:35:54+02:00";1
"2020-06-21T21:35:59+02:00";1
"2020-06-21T21:36:49+02:00";1
"2020-06-21T21:36:54+02:00";1
"2020-06-21T21:36:59+02:00";1
"2020-06-21T21:37:09+02:00";1
"2020-06-21T21:37:14+02:00";1
