sep=;
"Time";"00:0D:B9:42:6A:00";"00:0D:B9:42:72:08"
"2020-06-21T21:35:30+02:00";0.0006152333333333333;0
"2020-06-21T21:35:31+02:00";0;0.000558788888888889
"2020-06-21T21:35:32+02:00";0;0
"2020-06-21T21:35:33+02:00";0;0
"2020-06-21T21:35:34+02:00";0.0005195666666666667;0
"2020-06-21T21:35:35+02:00";0;0.0005723333333333334
"2020-06-21T21:35:36+02:00";0;0
"2020-06-21T21:35:37+02:00";0;0
"2020-06-21T21:35:38+02:00";0.0005169777777777778;0
"2020-06-21T21:35:39+02:00";0;0.0005750444444444444
"2020-06-21T21:35:40+02:00";0;0
"2020-06-21T21:35:41+02:00";0;0
"2020-06-21T21:35:42+02:00";0.0011892777777777778;0
"2020-06-21T21:35:43+02:00";0;0.0012371777777777778
"2020-06-21T21:35:44+02:00";0;0
"2020-06-21T21:35:45+02:00";0;0
"2020-06-21T21:35:46+02:00";0.0005231666666666667;0
"2020-06-21T21:35:47+02:00";0;0.0006081333333333332
"2020-06-21T21:35:48+02:00";0;0
"2020-06-21T21:35:49+02:00";0;0
"2020-06-21T21:35:50+02:00";0.0006116888888888889;0
"2020-06-21T21:35:51+02:00";0;0.0005682888888888888
"2020-06-21T21:35:52+02:00";0;0
"2020-06-21T21:35:53+02:00";0;0
"2020-06-21T21:35:54+02:00";0.0005242333333333333;0
"2020-06-21T21:35:55+02:00";0;0.0005813222222222222
"2020-06-21T21:35:56+02:00";0;0
"2020-06-21T21:35:57+02:00";0;0
"2020-06-21T21:35:58+02:00";0.0005271555555555555;0
"2020-06-21T21:35:59+02:00";0;0.0005530777777777777
"2020-06-21T21:36:00+02:00";0;0
"2020-06-21T21:36:01+02:00";0;0
"2020-06-21T21:36:02+02:00";0.0005382;0
"2020-06-21T21:36:03+02:00";0;0.0005507222222222223
"2020-06-21T21:36:04+02:00";0;0
"2020-06-21T21:36:05+02:00";0;0
"2020-06-21T21:36:06+02:00";0.0005253333333333333;0
"2020-06-21T21:36:07+02:00";0;0.0005869000000000001
"2020-06-21T21:36:08+02:00";0;0
"2020-06-21T21:36:09+02:00";0;0
"2020-06-21T21:36:10+02:00";0.0006206222222222222;0
"2020-06-21T21:36:11+02:00";0;0.0005019555555555556
"2020-06-21T21:36:12+02:00";0;0
"2020-06-21T21:36:13+02:00";0;0
"2020-06-21T21:36:14+02:00";0.0005209222222222221;0
"2020-06-21T21:36:15+02:00";0;0.0005702333333333333
"2020-06-21T21:36:16+02:00";0;0
"2020-06-21T21:36:17+02:00";0;0
"2020-06-21T21:36:18+02:00";0.0005164222222222222;0
"2020-06-21T21:36:19+02:00";0;0.0005566222222222223
"2020-06-21T21:36:20+02:00";0;0
"2020-06-21T21:36:21+02:00";0;0
"2020-06-21T21:36:22+02:00";0.0005458444444444444;0
"2020-06-21T21:36:23+02:00";0;0.0005010111111111111
"2020-06-21T21:36:24+02:00";0;0
"2020-06-21T21:36:25+02:00";0;0
"2020-06-21T21:36:26+02:00";0.0005452777777777778;0
"2020-06-21T21:36:27+02:00";0;0.0005558111111111111
"2020-06-21T21:36:28+02:00";0;0
"2020-06-21T21:36:29+02:00";0;0
"2020-06-21T21:36:30+02:00";0.001264388888888889;0
"2020-06-21T21:36:31+02:00";0;0.0012321111111111111
"2020-06-21T21:36:32+02:00";0;0
"2020-06-21T21:36:33+02:00";0;0
"2020-06-21T21:36:34+02:00";0.0005235444444444445;0
"2020-06-21T21:36:35+02:00";0;0.0005695666666666666
"2020-06-21T21:36:36+02:00";0;0
"2020-06-21T21:36:37+02:00";0;0
"2020-06-21T21:36:38+02:00";0.0005219444444444445;0
"2020-06-21T21:36:39+02:00";0;0.0005592777777777778
"2020-06-21T21:36:40+02:00";0;0
"2020-06-21T21:36:41+02:00";0;0
"2020-06-21T21:36:42+02:00";0.0005219888888888888;0
"2020-06-21T21:36:43+02:00";0;0.0005679222222222222
"2020-06-21T21:36:44+02:00";0;0
"2020-06-21T21:36:45+02:00";0;0
"2020-06-21T21:36:46+02:00";0.0005207555555555556;0
"2020-06-21T21:36:47+02:00";0;0.0005757555555555555
"2020-06-21T21:36:48+02:00";0;0
"2020-06-21T21:36:49+02:00";0;0
"2020-06-21T21:36:50+02:00";0.0006059888888888889;0
"2020-06-21T21:36:51+02:00";0;0.0005601555555555555
"2020-06-21T21:36:52+02:00";0;0
"2020-06-21T21:36:53+02:00";0;0
"2020-06-21T21:36:54+02:00";0.0005196888888888888;0
"2020-06-21T21:36:55+02:00";0;0.000572988888888889
"2020-06-21T21:36:56+02:00";0;0
"2020-06-21T21:36:57+02:00";0;0
"2020-06-21T21:36:58+02:00";0.0005265333333333333;0
"2020-06-21T21:36:59+02:00";0;0.0005465888888888889
"2020-06-21T21:37:00+02:00";0;0
"2020-06-21T21:37:01+02:00";0;0
"2020-06-21T21:37:02+02:00";0.0005443333333333334;0
"2020-06-21T21:37:03+02:00";0;0.0005438999999999999
"2020-06-21T21:37:04+02:00";0;0
"2020-06-21T21:37:05+02:00";0;0
"2020-06-21T21:37:06+02:00";0.0005231999999999999;0
"2020-06-21T21:37:07+02:00";0;0.0005954333333333334
"2020-06-21T21:37:08+02:00";0;0
"2020-06-21T21:37:09+02:00";0;0
"2020-06-21T21:37:10+02:00";0.0006272222222222223;0
"2020-06-21T21:37:11+02:00";0;0.0005208333333333333
"2020-06-21T21:37:12+02:00";0;0
"2020-06-21T21:37:13+02:00";0;0
"2020-06-21T21:37:14+02:00";0.0005246777777777778;0
