QoS 1;BE 1;BE 2;BE 3;QoS 2
0.096;0.111;0.167;0.167;13.972
0.024;0.102;4.877;0.177;895.879
0.021;0.111;29.446;0.179;509.954
0.021;0.106;0.16;0.179;13.033
0.022;0.103;0.156;0.263;13.061
0.023;0.104;0.15;0.16;14.02
0.023;0.101;0.142;0.193;12.184
0.022;0.128;0.135;0.162;12.824
0.021;0.135;0.151;0.356;12.213
0.021;0.107;0.139;0.216;11.429
0.021;0.103;0.123;0.173;11.193
0.023;0.133;0.131;0.933;10.621
0.02;0.124;0.127;620.612;11.206
0.024;0.146;0.153;73.237;11.44
0.021;0.108;0.149;571.491;13.012
0.02;0.111;0.14;907.289;13.067
0.022;0.109;0.131;644.993;10.939
0.021;0.102;0.137;34.798;13.898
0.02;0.145;0.144;0.3;12.758
0.023;0.128;0.156;0.318;11.036
0.02;0.135;0.126;0.211;16.357
0.022;0.124;0.213;0.241;878.092
0.021;0.122;26.534;0.208;624.598
0.02;0.14;0.187;0.23;13.125
0.021;0.132;0.129;0.258;12.194
0.021;0.121;0.139;15.574;12.261
0.023;28.052;0.197;406.665;12.5
0.021;652.11;0.155;338.953;11.084
0.02;116.321;0.131;957.007;12.576
0.02;807.598;0.174;731.775;12.441
0.034;0.147;0.143;2.414;13.66
0.022;3.964;0.235;233.229;12.704
0.02;13.119;0.194;0.104;64.416
0.472;0.163;0.202;0.117;205.009
0.152;0.152;0.207;0.123;462.353
0.132;0.167;0.163;0.105;289.447
0.132;0.136;0.21;0.114;14.039
0.123;0.152;0.165;0.103;13.224
0.117;0.156;0.461;0.102;12.177
0.175;0.145;0.245;0.123;13.101
0.133;0.142;0.177;0.108;13.922
0.13;0.137;1.226;0.124;794.894
33.205;0.125;335.866;0.102;355.599
332.466;0.132;748.572;0.108;537.849
564.651;0.147;221.418;0.114;749.939
270.121;0.141;739.95;0.104;742.141
0.157;0.138;644.507;0.164;11.747
0.022;0.126;24.566;0.106;15.792
0.021;0.162;0.276;0.109;14.016
0.021;0.143;0.3;0.133;15.909
0.022;0.129;0.219;0.105;14.035
0.022;0.16;0.261;0.135;13.597
0.021;39.292;0.221;0.107;13.474
