QoS 1;BE 1;BE 2;BE 3;QoS 2;
0.7718079999999999;1.335488;1.0579839999999998;0.502976;1.1186880000000001;
1.959872;4.500768;3.624896;3.963104;0.27750400000000003;
0;3.85904;4.101856;3.937088;3.538176;
0;3.963104;4.223264;4.50944;2.6623040000000002;
0;4.058496;3.798336;4.240608;2.1159679999999996;
0;4.1799040000000005;4.067168000000001;4.3273280000000005;2.194016;
0;4.336;4.59616;4.3273280000000005;2.12464;
0;3.850368;3.7463040000000003;3.9110720000000003;1.8904960000000002;
0;3.624896;4.006464;4.24928;2.063936;
0.511648;4.041152;3.9717759999999998;4.110528;2.03792;
2.046592;4.379359999999999;4.4747520000000005;4.275296;2.358784;
2.419488;3.6769279999999998;4.223264;4.006464;2.03792;
1.933856;4.006464;3.9544319999999997;1.162048;1.9945599999999999;
2.185344;4.101856;3.668256;2.289408;2.0726080000000002;
2.454176;4.396704;4.101856;2.202688;2.011904;
2.0726080000000002;4.266624;4.188576;1.9945599999999999;1.769088;
2.150656;4.691552;4.379359999999999;6.963616;1.959872;
2.055264;3.668256;3.850368;5.428672;2.202688;
2.2460479999999996;4.388032;4.240608;3.850368;2.063936;
1.959872;4.153888;4.362016;4.370688;2.150656;
1.8384639999999999;4.275296;4.07584;4.336;1.769088;
2.08128;4.214592;3.77232;4.63952;0.26016;
2.202688;4.405376;4.067168000000001;3.8243519999999998;2.931136;
1.8297919999999999;4.006464;4.03248;4.067168000000001;3.026528;
2.107296;4.101856;4.015136;4.275296;2.194016;
1.855808;4.24928;4.136544;4.16256;2.141984;
2.419488;3.624896;4.275296;1.7344000000000002;2.133312;
2.020576;1.4222080000000001;4.093184;0.572352;1.803776;
1.9945599999999999;2.4108159999999996;3.77232;0.815168;1.9512;
2.2200320000000002;5.07312;4.492095999999999;1.699712;1.86448;
2.176672;6.530016;3.893728;5.385312;2.3674560000000002;
2.202688;3.5295039999999998;3.9024;7.232448000000001;2.2200320000000002;
2.029248;4.2926400000000005;4.049824;4.231935999999999;1.5522880000000001;
2.194016;4.101856;4.188576;4.153888;1.968544;
2.2373760000000003;4.336;4.110528;4.396704;1.491584;
2.194016;4.309984;4.049824;4.457408;2.9051199999999997;
2.194016;4.1452160000000005;4.223264;4.665536;2.0986239999999996;
1.90784;4.093184;3.833024;3.520832;2.176672;
1.86448;3.694272;4.344671999999999;4.006464;1.959872;
2.159328;4.041152;4.344671999999999;4.318656;2.12464;
2.046592;4.3273280000000005;4.231935999999999;4.110528;1.855808;
1.968544;4.101856;3.737632;4.3273280000000005;0.121408;
0;3.885056;2.159328;3.885056;1.0493119999999998;
0;4.153888;2.25472;4.1192;1.699712;
0;4.24928;2.21136;4.2926400000000005;1.222752;
0;4.20592;1.9858879999999999;4.188576;5.107808;
0;4.405376;6.963616;4.457408;2.64496;
0;4.084512;5.37664;3.7809920000000004;1.899168;
1.8818240000000002;3.8070079999999997;4.136544;4.388032;2.289408;
2.055264;4.231935999999999;4.379359999999999;4.03248;1.959872;
2.0899520000000003;3.694272;4.379359999999999;4.006464;2.0986239999999996;
2.289408;3.737632;4.3273280000000005;3.572864;2.202688;
1.9858879999999999;3.5815360000000003;4.006464;4.127872;1.925184;
2.12464;3.9284160000000004;4.197247999999999;4.240608;1.8384639999999999;
2.289408;4.2926400000000005;4.570144;4.214592;1.8211199999999999;
2.228704;4.388032;4.110528;4.301312;1.231424;
2.185344;4.396704;1.7344000000000002;4.03248;0.667744;
1.179392;4.223264;0.598368;3.81568;0.797824;
1.899168;4.049824;0.7891520000000001;4.275296;1.34416;
3.1999679999999997;4.188576;1.743072;4.2926400000000005;4.431392;
2.0899520000000003;3.9457600000000004;5.263904;4.171232;3.833024;
1.6910399999999999;4.5874880000000005;2.9744960000000003;6.755488000000001;0.13008;
0;4.03248;5.047104;6.053056;2.5148800000000002;
0;3.997792;6.0964160000000005;5.775551999999999;3.5121599999999997;
0;4.101856;5.775551999999999;6.37392;1.9945599999999999;
0;4.049824;6.37392;6.495328000000001;2.150656;
0;4.344671999999999;6.451968;6.885568;1.968544;
0;3.876384;6.928928;5.89696;2.332768;
0.8585280000000001;4.023808;5.89696;6.85088;2.150656;
2.063936;3.997792;6.80752;6.608064000000001;2.12464;
1.9945599999999999;4.266624;6.651424;6.495328000000001;2.1159679999999996;
2.141984;3.8243519999999998;6.486656;6.0617280000000004;2.063936;
2.003232;2.141984;6.087744;0.268832;2.029248;
2.1159679999999996;2.29808;0.30351999999999996;0.9192319999999999;2.176672;
2.046592;2.176672;0.7111040000000001;1.9772159999999999;2.029248;
2.03792;1.9858879999999999;1.959872;2.1159679999999996;2.194016;
2.202688;6.954944;2.159328;6.443296;1.9512;
1.933856;5.714848;7.475264;5.272576;2.046592;
2.011904;3.85904;6.0617280000000004;5.6888320000000006;2.12464;
2.055264;4.50944;6.41728;6.85088;2.020576;
2.0899520000000003;4.058496;6.885568;6.37392;1.621664;
1.847136;4.07584;6.37392;6.608064000000001;0.23414400000000002;
2.150656;4.041152;6.608064000000001;5.862272;3.546848;
2.150656;4.344671999999999;5.818912;6.920256;2.228704;
2.228704;4.023808;6.928928;6.217823999999999;2.055264;
2.046592;4.353344;6.252511999999999;5.46336;2.315424;
2.159328;1.77776;5.437344;1.4222080000000001;2.185344;
2.34144;0.5550080000000001;1.439552;0.95392;2.03792;
2.194016;0.82384;0.927904;0.47696;1.933856;
1.8818240000000002;1.7083840000000001;0.47696;1.3788479999999999;1.9772159999999999;
2.011904;5.307264;1.3788479999999999;5.350624;2.046592;
2.332768;2.9051199999999997;5.341952;5.246560000000001;2.046592;
1.795104;5.8536;5.28992;0.286176;1.699712;
1.7257280000000002;6.053056;0.286176;3.225984;1.959872;
2.202688;5.775551999999999;3.546848;6.2091520000000004;1.5783040000000002;
1.9772159999999999;6.37392;6.2091520000000004;5.818912;3.42544;
2.03792;6.495328000000001;5.818912;6.339232;1.855808;
1.8904960000000002;6.928928;6.339232;6.1311040000000006;1.925184;
2.150656;5.8536;6.0964160000000005;6.217823999999999;2.12464;
1.959872;6.80752;6.252511999999999;6.37392;2.2373760000000003;
2.159328;6.6861120000000005;6.37392;6.486656;2.03792;
1.8297919999999999;6.460640000000001;6.486656;6.5733760000000006;0.13008;
0;6.087744;6.5733760000000006;6.37392;0.884544;
0;0.30351999999999996;6.37392;6.556032;1.8904960000000002;
0;0.745792;6.530016;6.382592;1.942528;
0;1.942528;6.408608;5.905632;5.185855999999999;
0;2.176672;5.818912;6.2091520000000004;2.8184;
0;7.440576;6.2785280000000006;5.94032;1.942528;
1.144704;6.0964160000000005;5.957663999999999;5.8536;2.21136;
1.9945599999999999;6.408608;5.8536;6.0617280000000004;1.90784;
2.332768;6.8768959999999995;6.0617280000000004;6.053056;;
2.133312;6.347904000000001;6.053056;5.6888320000000006;;
2.063936;6.651424;5.68016;0.26016;;
2.176672;5.818912;0.26016;2.610272;;
2.2200320000000002;6.920256;3.0091840000000003;5.6194560000000005;;
1.899168;6.217823999999999;5.89696;6.0964160000000005;;
1.7344000000000002;5.46336;6.0964160000000005;5.818912;;
0.598368;1.4222080000000001;5.818912;6.1744639999999995;;
0.7891520000000001;0.95392;6.1744639999999995;6.1311040000000006;;
1.699712;0.47696;6.1311040000000006;6.0617280000000004;;
5.307264;1.3788479999999999;6.0617280000000004;5.931648;;
2.47152;5.350624;5.931648;6.018368000000001;;
0;5.272576;6.018368000000001;5.662815999999999;;
0;0.286176;5.662815999999999;2.931136;;
0;3.20864;2.896448;1.9772159999999999;;
0;6.2785280000000006;1.968544;1.621664;;
0;5.792896;1.621664;3.399424;;
0;6.33056;3.408096;5.740863999999999;;
0.598368;6.1397759999999995;5.775551999999999;5.740863999999999;;
0;6.2091520000000004;5.740863999999999;6.018368000000001;;
0;6.41728;5.975008;5.8536;;
0;6.495328000000001;5.89696;5.55008;;
1.38752;6.530016;5.55008;0.13008;;
2.2373760000000003;6.408608;0.13008;0.407584;;
2.08128;6.530016;1.1100160000000001;1.743072;;
2.12464;6.37392;1.699712;1.0579839999999998;;
2.21136;5.818912;1.231424;4.81296;;
1.9772159999999999;6.295872;5.0644480000000005;6.018368000000001;;
1.925184;5.966336;6.018368000000001;5.818912;;
2.133312;5.870944000000001;5.818912;5.576096;;
2.0986239999999996;6.053056;5.576096;5.9836800000000006;;
1.925184;6.053056;6.018368000000001;5.42;;
1.8904960000000002;5.6541440000000005;5.385312;6.018368000000001;;
1.925184;0.26016;6.035712;5.775551999999999;;
2.003232;3.0351999999999997;5.8015680000000005;5.307264;;
2.168;5.862272;5.298591999999999;4.665536;;
2.150656;6.1311040000000006;4.674207999999999;1.231424;;
1.968544;5.8015680000000005;1.222752;0.6330560000000001;;
2.0986239999999996;6.1744639999999995;0.6330560000000001;0.8325119999999999;;
2.12464;6.11376;0.8325119999999999;1.34416;;
2.141984;6.0964160000000005;1.101344;4.431392;;
2.133312;5.89696;3.798336;4.483424;;
2.055264;6.053056;3.9544319999999997;0.13008;;
2.003232;5.628127999999999;0.27750400000000003;2.194016;;
2.21136;2.9224639999999997;6.295872;4.24928;;
2.228704;1.9858879999999999;4.908352;5.090464;;
2.1159679999999996;1.621664;5.89696;5.385312;;
1.942528;3.3647359999999997;5.723520000000001;4.864992;;
2.046592;5.775551999999999;4.891008;5.827584;;
1.9945599999999999;5.775551999999999;5.818912;5.610784;;
1.968544;5.9836800000000006;5.6194560000000005;5.584768;;
2.25472;5.8536;5.576096;5.185855999999999;;
0;5.576096;5.185855999999999;5.697504;;
