sep=;
"Time";"DC:A6:32:0A:B8:22";"DC:A6:32:0A:E0:C9";"DC:A6:32:0A:E1:D4";"DC:A6:32:65:E7:AA"
"2020-06-23T01:32:22+02:00";1;1;1;null
"2020-06-23T01:32:27+02:00";1;1;1;null
"2020-06-23T01:32:32+02:00";1;1;1;null
"2020-06-23T01:32:37+02:00";1;1;1;null
"2020-06-23T01:32:42+02:00";1;1;1;null
"2020-06-23T01:32:47+02:00";1;1;1;null
"2020-06-23T01:32:52+02:00";1;1;1;null
"2020-06-23T01:32:57+02:00";null;null;1;null
"2020-06-23T01:33:02+02:00";null;null;1;null
"2020-06-23T01:33:07+02:00";null;null;1;null
"2020-06-23T01:33:12+02:00";null;null;1;null
"2020-06-23T01:33:17+02:00";null;null;1;null
"2020-06-23T01:33:22+02:00";null;null;1;null
"2020-06-23T01:33:27+02:00";null;null;1;null
"2020-06-23T01:33:32+02:00";null;null;1;null
"2020-06-23T01:33:37+02:00";null;null;1;null
"2020-06-23T01:33:42+02:00";null;null;1;null
"2020-06-23T01:33:47+02:00";null;null;1;null
"2020-06-23T01:33:52+02:00";null;null;1;null
"2020-06-23T01:33:57+02:00";null;null;1;null
"2020-06-23T01:34:02+02:00";null;null;1;null
"2020-06-23T01:34:07+02:00";null;null;1;null
"2020-06-23T01:34:12+02:00";null;null;1;null
"2020-06-23T01:34:17+02:00";null;null;1;null
"2020-06-23T01:34:22+02:00";null;1;1;null
"2020-06-23T01:34:27+02:00";null;1;1;null
"2020-06-23T01:34:32+02:00";null;1;1;null
"2020-06-23T01:34:37+02:00";null;1;null;null
"2020-06-23T01:34:42+02:00";null;1;null;null
"2020-06-23T01:34:47+02:00";null;1;null;null
"2020-06-23T01:34:52+02:00";null;1;null;null
"2020-06-23T01:34:57+02:00";null;1;null;null
"2020-06-23T01:35:02+02:00";1;1;null;null
"2020-06-23T01:35:07+02:00";1;1;null;null
"2020-06-23T01:35:12+02:00";1;1;null;null
"2020-06-23T01:35:17+02:00";1;1;null;null
"2020-06-23T01:35:22+02:00";1;1;null;null
"2020-06-23T01:35:27+02:00";1;1;null;null
"2020-06-23T01:35:32+02:00";1;1;null;null
"2020-06-23T01:35:37+02:00";1;1;null;null
"2020-06-23T01:35:42+02:00";1;1;null;null
"2020-06-23T01:35:47+02:00";1;1;null;null
"2020-06-23T01:35:52+02:00";1;1;null;null
"2020-06-23T01:35:57+02:00";1;1;null;null
"2020-06-23T01:36:02+02:00";1;1;null;null
"2020-06-23T01:36:07+02:00";1;1;null;null
"2020-06-23T01:36:12+02:00";1;1;null;null
"2020-06-23T01:36:17+02:00";1;1;null;null
"2020-06-23T01:36:22+02:00";1;1;null;null
"2020-06-23T01:36:27+02:00";1;1;null;null
"2020-06-23T01:36:32+02:00";1;1;null;null
"2020-06-23T01:36:37+02:00";1;1;null;null
"2020-06-23T01:36:42+02:00";1;1;null;null
"2020-06-23T01:36:47+02:00";1;1;null;null
"2020-06-23T01:36:52+02:00";1;1;null;null
"2020-06-23T01:36:57+02:00";1;1;null;null
"2020-06-23T01:37:02+02:00";1;1;null;null
"2020-06-23T01:37:07+02:00";1;1;null;null
"2020-06-23T01:37:12+02:00";1;1;null;null
"2020-06-23T01:37:17+02:00";1;1;null;null
"2020-06-23T01:37:22+02:00";1;1;null;1
"2020-06-23T01:37:27+02:00";1;1;null;1
"2020-06-23T01:37:32+02:00";1;1;null;1
