Time;Hour;0x00;QoS 1;BE 1;BE 2;BE 3;QoS 2
0;2020-04-20T11:49:04+02:00;0.559;0;0;0;0;0
1;2020-04-20T11:49:05+02:00;0.552;0;0;0;0;0
2;2020-04-20T11:49:06+02:00;0.575;0;0;0;0;0
3;2020-04-20T11:49:07+02:00;0.579;0;0;0;0;0
4;2020-04-20T11:49:08+02:00;0.612;0;0;0;0;0
5;2020-04-20T11:49:09+02:00;0.569;0;0;0;0;0
6;2020-04-20T11:49:10+02:00;0.534;0;0;0;0;0
7;2020-04-20T11:49:11+02:00;0.541;0;0;0;0;0
8;2020-04-20T11:49:12+02:00;0.564;0;0;0;0;0
9;2020-04-20T11:49:13+02:00;0.548;0;0;0;0;0
10;2020-04-20T11:49:14+02:00;0.524;0;0;0;0;0
11;2020-04-20T11:49:15+02:00;0.562;0;0;0;0;0
12;2020-04-20T11:49:16+02:00;0.549;0.107;0;0;0;0
13;2020-04-20T11:49:17+02:00;0.566;0.107;0;0;0;0
14;2020-04-20T11:49:18+02:00;0.087;0.116;0;0;0;0
15;2020-04-20T11:49:19+02:00;0.093;0.101;0;0;0;0
16;2020-04-20T11:49:20+02:00;0.106;0.099;0;0;0;0
17;2020-04-20T11:49:21+02:00;0.119;0.109;0;0;0;0
18;2020-04-20T11:49:22+02:00;0.105;0.103;0;0;0;0
19;2020-04-20T11:49:23+02:00;0.094;0.1;0;0;0;0
20;2020-04-20T11:49:24+02:00;0.092;0.098;0;0;0;0
21;2020-04-20T11:49:25+02:00;0.117;0.102;0;0;0;0
22;2020-04-20T11:49:26+02:00;0.108;0.101;0;0;0;0
23;2020-04-20T11:49:27+02:00;0.114;0.102;0;0;0;0
24;2020-04-20T11:49:28+02:00;0.094;0.107;0;0;0;0
25;2020-04-20T11:49:29+02:00;0.116;0.115;0;0;0;0
26;2020-04-20T11:49:30+02:00;0.124;0.105;0;0;0;0
27;2020-04-20T11:49:31+02:00;0.104;0.104;0;0;0;0
28;2020-04-20T11:49:32+02:00;0.104;0.098;0;0;0;0
29;2020-04-20T11:49:33+02:00;0.091;0.1;0;0;0;0
30;2020-04-20T11:49:34+02:00;0.088;0.107;0;0;0;0
31;2020-04-20T11:49:35+02:00;0.152;0.105;0;0;0;0
32;2020-04-20T11:49:36+02:00;0.119;0.111;0;0;0;0
33;2020-04-20T11:49:37+02:00;0.168;0.111;0;0;0;0
34;2020-04-20T11:49:38+02:00;0.089;0.097;0;0;0;0
35;2020-04-20T11:49:39+02:00;0.089;0.1;0;0;0;0
36;2020-04-20T11:49:40+02:00;0.115;0.103;0;0;0;0
37;2020-04-20T11:49:41+02:00;0.122;0.142;0;0;0;0
38;2020-04-20T11:49:42+02:00;0.211;0.106;0;0;0;0
39;2020-04-20T11:49:43+02:00;0.091;0.107;0;0;0;0
40;2020-04-20T11:49:44+02:00;0.095;0.106;0;0;0;0
41;2020-04-20T11:49:45+02:00;0.112;0.092;0;0;0;0
42;2020-04-20T11:49:46+02:00;0.117;0.112;0;0;0;0
43;2020-04-20T11:49:47+02:00;0.107;0.106;0;0;0;0
44;2020-04-20T11:49:48+02:00;0.084;0.1;0;0;0;0
45;2020-04-20T11:49:49+02:00;0.096;0.097;0;0;0;0
46;2020-04-20T11:49:50+02:00;0.103;0.097;0;0;0;0
47;2020-04-20T11:49:51+02:00;0.11;0.096;0;0;0;0
48;2020-04-20T11:49:52+02:00;0.149;0.103;0;0;0;0
49;2020-04-20T11:49:53+02:00;0.097;0.103;0;0;0;0
50;2020-04-20T11:49:54+02:00;0.091;0.103;0;0;0;0
51;2020-04-20T11:49:55+02:00;0.124;0.1;0;0;0;0
52;2020-04-20T11:49:56+02:00;0.107;0.095;0;0;0;0
53;2020-04-20T11:49:57+02:00;0.11;0.115;0;0;0;0
54;2020-04-20T11:49:58+02:00;0.11;0.099;0;0;0;0
55;2020-04-20T11:49:59+02:00;0.444;0.097;0;0;0;0
56;2020-04-20T11:50:00+02:00;0.781;0.098;0;0;0;0
57;2020-04-20T11:50:01+02:00;0.566;0.102;0;0;0;0
58;2020-04-20T11:50:02+02:00;0.449;0.104;0;0;0;0
59;2020-04-20T11:50:03+02:00;0.468;0.093;0;0;0;0
60;2020-04-20T11:50:04+02:00;0.439;0.095;0;0;0;0
61;2020-04-20T11:50:05+02:00;0.467;0.095;0;0;0;0
62;2020-04-20T11:50:06+02:00;0.458;0.101;0;0;0;0
63;2020-04-20T11:50:07+02:00;0.413;0.098;0;0;0;0
64;2020-04-20T11:50:08+02:00;0.393;0.095;0;0;0;0
65;2020-04-20T11:50:09+02:00;0.401;0.102;0;0;0;0
66;2020-04-20T11:50:10+02:00;0.405;0.093;0;0;0;0
67;2020-04-20T11:50:11+02:00;0.398;0.1;0;0;0;0
68;2020-04-20T11:50:12+02:00;0.406;0.101;0;0;0;0
