Time;Other;0x00;0x01;0x02;0x03;0x08;0x20
1;22:36:30;0;0;0;0;0;0
2;22:36:31;0;0;0;0;0;0
3;22:36:32;0;0;0;0;0;0
4;22:36:33;0.117;0;0;0;0;0
5;22:36:34;0.108;0;0;0;0;0
6;22:36:35;0.108;0;0;0;0;0
7;22:36:36;0;0;0;0;0;0
8;22:36:37;0.125;0;0;0;0;0
9;22:36:38;0.127;0;0;0;0;0
10;22:36:39;0;0;0;0;0;0
11;22:36:40;0.129;0;0;0;0;0
12;22:36:41;0;0;0;0;0;0
13;22:36:42;0.126;0;0;0;0;0
14;22:36:43;0.138;0;0;0;0;0
15;22:36:44;0.138;0;0;0;0;0
16;22:36:45;0.096;0;0;0;0;0
17;22:36:46;0;0;0;0;0;0
18;22:36:47;0.111;0;0;0;0;0
19;22:36:48;0.149;0;0;0;0;0
20;22:36:49;0.129;0;0;0;0;0
21;22:36:50;0.141;0;0;0;0;0
22;22:36:51;0;0;0;0;0;0
23;22:36:52;0.119;0;0;0;0;0
24;22:36:53;0.119;0;0;0;0;0
25;22:36:54;0.115;0;0;0;0;0
26;22:36:55;0.111;0;0;0;0;0
27;22:36:56;0;0;0;0;0;0
28;22:36:57;0;0;0;0;0;0
29;22:36:58;0;0;0;0;0;0
30;22:36:59;0;0;0;0;0;0
31;22:37:00;0;0;0;0;0;0
32;22:37:01;0;0;0;0;0;0
33;22:37:02;0;0;0;0;0;0
34;22:37:03;0;0;0;0;0;0
35;22:37:04;0;0;0;0;0;0
36;22:37:05;0;0;0;0;0;0
37;22:37:06;0;0;0;0;0;0
38;22:37:07;0;0;0;0;0;0
39;22:37:08;0;0;0;0;0;0
40;22:37:09;0;0;0;0;0;0
41;22:37:10;0;0;0;0;0;0
42;22:37:11;0;0;0;0;0;0
43;22:37:12;0;0;0;0;0;0
44;22:37:13;0;0;0;0;0;0
45;22:37:14;0;0;0;0;0;0
46;22:37:15;0;0;0;0;0;0
47;22:37:16;0;0;0;0;0;0
48;22:37:17;0;0;0;0;0;0
49;22:37:18;0;0;0;0;0;0
50;22:37:19;0;0;0;0;0;0
51;22:37:20;0;0;0;0;0;0
52;22:37:21;0;0;0;0;0;0
53;22:37:22;0;0;0;0;0;0
54;22:37:23;0;0;0;0;0;0
55;22:37:24;0;0;0;0;0;0
56;22:37:25;0;0;0;0;0;0
57;22:37:26;0;0;0;0;0;0
58;22:37:27;0;0;0;0;0;0
59;22:37:28;0;0;0;0;0;0
60;22:37:29;0.179;0;0;0;0;0
61;22:37:30;0.205;0;0;0;0;0
62;22:37:31;0;0;0;0;0;0
63;22:37:32;0.228;0;0;0;0;0
64;22:37:33;0.197;0;0;0;0;0
65;22:37:34;0.197;0;0;0;0;0
66;22:37:35;0.13;0.017;0.026;0.023;0;0
67;22:37:36;0;0.019;0.026;0.023;0;0
68;22:37:37;0.1;0.028;0;0;0;0
69;22:37:38;0.123;0;0;0;0;0
70;22:37:39;0;0.028;0;0;0;0
71;22:37:40;0.11;0.019;0;0;0;0
72;22:37:41;0;432.355;962.924;132.645;0;0
73;22:37:42;64.479;37.526;195.306;635.488;0;0
74;22:37:43;0;25.753;807.016;963.523;0;0
75;22:37:44;19.32;24.809;417.706;973.666;0;0
76;22:37:45;22.461;32.283;94.161;947.216;0;0
77;22:37:46;0;35.076;93.306;88.173;0;0
78;22:37:47;29.399;35.788;82.34;252.46;0;0
79;22:37:48;30.037;26.359;29.818;896.328;0;0
80;22:37:49;29.289;27.166;31.849;725.723;0;0
81;22:37:50;25.282;32.807;27.763;744.484;0;0
82;22:37:51;0;34.916;27.459;805.105;0;0
83;22:37:52;16.279;38.804;65.092;911.665;0;0
84;22:37:53;0;27.838;34.046;842.391;0;0
85;22:37:54;13.817;22.972;26.412;686.081;0;0
86;22:37:55;3.832;24.073;31.94;721.459;0;0
87;22:37:56;32.915;24.914;26.828;625.913;0;0
88;22:37:57;26.571;24.156;34.987;577.056;0;0
89;22:37:58;39.303;0;187.182;770.566;0;0
90;22:37:59;35.53;0;356.31;292.77;0;0
91;22:38:00;0;0;515.841;662.664;0;0
92;22:38:01;44.816;0;822.013;788.852;0;0
93;22:38:02;24.053;0;7.249;733.76;0;0
94;22:38:03;0;0;167.979;602.735;0;0
95;22:38:04;44.072;0;231.356;569.066;0;0
96;22:38:05;42.988;0;327.82;492.107;0;0
97;22:38:06;42.988;0;536.755;523.648;0;0
98;22:38:07;0;0;0;571.886;0;0
99;22:38:08;22.449;0;622.597;644.516;0;0
100;22:38:09;0;0;437.643;455.177;0;0
101;22:38:10;36.122;0;433.452;515.785;0;0
102;22:38:11;52.74;0;547.104;568.519;0;0
103;22:38:12;0;0;542.44;550.468;0;0
104;22:38:13;60.448;0;463.851;490.249;0;0
105;22:38:14;38.561;0;457.524;541.409;0;0
106;22:38:15;31.211;0;462.613;512.71;0;0
107;22:38:16;31.211;0;501.233;564.591;0;0
108;22:38:17;44.869;0;0;517.084;0;0
109;22:38:18;51.7;0;555.831;572.499;0;0
110;22:38:19;0;0;570.261;593.798;0;0
111;22:38:20;43.149;0;528.109;545.599;0;0
112;22:38:21;43.149;0;419.768;439.69;0;0
113;22:38:22;46.823;0;529.981;551.114;0;0
114;22:38:23;0;0;589.792;622.83;0;0
115;22:38:24;38.544;0;467.285;478.876;0;0
116;22:38:25;0;0;448.762;517.913;0;0
117;22:38:26;35.731;0;482.783;516.195;0;0
118;22:38:27;50.859;0;435.966;472.718;0;0
119;22:38:28;0;0;443.687;508.144;0;0
120;22:38:29;56.534;0;402.838;463.072;0;0
121;22:38:30;56.534;0;447.244;460.829;0;0
122;22:38:31;0;0;452.969;485.159;0;0
123;22:38:32;29.244;0;571.695;619.948;0;0
124;22:38:33;49.777;0;699.374;723.096;0;0
125;22:38:34;28.824;0;628.426;642.168;0;0
126;22:38:35;42.399;0;510.969;541.548;0;0
127;22:38:36;36.697;0;350.364;436.456;0;0
128;22:38:37;36.697;0;0;412.221;0;0
129;22:38:38;0;0;880.555;939.771;0;0
130;22:38:39;155.662;0;880.555;939.771;0;0
131;22:38:40;108.766;0;697.538;813.018;0;0
132;22:38:41;53.455;0;113.34;212.024;0;0
133;22:38:42;53.455;0;144.661;162.086;0;0
134;22:38:43;36.807;0;636.844;661.479;0;0
135;22:38:44;0;0;492.67;527.703;0;0
136;22:38:45;24.154;0;505.379;544.453;0;0
137;22:38:46;53.412;0;501.809;529.458;0;0
138;22:38:47;51.559;0;501.809;529.458;0;0
139;22:38:48;64.637;0;786.049;799.146;0;0
140;22:38:49;0;0;943.404;956.914;0;0
141;22:38:50;77.681;0;872.232;889.991;0;0
142;22:38:51;77.681;0;634.829;651.867;0;0
143;22:38:52;57.547;0;545.266;571.812;0;0
144;22:38:53;45.123;0;565.728;581.318;0;0
145;22:38:54;23.778;0;617.828;641.38;0;0
146;22:38:55;53.226;0;508.643;528.918;0;0
147;22:38:56;65.163;0;597.839;659.902;0;0
148;22:38:57;45.479;0;594.449;625.946;0;0
149;22:38:58;0;0;517.623;548.131;0;0
150;22:38:59;45.479;0;533.356;559.612;0;0
151;22:39:00;51.562;0;502.254;521.967;0;0
152;22:39:01;51.562;0;493.903;517.758;0;0
153;22:39:02;0;0;571.234;590.777;0;0
154;22:39:03;16.22;0;486.522;523.073;0;0
155;22:39:04;43.112;0;554.883;587.645;0;0
156;22:39:05;21.308;0;539.973;564.387;0;0
157;22:39:06;79.229;0;492.575;522.166;0;0
158;22:39:07;0;0;582.417;594.773;0;0
159;22:39:08;43.57;0;551.321;567.552;0;0
160;22:39:09;36.155;0;544.503;564.706;0;0
161;22:39:10;13.039;0;475.463;496.871;0;0
162;22:39:11;19.428;0;388.426;459.328;0;0
163;22:39:12;0;0;374.033;508.477;0;0
164;22:39:13;36.46;0;473.241;504.034;0;0
165;22:39:14;0;0;472.891;526.537;0;0
166;22:39:15;85.042;0;525.488;557.881;0;0
167;22:39:16;85.042;0;470.105;485.779;0;0
168;22:39:17;69.753;0;527.309;559.469;0;0
169;22:39:18;46.105;0;562.276;596.067;0;0
170;22:39:19;51.419;0;573.569;598.695;0;0
171;22:39:20;51.419;0;608.861;635.465;0;0
172;22:39:21;41.858;0;500.358;522.916;0;0
173;22:39:22;42.241;0;0;424.87;0;0
174;22:39:23;0;0;309.55;339.373;0;0
175;22:39:24;25.87;0;426.531;493.627;0;0
176;22:39:25;49.603;0;581.115;619.624;0;0
177;22:39:26;0;0;524.464;534.491;0;0
178;22:39:27;57.156;0;459.414;496.324;0;0
179;22:39:28;31.455;0;517.243;536.318;0;0
180;22:39:29;0;0;477.656;503.107;0;0
181;22:39:30;58.125;0;431.139;471.828;0;0
182;22:39:31;44.139;0;555.839;569.308;0;0
183;22:39:32;0;0;511.455;538.169;0;0
184;22:39:33;42.996;0;433.534;450.908;0;0
185;22:39:34;44.868;0;500.619;545.055;0;0
186;22:39:35;34.983;0;633.902;670.535;0;0
187;22:39:36;24.395;0;604.058;624.991;0;0
188;22:39:37;0;0;0;690.341;0;0
189;22:39:38;80.332;0;665.475;690.341;0;0
190;22:39:39;134.171;0;120.92;147.282;0;0
191;22:39:40;190.56;0;944.388;953.552;0;0
192;22:39:41;76.528;0;148.411;169.293;0;0
193;22:39:42;0;0;148.411;169.293;0;0
194;22:39:43;35.08;0;896.001;907.675;0;0
195;22:39:44;6.381;0;608.141;617.853;0;0
196;22:39:45;40.614;0;527.895;539.648;0;0
197;22:39:46;40.614;0;609.877;568.683;0;0
198;22:39:47;87.294;0;0;632.86;0;0
199;22:39:48;59.645;0;789.114;810.592;0;0
200;22:39:49;0;0;789.114;810.592;0;0
201;22:39:50;70.695;0;0;0;0;0
202;22:39:51;0.05;0;0;0;0;0
203;22:39:52;0.029;0;0;0;0;0
204;22:39:53;0.046;0;0;0;0;0
205;22:39:54;0;0;0;0;0;0
206;22:39:55;0.042;0;0;0;0;0
207;22:39:56;0;0;0;0;0;0
208;22:39:57;0.029;0;0;0;0;0
209;22:39:58;0;0;0;0;0;0
210;22:39:59;0.146;0;0;0;0;0
211;22:40:00;0;0.068;0;0;0;0
212;22:40:01;0.127;0.044;0;0;0;0
213;22:40:02;0.09;0.02;0;0;0;0
214;22:40:03;0;0.021;0;0;0;0
215;22:40:04;0.121;0.019;0;0;0;0
216;22:40:05;0;0.019;0;0;0;0.019
217;22:40:06;0.115;0;0;0;0;0.02
218;22:40:07;0.11;0;0;0;0;0.018
219;22:40:08;0.11;0;0;0;0;0.018
220;22:40:09;265.356;0;0;0;0;601.728
221;22:40:10;213.042;0;0;0;0;254.219
222;22:40:11;0;0;0;0;0;626.557
223;22:40:12;158.909;0;0;0;0;170.491
224;22:40:13;248.929;653.705;0;0;0;654.177
225;22:40:14;276.341;175.56;0;0;0;165.111
226;22:40:15;273.834;40.806;0;0;0;504.384
227;22:40:16;0;702.952;0;0;0;793.689
228;22:40:17;219.9;616.599;0;0;0;153.065
229;22:40:18;267.685;600.13;0;0;0;629.855
230;22:40:19;284.342;429.615;0;0;0;73.872
231;22:40:20;140.477;317.9;0;0;0;558.335
232;22:40:21;0;515.058;0;0;0;993.562
233;22:40:22;82.197;750.487;0;0;0;581.09
234;22:40:23;187.187;381.822;0;0;0;47.852
235;22:40:24;0;379.831;0;0;0;613.512
236;22:40:25;184.566;652.435;0;0;0;798.064
