Time;0x00;0x01;0x02;0x03;0x08;0x20
0;0;0;0;0;0;0
1;0;0;0;0;0;0
2;0;0;0;0;0;0
3;0;0;0;0;0;0
4;0;0;0;0;0;0
5;0;0;0;0;0;0
6;0;0;0;0;0;0
7;0;0;0;0;0;0
8;0;0;0;0;0;0
9;0;0;0;0;0;0
10;0;0;0;0;0;0
11;0;0;0;0;0;0
12;0;0;0;0;0;0
13;0;0;0;0;0;0
14;0;0;0;0;0;0
15;0;0;0;0;0;0
16;0;0;0;0;0;0
17;0;0;0;0;0;0
18;0;0;0;0;0;0
19;0;0;0;0;0;0
20;0;0;0;0;0;0
21;0;0;0;0;0;0
22;0;0;0;0;0;0
23;0;0;0;0;0;0
24;0;0;0;0;0;0
25;0;0;0;0;0;0
26;0;0;0;0;0;0
27;0;0;0;0;0;0
28;0;0;0;0;0;0
29;0;0;0;0;0;0
30;0;0;0;0;0;0
31;0;0;0;0;0;0
32;0;0;0;0;0;0
33;0;0;0;0;0;0
34;0;0;0;0;0;0
35;0;0;0;0;0;0
36;0;0;0;0;0;0
37;0;0;0;0;0;0
38;0;0;0;0;0;0
39;0;0;0;0;0;0
40;4002;0;0;0;0;0
41;4002;0;0;0;0;0
42;4002;0;0;0;0;0
43;4002;0;0;0;0;0
44;4002;8001;0;0;0;0
45;4002;8001;0;0;0;0
46;0;0;12261;40571;0;0
47;12000;14538;12939;11606;0;0
48;11399;5916;11569;14349;0;0
49;11399;8958;11811;14591;0;0
50;10492;5916;0;965;0;0
51;11261;8790;13356;13757;0;0
52;11310;2874;0;13276;0;0
53;10340;8958;12000;12712;0;0
54;11399;0;0;3832;0;0
55;11261;0;0;1189;0;0
56;11399;0;0;10885;0;0
57;11399;0;11066;14178;0;0
58;11399;8958;3089;12725;0;0
59;8898;0;2712;12334;0;0
60;10620;0;13183;10805;0;0
61;10680;0;14283;6647;0;0
62;11310;0;6690;13683;0;0
63;11310;2874;11218;12953;0;0
64;11310;0;12944;2679;0;0
65;11310;12000;8056;12420;0;0
66;11310;8958;10927;14146;0;0
67;0;8958;0;4083;0;0
68;10709;2874;0;7376;0;0
69;11399;0;14162;1471;0;0
70;11310;8958;14494;7061;0;0
71;11310;8958;12664;10489;0;0
72;10492;0;13802;1111;0;0
73;11182;0;13667;3605;0;0
74;11310;11832;12726;35;0;0
75;11310;0;12930;239;0;0
76;10980;0;4908;12104;0;0
77;10762;6742;13549;3487;0;0
78;0;0;2220;12045;0;0
79;0;1484;14424;9620;0;0
80;11340;9371;13822;1131;0;0
81;11340;4113;12203;7399;0;0
82;11222;0;6132;13328;0;0
83;11222;0;13078;3016;0;0
84;11222;0;10653;12591;0;0
85;11340;0;12469;5036;0;0
86;11340;9371;1012;13466;0;0
87;0;9371;2700;12525;0;0
88;11422;0;614;13068;0;0
89;0;0;13157;5724;0;0
90;11422;6742;4540;14365;0;0
91;11422;0;13309;12618;0;0
92;11422;6742;4948;12144;0;0
93;11222;9371;13039;8235;0;0
94;11222;0;6501;13697;0;0
95;0;0;10479;12417;0;0
96;11340;0;12039;7235;0;0
97;0;12000;13177;12486;0;0
98;11422;4113;14059;3997;0;0
99;11422;0;14135;6702;0;0
100;11422;0;9548;14115;0;0
101;11422;0;12381;7577;0;0
102;11092;0;11229;13167;0;0
103;11422;1484;578;13032;0;0
104;0;9371;14266;13575;0;0
105;10562;0;11713;13651;0;0
106;0;0;12723;10548;0;0
107;0;0;14200;9396;0;0
108;0;0;242;12696;0;0
109;0;6742;107;12561;0;0
110;0;0;9215;13782;0;0
111;0;6742;13871;1180;0;0
112;0;0;13058;8254;0;0
113;11340;4113;117;12571;0;0
114;11340;6742;13466;3404;0;0
115;11020;11832;6250;13446;0;0
116;11340;0;13874;3812;0;0
117;0;0;11916;13854;0;0
118;11422;0;14621;9817;0;0
119;11340;0;5160;12356;0;0
120;11310;0;12324;7520;0;0
121;0;14370;11857;13795;0;0
122;8810;4871;14358;12183;0;0
123;11310;0;5620;12816;0;0
124;10680;0;10660;12598;0;0
125;11340;0;13960;11785;0;0
126;11340;0;14503;7070;0;0
127;11340;12000;6014;13210;0;0
128;11422;0;14444;1753;0;0
129;11422;6742;12953;262;0;0
130;11422;4113;14091;9287;0;0
131;11340;0;2212;12037;0;0
132;11340;4113;4156;13981;0;0
133;11340;6742;1731;14185;0;0
134;10762;9371;8338;12905;0;0
135;11340;9371;12866;13659;0;0
136;11340;8226;6456;13652;0;0
137;11340;0;13530;3468;0;0
138;0;9371;13267;576;0;0
139;11422;0;12921;10746;0;0
140;11422;8226;9818;14385;0;0
141;11340;0;14602;9798;0;0
142;11340;0;14128;11953;0;0
143;11038;0;12720;2658;0;0
144;11340;0;13135;444;0;0
145;0;0;11516;13454;0;0
146;11340;9371;12993;2931;0;0
147;11340;6742;4165;13990;0;0
148;0;0;12723;2661;0;0
149;11222;0;12927;5494;0;0
150;0;9371;1342;13796;0;0
151;11340;0;14563;1872;0;0
152;11340;4113;9976;14543;0;0
153;11670;0;12003;4570;0;0
154;11340;6742;14497;1806;0;0
155;11422;0;12283;7479;0;0
156;11340;4113;13632;3570;0;0
157;11340;9371;12352;10177;0;0
158;11340;0;14379;6946;0;0
159;0;6742;1988;14442;0;0
160;11340;9371;5160;12356;0;0
161;11340;4113;13462;6029;0;0
162;11340;0;12732;5299;0;0
163;11340;0;1825;14279;0;0
164;11422;0;10805;12743;0;0
165;11422;1484;12493;5060;0;0
166;11340;6742;2731;12556;0;0
167;11340;0;12178;2116;0;0
168;11340;0;5851;13047;0;0
169;11340;4113;13136;5703;0;0
170;10762;9371;4391;14216;0;0
171;11222;0;7563;12130;0;0
172;11340;0;12686;2624;0;0
173;11340;0;12762;7958;0;0
174;11422;9371;13049;2987;0;0
175;11422;0;14609;13918;0;0
