Time;Hour;0x00;QoS 1;BE 1;BE 2;BE 3;QoS 2
1;2020-06-23T01:32:05+02:00;12000;12000;12000;12000;12000;12000
2;2020-06-23T01:32:06+02:00;12000;12000;12000;12000;12000;12000
3;2020-06-23T01:32:07+02:00;12000;12000;12000;12000;12000;12000
4;2020-06-23T01:32:08+02:00;12000;12000;12000;12000;12000;12000
5;2020-06-23T01:32:09+02:00;12000;12000;12000;12000;12000;12000
6;2020-06-23T01:32:10+02:00;12000;12000;12000;12000;12000;12000
7;2020-06-23T01:32:11+02:00;12000;12000;12000;12000;12000;12000
8;2020-06-23T01:32:12+02:00;12000;12000;12000;12000;12000;12000
9;2020-06-23T01:32:13+02:00;12000;12000;12000;12000;12000;12000
10;2020-06-23T01:32:14+02:00;12000;12000;12000;12000;12000;12000
11;2020-06-23T01:32:15+02:00;12000;12000;12000;12000;12000;12000
12;2020-06-23T01:32:16+02:00;12000;12000;12000;12000;12000;12000
13;2020-06-23T01:32:17+02:00;12000;12000;12000;12000;12000;12000
14;2020-06-23T01:32:18+02:00;12000;12000;12000;12000;12000;12000
15;2020-06-23T01:32:19+02:00;12000;12000;12000;12000;12000;12000
16;2020-06-23T01:32:20+02:00;12000;12000;12000;12000;12000;12000
17;2020-06-23T01:32:21+02:00;12000;12000;12000;12000;12000;12000
18;2020-06-23T01:32:22+02:00;12000;12000;12000;12000;12000;12000
19;2020-06-23T01:32:23+02:00;12000;12000;12000;12000;12000;12000
20;2020-06-23T01:32:24+02:00;12000;12000;12000;12000;12000;12000
21;2020-06-23T01:32:25+02:00;12000;12000;12000;12000;12000;12000
22;2020-06-23T01:32:26+02:00;12000;12000;12000;12000;12000;12000
23;2020-06-23T01:32:27+02:00;12000;12000;12000;12000;12000;12000
24;2020-06-23T01:32:28+02:00;12000;12000;12000;12000;12000;12000
25;2020-06-23T01:32:29+02:00;12000;12000;12000;12000;12000;12000
26;2020-06-23T01:32:30+02:00;12000;12000;12000;12000;12000;12000
27;2020-06-23T01:32:31+02:00;12000;12000;12000;12000;12000;12000
28;2020-06-23T01:32:32+02:00;12000;12000;12000;12000;12000;12000
