sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x20"
"2020-07-07T02:58:43+02:00";0.412;0;0;0;0;0
"2020-07-07T02:58:44+02:00";0.454;0;0;0;0;0
"2020-07-07T02:58:45+02:00";0.621;0;0;0;0;0
"2020-07-07T02:58:46+02:00";0.388;0;0;0;0;0
"2020-07-07T02:58:47+02:00";0.365;0;0;0;0;0
"2020-07-07T02:58:48+02:00";0.378;0;0;0;0;0
"2020-07-07T02:58:49+02:00";0.4;0;0;0;0;0
"2020-07-07T02:58:50+02:00";0.418;0;0;0;0;0
"2020-07-07T02:58:51+02:00";0.381;0;0;0;0;0
"2020-07-07T02:58:52+02:00";0.392;0;0;0;0;0
"2020-07-07T02:58:53+02:00";0.407;0;0;0;0;0
"2020-07-07T02:58:54+02:00";0.419;0;0;0;0;0
"2020-07-07T02:58:55+02:00";0.359;0;0;0;0;0
"2020-07-07T02:58:56+02:00";0.366;0;0;0;0;0
"2020-07-07T02:58:57+02:00";0.365;0;0;0;0;0
"2020-07-07T02:58:58+02:00";0.369;0;0;0;0;0
"2020-07-07T02:58:59+02:00";0.393;0;0;0;0;0
"2020-07-07T02:59:00+02:00";0.399;0;0;0;0;0
"2020-07-07T02:59:01+02:00";0.388;0;0;0;0;0
"2020-07-07T02:59:02+02:00";0.431;0;0;0;0;0
"2020-07-07T02:59:03+02:00";0.398;0;0;0;0;0
"2020-07-07T02:59:04+02:00";0.417;0;0;0;0;0
"2020-07-07T02:59:05+02:00";0.401;0;0;0;0;0
"2020-07-07T02:59:06+02:00";0.374;0;0;0;0;0
"2020-07-07T02:59:07+02:00";0.384;0;0;0;0;0
"2020-07-07T02:59:08+02:00";0.383;0;0;0;0;0
"2020-07-07T02:59:09+02:00";0.395;0;0;0;0;0
"2020-07-07T02:59:10+02:00";0.402;0;0;0;0;0
"2020-07-07T02:59:11+02:00";0.416;0;0;0;0;0
"2020-07-07T02:59:12+02:00";0.375;0;0;0;0;0
"2020-07-07T02:59:13+02:00";0.393;0;0;0;0;0
"2020-07-07T02:59:14+02:00";0.405;0;0;0;0;0
"2020-07-07T02:59:15+02:00";0.376;0;0;0;0;0
"2020-07-07T02:59:16+02:00";0.371;0;0;0;0;0
"2020-07-07T02:59:17+02:00";0.364;0;0;0;0;0
"2020-07-07T02:59:18+02:00";0.358;0;0;0;0;0
"2020-07-07T02:59:19+02:00";0.407;0;0;0;0;0
"2020-07-07T02:59:20+02:00";0.426;0;0;0;0;0
"2020-07-07T02:59:21+02:00";0.397;0;0;0;0;0
