Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
1;0.096;0.033;0.026;0.125;0.106;;;;;;
2;0.102;0.025;0.028;0.112;0.091;;;;;;
3;0.098;0.022;0.025;0.124;0.09;;;;;;
4;0.097;0.028;0.027;23.71;0.093;;;;;;
5;0.099;0.048;0.026;0.038;0.101;;;;;;
6;0.106;0.022;0.028;0.038;0.098;;;;;;
7;0.107;0.023;0.027;6.78;0.094;;;;;;
8;0.099;0.022;0.03;1.45;0.096;;;;;;
9;0.104;0.025;0.027;0.037;0.097;;;;;;
10;0.096;0.022;0.027;0.041;0.096;;;;;;
11;0.095;0.021;0.027;57.673;0.092;;;;;;
12;0.1;0.023;0.027;0.115;9.729;;;;;;
13;0.094;0.023;0.046;0.11;17.174;;;;;;
14;0.127;0.025;136.161;0.106;541.384;;;;;;
15;0.099;0.023;0.029;0.109;12.337;;;;;;
16;0.101;0.022;0.028;0.119;0.09;;;;;;
17;0.099;0.023;0.028;0.104;0.107;;;;;;
18;0.101;0.023;0.032;0.107;0.104;;;;;;
19;0.092;0.024;0.026;0.095;0.099;;;;;;
20;0.088;0.022;0.029;0.114;0.095;;;;;;
21;0.102;0.023;204.593;0.033;0.095;;;;;;
22;0.097;0.023;553.8;0.025;0.098;;;;;;
23;0.094;0.022;868.747;0.024;0.098;;;;;;
24;0.09;0.04;753.426;0.025;0.093;;;;;;
25;0.093;0.025;68.174;0.026;0.093;;;;;;
26;0.086;0.022;0.027;0.026;0.102;;;;;;
27;0.099;0.021;0.027;0.027;0.098;;;;;;
28;0.097;0.023;0.03;0.028;0.093;;;;;;
29;0.108;0.023;0.028;0.025;0.096;;;;;;
30;0.091;0.023;0.027;0.026;0.098;;;;;;
31;0.093;0.021;0.03;49.965;0.099;;;;;;
32;0.092;0.024;0.026;543.746;0.092;;;;;;
33;0.091;0.029;0.043;780.907;0.116;;;;;;
34;0.107;0.025;252.478;759.25;0.099;;;;;;
35;0.092;0.027;24.697;209.672;0.1;;;;;;
36;0.093;0.027;0.035;458.635;0.098;;;;;;
37;0.095;0.026;0.03;1.712;0.1;;;;;;
38;0.089;0.027;0.034;870.269;0.092;;;;;;
39;0.09;0.03;0.029;932.684;0.098;;;;;;
40;0.099;0.025;0.029;865.27;0.093;;;;;;
41;0.101;0.027;0.029;915.3;0.093;;;;;;
42;0.098;0.025;0.028;826.71;0.092;;;;;;
