Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;;
1;0.017344000000000002;4.067168000000001;2.68832;2.47152;0.04336;;;;;;;
2;1.77776;4.1192;4.231935999999999;4.500768;2.141984;;;;;;;
3;1.8818240000000002;3.5988800000000003;4.309984;3.564192;2.0726080000000002;;;;;;;
4;2.393472;3.702944;3.6595839999999997;0;2.202688;;;;;;;
5;2.168;4.5528;3.9544319999999997;0;2.08128;;;;;;;
6;2.046592;4.4747520000000005;4.197247999999999;0;2.011904;;;;;;;
7;2.194016;4.5528;3.980448;0;1.899168;;;;;;;
8;2.055264;4.648192;3.850368;0;2.462848;;;;;;;
9;2.029248;3.33872;3.937088;0;1.8384639999999999;;;;;;;
10;2.194016;4.518112;4.049824;0;2.063936;;;;;;;
11;1.925184;3.893728;4.257952;0;2.08128;;;;;;;
12;2.003232;4.058496;4.153888;0;2.107296;;;;;;;
13;2.055264;4.578816;3.668256;0;2.063936;;;;;;;
14;1.8731520000000002;3.564192;3.6595839999999997;0;0.27750400000000003;;;;;;;
15;2.2633919999999996;4.231935999999999;4.049824;2.2200320000000002;3.7809920000000004;;;;;;;
16;2.029248;4.1192;4.388032;4.153888;2.133312;;;;;;;
17;2.272064;4.353344;4.110528;4.049824;2.194016;;;;;;;
18;2.194016;4.240608;4.362016;4.301312;2.159328;;;;;;;
19;2.176672;3.893728;4.101856;3.6595839999999997;2.2200320000000002;;;;;;;
20;1.855808;4.049824;4.20592;4.023808;1.9772159999999999;;;;;;;
21;2.020576;3.9717759999999998;2.306752;4.101856;1.899168;;;;;;;
22;1.9858879999999999;4.20592;2.766368;3.980448;1.9858879999999999;;;;;;;
23;2.055264;3.7463040000000003;2.68832;3.8416959999999998;2.150656;;;;;;;
24;2.055264;3.7463040000000003;6.165792000000001;0;2.08128;;;;;;;
25;2.046592;3.963104;5.46336;0;2.046592;;;;;;;
26;2.020576;3.6769279999999998;4.153888;0;2.055264;;;;;;;
27;1.968544;4.101856;4.03248;0;1.9858879999999999;;;;;;;
28;2.306752;4.084512;4.46608;0;1.9858879999999999;;;;;;;
29;2.3674560000000002;4.015136;3.9457600000000004;0;1.959872;;;;;;;
30;1.8297919999999999;3.9110720000000003;4.353344;0;2.272064;;;;;;;
31;1.9772159999999999;4.16256;4.388032;0;1.968544;;;;;;;
32;2.185344;3.8243519999999998;4.101856;0;2.107296;;;;;;;
33;1.9858879999999999;4.2926400000000005;3.477472;0;1.925184;;;;;;;
34;1.7257280000000002;4.101856;2.584256;0;1.9945599999999999;;;;;;;
35;2.020576;3.9544319999999997;5.341952;3.7463040000000003;1.9512;;;;;;;
36;1.8818240000000002;4.16256;4.223264;4.24928;2.0899520000000003;;;;;;;
37;2.0986239999999996;4.370688;4.24928;4.006464;2.332768;;;;;;;
38;1.9858879999999999;4.674207999999999;4.3273280000000005;4.518112;2.185344;;;;;;;
39;2.506208;4.127872;4.049824;4.101856;2.055264;;;;;;;
40;1.916512;4.457408;4.16256;4.197247999999999;1.9945599999999999;;;;;;;
41;2.376128;3.789664;3.963104;4.041152;2.34144;;;;;;;
42;1.77776;4.344671999999999;3.893728;4.370688;2.202688;;;;;;;
