Time;Hour;STA 4;STA 3;STA 2;STA 1
1;2020-06-28T18:42:01+02:00;0;0;0;0
2;2020-06-28T18:42:02+02:00;0;0;0;0
3;2020-06-28T18:42:03+02:00;0;0;0;0
4;2020-06-28T18:42:04+02:00;0;0;0;0
5;2020-06-28T18:42:05+02:00;0;0;0;0
6;2020-06-28T18:42:06+02:00;0;0;0;0
7;2020-06-28T18:42:07+02:00;0;0;0;0
8;2020-06-28T18:42:08+02:00;0;0;0;0
9;2020-06-28T18:42:09+02:00;0;0;0;0
10;2020-06-28T18:42:10+02:00;0;0;0;0
11;2020-06-28T18:42:11+02:00;0;0;0;0
12;2020-06-28T18:42:12+02:00;0;0;0;0
13;2020-06-28T18:42:13+02:00;0;0;0;0
14;2020-06-28T18:42:14+02:00;0;0;0;0
15;2020-06-28T18:42:15+02:00;0;0;0;0
16;2020-06-28T18:42:16+02:00;0;0;0;0
17;2020-06-28T18:42:17+02:00;0;0;0;0
18;2020-06-28T18:42:18+02:00;0;0;0;0
19;2020-06-28T18:42:19+02:00;0;0;0;0
20;2020-06-28T18:42:20+02:00;0;0;0;0
21;2020-06-28T18:42:21+02:00;0;0;0;0
22;2020-06-28T18:42:22+02:00;0;0;0;0
23;2020-06-28T18:42:23+02:00;0;1;1;0
24;2020-06-28T18:42:24+02:00;0;1;1;0
25;2020-06-28T18:42:25+02:00;0;1;1;0
26;2020-06-28T18:42:26+02:00;0;1;1;0
27;2020-06-28T18:42:27+02:00;0;1;1;0
28;2020-06-28T18:42:28+02:00;0;1;1;0
29;2020-06-28T18:42:29+02:00;0;1;1;0
30;2020-06-28T18:42:30+02:00;0;1;1;0
31;2020-06-28T18:42:31+02:00;0;1;1;0
32;2020-06-28T18:42:32+02:00;0;1;1;0
33;2020-06-28T18:42:33+02:00;0;1;1;0
34;2020-06-28T18:42:34+02:00;0;1;1;0
35;2020-06-28T18:42:35+02:00;0;1;1;0
36;2020-06-28T18:42:36+02:00;0;1;1;0
37;2020-06-28T18:42:37+02:00;0;1;1;0
38;2020-06-28T18:42:38+02:00;0;1;1;0
39;2020-06-28T18:42:39+02:00;0;1;1;0
40;2020-06-28T18:42:40+02:00;0;1;1;0
41;2020-06-28T18:42:41+02:00;0;1;1;0
