sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x20"
"2020-07-06T22:12:29+02:00";0.5;0;0;0;0;0
"2020-07-06T22:12:30+02:00";0.498;null;null;null;null;null
"2020-07-06T22:12:31+02:00";0.498;0;0;0;0;0
"2020-07-06T22:12:32+02:00";0.559;0;0;0;0;0
"2020-07-06T22:12:33+02:00";0.666;0;null;null;null;null
"2020-07-06T22:12:34+02:00";0.572;0;0;0;0;0
"2020-07-06T22:12:35+02:00";null;null;0;0;0;0
"2020-07-06T22:12:36+02:00";0.557;0;0;0;0;0
"2020-07-06T22:12:38+02:00";0.499;0;0;0;0;0
"2020-07-06T22:12:39+02:00";0.525;0;0;0;0;0
"2020-07-06T22:12:40+02:00";0.515;0.1;0;null;null;null
"2020-07-06T22:12:41+02:00";null;null;null;0;0;0
"2020-07-06T22:12:42+02:00";0.499;0.097;0;0;0;0
"2020-07-06T22:12:43+02:00";0.502;0.099;0;0;0;null
"2020-07-06T22:12:44+02:00";0.518;0.106;null;null;null;0
"2020-07-06T22:12:45+02:00";0.534;null;0;0;0;0
"2020-07-06T22:12:46+02:00";0.521;0.092;0;0;0;0
"2020-07-06T22:12:48+02:00";0.522;0.099;0;0;0;0
"2020-07-06T22:12:49+02:00";0.231;null;null;null;null;null
"2020-07-06T22:12:50+02:00";0.231;0.103;0;0;0;0
"2020-07-06T22:12:51+02:00";0.229;0.105;0;0;0;0
"2020-07-06T22:12:52+02:00";0.227;0.101;0;null;null;null
"2020-07-06T22:12:53+02:00";0.267;0.102;0;0;0;0
"2020-07-06T22:12:54+02:00";0.22;0.094;0;0;0;0
"2020-07-06T22:12:55+02:00";0.235;0.095;0;0;0;0
"2020-07-06T22:12:56+02:00";0.236;0.09;0;0;0;0
"2020-07-06T22:12:57+02:00";0.236;0.096;null;null;null;null
"2020-07-06T22:12:58+02:00";0.242;0.091;0;0;0;0
"2020-07-06T22:12:59+02:00";0.318;0.1;0;0;0;0
"2020-07-06T22:13:00+02:00";0.228;0.085;0;0;0;0
"2020-07-06T22:13:01+02:00";0.219;0.098;0;0;0;0
"2020-07-06T22:13:02+02:00";0.219;0.089;0;0;0;0
"2020-07-06T22:13:03+02:00";0.257;0.099;0;0;0;0
"2020-07-06T22:13:04+02:00";0.251;0.095;0;0;0;0
"2020-07-06T22:13:05+02:00";0.259;0.097;0;0;0;0
"2020-07-06T22:13:06+02:00";0.236;0.093;0;0;0;0
"2020-07-06T22:13:08+02:00";0.247;0.105;0;0;0;0
"2020-07-06T22:13:09+02:00";0.088;0.104;0;0;null;null
"2020-07-06T22:13:10+02:00";0.104;0.097;0;0;0;0
"2020-07-06T22:13:11+02:00";0.104;0.095;0;0;0;0
"2020-07-06T22:13:12+02:00";0.118;0.097;0;0;0;0
"2020-07-06T22:13:13+02:00";0.121;0.096;0;0;0;0
"2020-07-06T22:13:14+02:00";0.091;0.094;0;0;0;0
"2020-07-06T22:13:15+02:00";0.106;0.088;0;0;0;0
"2020-07-06T22:13:16+02:00";0.106;0.102;0;0;0;0
"2020-07-06T22:13:17+02:00";0.103;0.095;0;0;0;0
"2020-07-06T22:13:18+02:00";0.119;0.098;0;0;0;0
"2020-07-06T22:13:19+02:00";0.123;0.098;0;0;0;0
"2020-07-06T22:13:20+02:00";0.102;0.104;0;0;0;0
"2020-07-06T22:13:21+02:00";0.102;0.109;0;0;0;0
"2020-07-06T22:13:22+02:00";0.109;0.095;0;0;null;null
"2020-07-06T22:13:23+02:00";0.099;0.096;0;0;0;0
"2020-07-06T22:13:24+02:00";0.285;0.099;0;0;0;0
"2020-07-06T22:13:25+02:00";0.285;0.096;0;0;0;0
"2020-07-06T22:13:26+02:00";0.112;0.095;0;0;0;0
"2020-07-06T22:13:27+02:00";0.109;0.096;null;null;null;null
"2020-07-06T22:13:28+02:00";0.103;0.096;0;0;0;0
"2020-07-06T22:13:29+02:00";0.507;0.093;0;0;0;0
"2020-07-06T22:13:30+02:00";0.507;0.097;0;0;0;0
"2020-07-06T22:13:31+02:00";0.421;0.094;0;0;0;0
"2020-07-06T22:13:32+02:00";0.538;0.111;0;0;0;0
"2020-07-06T22:13:33+02:00";0.534;0.099;0;0;0;0
"2020-07-06T22:13:34+02:00";0.674;0.11;0;null;null;null
"2020-07-06T22:13:35+02:00";0.674;0.093;0;0;0;0
"2020-07-06T22:13:36+02:00";0.526;0.097;0;0;0;null
"2020-07-06T22:13:37+02:00";0.368;0.093;0;0;0;0
"2020-07-06T22:13:38+02:00";0.384;0.098;0;0;0;0
"2020-07-06T22:13:39+02:00";0.354;0.103;0;0;0;0
"2020-07-06T22:13:40+02:00";0.42;0.097;0;0;0;0
"2020-07-06T22:13:41+02:00";0.42;0.098;0;0;0;0
"2020-07-06T22:13:42+02:00";0.384;0.1;0;0;0;0
