Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
1;0.096;0.023;3.355;0.121;30.738;;;;;;
2;0.099;0.024;0.032;0.14;37.329;;;;;;
3;0.094;0.026;0.028;0.144;31.668;;;;;;
4;0.096;0.023;0.033;0.137;68.49;;;;;;
5;0.106;0.024;0.029;0.113;49.522;;;;;;
6;0.094;0.023;0.029;0.146;43.704;;;;;;
7;0.098;0.024;0.03;0.123;64.747;;;;;;
8;0.102;0.024;3.428;0.134;40.037;;;;;;
9;0.102;0.025;0.032;0.139;65.402;;;;;;
10;0.093;0.03;0.034;0.125;28.722;;;;;;
11;0.102;0.022;0.032;0.131;18.835;;;;;;
12;0.105;0.023;0.029;0.12;17.227;;;;;;
13;0.103;0.023;0.031;0.14;20.484;;;;;;
14;0.093;0.026;0.027;0.136;21.232;;;;;;
15;0.095;0.027;196.503;0.139;16.823;;;;;;
16;0.092;0.023;710.59;0.137;17.135;;;;;;
17;0.093;0.023;262.469;0.117;40.187;;;;;;
18;0.099;0.023;159.817;0.137;57.473;;;;;;
19;0.114;0.023;190.246;0.15;41.383;;;;;;
20;0.1;0.024;0.029;0.128;65.491;;;;;;
21;0.11;0.022;0.027;0.153;57.092;;;;;;
22;0.097;0.024;0.031;0.125;60.661;;;;;;
23;0.102;0.024;0.028;0.132;49.052;;;;;;
24;0.096;0.023;0.033;0.123;66.136;;;;;;
25;0.11;0.025;0.026;38.598;49.883;;;;;;
26;0.096;0.024;0.033;334.733;103.403;;;;;;
27;0.103;0.026;0.028;105.04;42.836;;;;;;
28;0.094;0.025;0.034;0.141;34.134;;;;;;
29;0.091;0.023;0.028;0.136;52.47;;;;;;
30;0.105;0.026;0.026;0.127;38.24;;;;;;
31;0.102;0.025;0.029;0.115;84.13;;;;;;
32;0.089;2.983;0.032;0.024;26.331;;;;;;
33;0.09;0.03;0.031;0.031;37.514;;;;;;
34;0.104;0.029;0.028;0.024;34.098;;;;;;
35;0.093;0.03;0.027;0.022;48.864;;;;;;
36;0.104;0.03;15.156;0.022;43.024;;;;;;
37;0.092;0.033;5.266;0.025;67.335;;;;;;
38;0.095;0.034;0.037;0.022;109.545;;;;;;
39;0.099;3.296;0.028;0.025;null;;;;;;
40;0.118;0.031;0.03;0.024;945.016;;;;;;
41;0.098;0.031;0.029;0.022;302.759;;;;;;
42;0.091;0.034;0.027;0.024;579.161;;;;;;
43;0.098;0.031;2.097;0.024;114.924;;;;;;
44;0.109;0.033;0.033;0.025;41.919;;;;;;
45;0.098;0.028;0.028;0.023;31.088;;;;;;
46;0.096;191.435;0.028;0.023;34.627;;;;;;
47;0.098;679.516;0.028;0.023;25.143;;;;;;
48;0.102;288.684;0.029;0.024;52.92;;;;;;
49;0.102;181.566;0.029;0.025;37.597;;;;;;
50;0.11;162.876;0.037;0.027;44.808;;;;;;
51;0.094;0.029;0.028;0.023;33.454;;;;;;
52;0.104;0.028;0.027;0.027;150.688;;;;;;
53;0.098;0.034;0.028;0.023;339.934;;;;;;
54;0.093;0.029;0.029;0.024;614.791;;;;;;
55;0.104;0.032;0.027;0.026;786.416;;;;;;
56;0.1;0.026;0.504;213.434;107.828;;;;;;
57;0.114;0.029;0.038;498.331;38.656;;;;;;
58;0.101;0.03;0.035;685.112;29.5;;;;;;
59;0.098;0.028;0.03;553.38;43.354;;;;;;
60;0.11;0.028;0.026;670.513;32.734;;;;;;
61;0.094;0.028;0;778.696;35.924;;;;;;
62;0.111;0.03;0;609.099;37.355;;;;;;
63;0.1;0.028;0;600.766;29.317;;;;;;
64;0.098;0.033;0;862.07;35.17;;;;;;
65;0.099;0.026;0;705.121;54.438;;;;;;
66;0.1;0.026;0;871.107;36.047;;;;;;
67;0.103;20.736;0;678.289;45.945;;;;;;
68;0.094;5.331;0;583.67;31.029;;;;;;
69;0.099;0.032;0;706.613;35.559;;;;;;
70;0.096;0.027;0;704.989;23.792;;;;;;
71;0.106;0.029;0;627.104;16.449;;;;;;
72;0.099;0.043;0;667.429;15.383;;;;;;
73;0.095;0.03;0;491.368;19.951;;;;;;
74;0.095;2.491;0;627.915;19.761;;;;;;
75;0.108;0.031;0;531.818;18.031;;;;;;
76;0.1;0.029;0;668.532;18.786;;;;;;
77;0.087;0.027;0;123.491;30.985;;;;;;
78;0.088;0.029;0;880.592;38.016;;;;;;
79;0.093;0.029;0;91.804;70.523;;;;;;
80;0.109;0.028;0;592.667;40.252;;;;;;
81;0.097;0.029;0;746.719;27.24;;;;;;
82;0.106;0.028;0;579;36.735;;;;;;
83;0.106;0.028;0;720.09;122.81;;;;;;
84;0.09;0.029;0;661.534;29.168;;;;;;
85;0.101;0.026;0;680.303;51.606;;;;;;
86;0.096;0.03;0;738.656;40.012;;;;;;
87;0.097;0.633;0;774.707;62.616;;;;;;
88;0.093;0.03;0;775.703;38.554;;;;;;
89;0.091;0.03;0;781.598;40.317;;;;;;
90;0.093;0.03;0;20.639;50.977;;;;;;
91;0.12;0.029;63.869;28.047;30.344;;;;;;
92;0.142;0;446.737;14.096;44.924;;;;;;
93;0.12;0;624.086;833.78;33.815;;;;;;
94;0.137;0;565.937;925.48;41.161;;;;;;
95;0.121;0;608.89;855.538;30.728;;;;;;
96;0.135;0;529.782;417.039;39.858;;;;;;
97;0.126;0;560.151;359.038;65.305;;;;;;
98;0.134;0;538.769;465.817;177.386;;;;;;
99;0.132;0;601.611;466.938;657.276;;;;;;
100;0.121;0;535.132;389.403;7.349;;;;;;
101;0.134;0;561.116;407.464;338.847;;;;;;
102;0.121;0;518.222;690.314;850.205;;;;;;
103;0.116;0;550.355;82.762;269.176;;;;;;
104;0.135;0;553.859;847.688;36.376;;;;;;
105;0.14;0;513.546;953.736;25.274;;;;;;
106;0.135;0;562.535;109.651;31.388;;;;;;
107;0.116;0;549.894;175.807;31.303;;;;;;
108;0.126;0;586.32;49.913;36.657;;;;;;
109;0.164;0;604.045;945.838;41.152;;;;;;
110;0.155;0;583.174;44.088;;;;;;;
111;0.142;0;585.883;206.461;;;;;;;
112;0.124;0;586.083;945.093;;;;;;;
113;0.143;0;549.013;955.16;;;;;;;
114;0.129;0;531.936;58.186;;;;;;;
115;24.935;0;525.115;62.699;;;;;;;
116;73.94;0;526.65;13.127;;;;;;;
117;10.715;0;535.187;15.931;;;;;;;
118;0.122;0;552.774;11.933;;;;;;;
119;0.144;0;565.326;45.652;;;;;;;
120;0.124;0;513.31;32.813;;;;;;;
121;0.111;0;565.698;961.028;;;;;;;
122;0.098;31.593;589.881;178.316;;;;;;;
123;0.112;445.883;577.357;437.289;;;;;;;
124;0.116;624.126;647.887;874.388;;;;;;;
125;0.101;566.83;524.62;483.406;;;;;;;
126;0.094;609.388;558.539;303.389;;;;;;;
127;0.103;529.791;556.815;183.95;;;;;;;
128;0.099;559.514;551.611;205.94;;;;;;;
129;0.123;539.498;594.67;903.892;;;;;;;
130;0.099;601.072;530.289;865.329;;;;;;;
131;0.095;535.324;45.775;780.051;;;;;;;
132;0.102;561.671;689.862;790.263;;;;;;;
