Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
1;2.046592;3.5988800000000003;3.5121599999999997;2.5322240000000003;1.12736;;;;;;
2;1.9512;4.197247999999999;3.668256;3.9284160000000004;2.08128;;;;;;
3;2.055264;4.396704;4.136544;3.8416959999999998;2.12464;;;;;;
4;1.899168;3.9457600000000004;4.1799040000000005;4.309984;1.786432;;;;;;
5;2.332768;4.2926400000000005;4.50944;3.9717759999999998;1.968544;;;;;;
6;2.2460479999999996;4.231935999999999;4.153888;4.127872;2.185344;;;;;;
7;2.0726080000000002;4.370688;4.07584;4.370688;2.4108159999999996;;;;;;
8;2.289408;4.318656;4.388032;4.067168000000001;2.0986239999999996;;;;;;
9;2.0899520000000003;4.110528;4.171232;4.006464;1.760416;;;;;;
10;2.289408;4.223264;4.301312;4.110528;2.1159679999999996;;;;;;
11;1.90784;4.42272;4.16256;3.9110720000000003;2.046592;;;;;;
12;2.0899520000000003;3.607552;4.309984;4.4400640000000005;2.29808;;;;;;
13;2.185344;3.9110720000000003;4.023808;4.093184;2.03792;;;;;;
14;1.942528;4.613504;4.153888;3.9544319999999997;1.847136;;;;;;
15;1.959872;4.171232;2.376128;4.405376;2.0726080000000002;;;;;;
16;2.315424;4.318656;2.055264;4.188576;2.168;;;;;;
17;2.159328;4.084512;2.0726080000000002;4.518112;2.020576;;;;;;
18;2.3674560000000002;4.188576;4.379359999999999;4.188576;2.12464;;;;;;
19;2.1159679999999996;4.015136;6.963616;4.46608;2.34144;;;;;;
20;2.08128;3.937088;4.336;4.153888;2.202688;;;;;;
21;2.5582399999999996;4.136544;4.717568;4.674207999999999;1.925184;;;;;;
22;1.5783040000000002;4.336;3.3820799999999998;4.058496;2.289408;;;;;;
23;1.925184;4.041152;3.9284160000000004;4.223264;2.2460479999999996;;;;;;
24;2.272064;4.388032;4.101856;3.850368;1.621664;;;;;;
25;2.020576;4.127872;3.8070079999999997;2.965824;2.176672;;;;;;
26;2.003232;4.257952;4.544128;5.862272;2.358784;;;;;;
27;1.8211199999999999;3.980448;4.344671999999999;3.9457600000000004;1.8297919999999999;;;;;;
28;2.107296;4.084512;3.9284160000000004;4.405376;2.21136;;;;;;
29;2.141984;4.006464;4.015136;4.492095999999999;1.8211199999999999;;;;;;
30;2.150656;4.4747520000000005;4.188576;4.041152;2.324096;;;;;;
31;2.046592;4.544128;4.07584;2.766368;1.9772159999999999;;;;;;
32;1.6823679999999999;3.6162240000000003;3.919744;0;2.627616;;;;;;
33;2.1159679999999996;4.153888;4.318656;0;1.968544;;;;;;
34;2.0726080000000002;4.16256;4.127872;0;2.08128;;;;;;
35;2.168;4.067168000000001;4.058496;0;2.150656;;;;;;
36;2.168;4.2926400000000005;4.2926400000000005;0;2.185344;;;;;;
37;1.968544;3.9024;4.257952;0;1.8211199999999999;;;;;;
38;2.107296;4.283968;3.980448;0.23414400000000002;2.34144;;;;;;
39;2.176672;4.336;4.3273280000000005;4.5528;1.17072;;;;;;
40;2.150656;4.561472;4.023808;4.3273280000000005;null;;;;;;
41;2.34144;4.24928;4.1192;4.049824;1.292128;;;;;;
42;1.639008;4.231935999999999;4.240608;4.544128;3.8243519999999998;;;;;;
43;2.168;4.370688;4.1799040000000005;4.63952;3.0872319999999998;;;;;;
44;1.8904960000000002;4.231935999999999;4.336;4.058496;2.202688;;;;;;
45;1.86448;2.540896;4.049824;4.309984;1.8297919999999999;;;;;;
46;2.202688;2.063936;4.2926400000000005;4.344671999999999;2.08128;;;;;;
47;2.063936;2.0726080000000002;4.4400640000000005;3.754976;2.0899520000000003;;;;;;
48;2.0986239999999996;4.396704;4.648192;4.448736;1.925184;;;;;;
49;2.194016;6.98096;4.015136;4.431392;2.506208;;;;;;
50;2.020576;4.6221760000000005;4.07584;4.223264;2.08128;;;;;;
51;2.055264;4.977728;4.07584;4.257952;2.194016;;;;;;
52;1.9858879999999999;3.55552;4.388032;4.223264;1.8731520000000002;;;;;;
53;2.03792;3.8416959999999998;4.4747520000000005;4.093184;1.595648;;;;;;
54;1.925184;4.197247999999999;3.9891199999999998;4.379359999999999;1.292128;;;;;;
55;1.8818240000000002;4.093184;4.4747520000000005;4.110528;1.933856;;;;;;
56;1.9772159999999999;4.101856;4.370688;4.171232;3.5988800000000003;;;;;;
57;1.9512;4.275296;3.9110720000000003;4.03248;2.1159679999999996;;;;;;
58;1.8384639999999999;4.42272;4.275296;3.9024;2.159328;;;;;;
59;2.150656;3.893728;4.301312;4.336;2.1159679999999996;;;;;;
