sep=;
"Time";"00:0D:B9:42:6A:00";"00:0D:B9:42:72:08"
"2020-06-28T16:59:07+02:00";0.00014894444444444444;0
"2020-06-28T16:59:08+02:00";0;0
"2020-06-28T16:59:09+02:00";0;0
"2020-06-28T16:59:10+02:00";0;0.00035277777777777776
"2020-06-28T16:59:11+02:00";0.00014473333333333335;0
"2020-06-28T16:59:12+02:00";0;0
"2020-06-28T16:59:13+02:00";0;0
"2020-06-28T16:59:14+02:00";0;0.0003933555555555555
"2020-06-28T16:59:15+02:00";0.00014075555555555556;0
"2020-06-28T16:59:16+02:00";0;0
"2020-06-28T16:59:17+02:00";0;0
"2020-06-28T16:59:18+02:00";0;0.00036988888888888884
"2020-06-28T16:59:19+02:00";0.0001449111111111111;0
"2020-06-28T16:59:20+02:00";0;0
"2020-06-28T16:59:21+02:00";0;0
"2020-06-28T16:59:22+02:00";0;0.0004197333333333333
"2020-06-28T16:59:23+02:00";0.0002141111111111111;0
"2020-06-28T16:59:24+02:00";0;0
"2020-06-28T16:59:25+02:00";0;0
"2020-06-28T16:59:26+02:00";0;0.0003990444444444445
"2020-06-28T16:59:27+02:00";0.00019037777777777777;0
"2020-06-28T16:59:28+02:00";0;0
"2020-06-28T16:59:29+02:00";0;0
"2020-06-28T16:59:30+02:00";0;0.00043735555555555556
"2020-06-28T16:59:31+02:00";0.0003850555555555556;0
"2020-06-28T16:59:32+02:00";0;0
"2020-06-28T16:59:33+02:00";0;0
"2020-06-28T16:59:34+02:00";0;0.0004204111111111112
"2020-06-28T16:59:35+02:00";0.00023435555555555555;0
"2020-06-28T16:59:36+02:00";0;0
"2020-06-28T16:59:37+02:00";0;0
"2020-06-28T16:59:38+02:00";0;0.0003957444444444444
"2020-06-28T16:59:39+02:00";0.00014934444444444445;0
"2020-06-28T16:59:40+02:00";0;0
"2020-06-28T16:59:41+02:00";0;0
"2020-06-28T16:59:42+02:00";0;0.0010740333333333332
"2020-06-28T16:59:43+02:00";0.0009083666666666666;0
"2020-06-28T16:59:44+02:00";0;0
"2020-06-28T16:59:45+02:00";0;0
"2020-06-28T16:59:46+02:00";0;0.00037746666666666666
"2020-06-28T16:59:47+02:00";0.0001418;0
"2020-06-28T16:59:48+02:00";0;0
"2020-06-28T16:59:49+02:00";0;0
"2020-06-28T16:59:50+02:00";0;0.00042677777777777777
"2020-06-28T16:59:51+02:00";0.00021006666666666669;0
"2020-06-28T16:59:52+02:00";0;0
"2020-06-28T16:59:53+02:00";0;0
"2020-06-28T16:59:54+02:00";0;0.0004650444444444444
"2020-06-28T16:59:55+02:00";0.0002175888888888889;0
"2020-06-28T16:59:56+02:00";0;0
"2020-06-28T16:59:57+02:00";0;0
"2020-06-28T16:59:58+02:00";0;0.00047086666666666666
"2020-06-28T16:59:59+02:00";0.00023069999999999997;0
"2020-06-28T17:00:00+02:00";0;0
"2020-06-28T17:00:01+02:00";0;0
"2020-06-28T17:00:02+02:00";0;0.0004184
"2020-06-28T17:00:03+02:00";0.00021246666666666666;0
"2020-06-28T17:00:04+02:00";0;0
"2020-06-28T17:00:05+02:00";0;0
"2020-06-28T17:00:06+02:00";0;0.000426
"2020-06-28T17:00:07+02:00";0.00022397777777777777;0
"2020-06-28T17:00:08+02:00";0;0
"2020-06-28T17:00:09+02:00";0;0
"2020-06-28T17:00:10+02:00";0;0.0004454
"2020-06-28T17:00:11+02:00";0.00022530000000000003;0
"2020-06-28T17:00:12+02:00";0;0
"2020-06-28T17:00:13+02:00";0;0
"2020-06-28T17:00:14+02:00";0;0.0004217777777777778
"2020-06-28T17:00:15+02:00";0.0002245222222222222;0
"2020-06-28T17:00:16+02:00";0;0
"2020-06-28T17:00:17+02:00";0;0
"2020-06-28T17:00:18+02:00";0;0.00045607777777777783
"2020-06-28T17:00:19+02:00";0.00024152222222222224;0
"2020-06-28T17:00:20+02:00";0;0
"2020-06-28T17:00:21+02:00";0;0
"2020-06-28T17:00:22+02:00";0;0.0005354333333333332
