Time;Hour;0x00;QoS 1;BE 1;BE 2;BE 3;QoS 2
1;2020-06-28T16:59:07+02:00;12000;12000;12000;12000;12000;12000
2;2020-06-28T16:59:08+02:00;12000;12000;12000;12000;12000;12000
3;2020-06-28T16:59:09+02:00;12000;12000;12000;12000;12000;12000
4;2020-06-28T16:59:10+02:00;12000;12000;12000;12000;12000;12000
5;2020-06-28T16:59:11+02:00;12000;12000;12000;12000;12000;12000
6;2020-06-28T16:59:12+02:00;12000;12000;12000;12000;12000;12000
7;2020-06-28T16:59:13+02:00;12000;12000;12000;12000;12000;12000
8;2020-06-28T16:59:14+02:00;12000;12000;12000;12000;12000;12000
9;2020-06-28T16:59:15+02:00;12000;12000;12000;12000;12000;12000
10;2020-06-28T16:59:16+02:00;12000;12000;12000;12000;12000;12000
11;2020-06-28T16:59:17+02:00;12000;12000;12000;12000;12000;12000
12;2020-06-28T16:59:18+02:00;12000;12000;12000;12000;12000;12000
13;2020-06-28T16:59:19+02:00;12000;12000;12000;12000;12000;12000
14;2020-06-28T16:59:20+02:00;12000;12000;12000;12000;12000;12000
15;2020-06-28T16:59:21+02:00;12000;12000;12000;12000;12000;12000
16;2020-06-28T16:59:22+02:00;12000;12000;12000;12000;12000;12000
17;2020-06-28T16:59:23+02:00;12000;12000;12000;12000;12000;12000
18;2020-06-28T16:59:24+02:00;12000;12000;12000;12000;12000;12000
19;2020-06-28T16:59:25+02:00;12000;12000;12000;12000;12000;12000
20;2020-06-28T16:59:26+02:00;12000;12000;12000;12000;12000;12000
21;2020-06-28T16:59:27+02:00;12000;12000;12000;12000;12000;12000
22;2020-06-28T16:59:28+02:00;12000;12000;12000;12000;12000;12000
23;2020-06-28T16:59:29+02:00;12000;12000;12000;12000;12000;12000
24;2020-06-28T16:59:30+02:00;12000;12000;12000;12000;12000;12000
25;2020-06-28T16:59:31+02:00;12000;12000;12000;12000;12000;12000
26;2020-06-28T16:59:32+02:00;12000;12000;12000;12000;12000;12000
27;2020-06-28T16:59:33+02:00;12000;12000;12000;12000;12000;12000
28;2020-06-28T16:59:34+02:00;12000;12000;12000;12000;12000;12000
29;2020-06-28T16:59:35+02:00;12000;12000;12000;12000;12000;12000
30;2020-06-28T16:59:36+02:00;12000;12000;12000;12000;12000;12000
31;2020-06-28T16:59:37+02:00;12000;12000;12000;12000;12000;12000
32;2020-06-28T16:59:38+02:00;12000;12000;12000;12000;12000;12000
33;2020-06-28T16:59:39+02:00;12000;12000;12000;12000;12000;12000
34;2020-06-28T16:59:40+02:00;12000;12000;12000;12000;12000;12000
35;2020-06-28T16:59:41+02:00;12000;12000;12000;12000;12000;12000
36;2020-06-28T16:59:42+02:00;12000;12000;12000;12000;12000;12000
37;2020-06-28T16:59:43+02:00;12000;12000;12000;12000;12000;12000
38;2020-06-28T16:59:44+02:00;12000;12000;12000;12000;12000;12000
39;2020-06-28T16:59:45+02:00;12000;12000;12000;12000;12000;12000
