Time;Other;Resource Block 1;Resource Block 2
1;2020-04-01T22:36:30+02:00;0;0
2;2020-04-01T22:36:31+02:00;0;0
3;2020-04-01T22:36:32+02:00;0;0
4;2020-04-01T22:36:33+02:00;0.0002059;0
5;2020-04-01T22:36:34+02:00;0;0.001027288888888889
6;2020-04-01T22:36:35+02:00;0;0
7;2020-04-01T22:36:36+02:00;0;0
8;2020-04-01T22:36:37+02:00;0.00019043333333333332;0
9;2020-04-01T22:36:38+02:00;0;0.00032451111111111107
10;2020-04-01T22:36:39+02:00;0;0
11;2020-04-01T22:36:40+02:00;0;0
12;2020-04-01T22:36:41+02:00;0.00028908888888888893;0
13;2020-04-01T22:36:42+02:00;0;0.0003799111111111111
14;2020-04-01T22:36:43+02:00;0;0
15;2020-04-01T22:36:44+02:00;0;0
16;2020-04-01T22:36:45+02:00;0.00019206666666666663;0
17;2020-04-01T22:36:46+02:00;0;0.0002994111111111111
18;2020-04-01T22:36:47+02:00;0;0
19;2020-04-01T22:36:48+02:00;0;0
20;2020-04-01T22:36:49+02:00;0.0009693111111111111;0
21;2020-04-01T22:36:50+02:00;0;0.00033473333333333336
22;2020-04-01T22:36:51+02:00;0;0
23;2020-04-01T22:36:52+02:00;0;0
24;2020-04-01T22:36:53+02:00;0.00019195555555555555;0
25;2020-04-01T22:36:54+02:00;0;0.0003081666666666666
26;2020-04-01T22:36:55+02:00;0;0
27;2020-04-01T22:36:56+02:00;0;0
28;2020-04-01T22:36:57+02:00;0.00017598888888888887;0
29;2020-04-01T22:36:58+02:00;0;0.0003174222222222222
30;2020-04-01T22:36:59+02:00;0;0
31;2020-04-01T22:37:00+02:00;0;0
32;2020-04-01T22:37:01+02:00;0.00041463333333333335;0
33;2020-04-01T22:37:02+02:00;0;0.00042523333333333333
34;2020-04-01T22:37:03+02:00;0;0
35;2020-04-01T22:37:04+02:00;0;0
36;2020-04-01T22:37:05+02:00;0.0003990333333333334;0
37;2020-04-01T22:37:06+02:00;0;0.00037323333333333337
38;2020-04-01T22:37:07+02:00;0;0
39;2020-04-01T22:37:08+02:00;0;0
40;2020-04-01T22:37:09+02:00;0.0002233222222222222;0
41;2020-04-01T22:37:10+02:00;0;0.0003089222222222222
42;2020-04-01T22:37:11+02:00;0;0
43;2020-04-01T22:37:12+02:00;0;0
44;2020-04-01T22:37:13+02:00;0.0002258222222222222;0
45;2020-04-01T22:37:14+02:00;0;0.00032696666666666663
46;2020-04-01T22:37:15+02:00;0;0
47;2020-04-01T22:37:16+02:00;0;0
48;2020-04-01T22:37:17+02:00;0.0002452666666666667;0
49;2020-04-01T22:37:18+02:00;0;0.00032076666666666664
50;2020-04-01T22:37:19+02:00;0;0
51;2020-04-01T22:37:20+02:00;0;0
52;2020-04-01T22:37:21+02:00;0.0002107222222222222;0
53;2020-04-01T22:37:22+02:00;0;0.0010298666666666665
54;2020-04-01T22:37:23+02:00;0;0
55;2020-04-01T22:37:24+02:00;0;0
56;2020-04-01T22:37:25+02:00;0.00024870000000000003;0
57;2020-04-01T22:37:26+02:00;0;0.00033193333333333334
58;2020-04-01T22:37:27+02:00;0;0
59;2020-04-01T22:37:28+02:00;0;0
60;2020-04-01T22:37:29+02:00;0.00024158888888888892;0
61;2020-04-01T22:37:30+02:00;0;0.00034494444444444443
62;2020-04-01T22:37:31+02:00;0;0
63;2020-04-01T22:37:32+02:00;0;0
64;2020-04-01T22:37:33+02:00;0.0002677222222222222;0
65;2020-04-01T22:37:34+02:00;0;0.00036804444444444445
66;2020-04-01T22:37:35+02:00;0;0
67;2020-04-01T22:37:36+02:00;0;0
68;2020-04-01T22:37:37+02:00;0.0009426333333333333;0
69;2020-04-01T22:37:38+02:00;0;0.00036994444444444444
70;2020-04-01T22:37:39+02:00;0;0
71;2020-04-01T22:37:40+02:00;0;0
72;2020-04-01T22:37:41+02:00;0.0002924222222222222;0
73;2020-04-01T22:37:42+02:00;0;0.0005093333333333334
74;2020-04-01T22:37:43+02:00;0;0
75;2020-04-01T22:37:44+02:00;0;0
76;2020-04-01T22:37:45+02:00;0.0003089777777777777;0
77;2020-04-01T22:37:46+02:00;0;0.0005309777777777778
78;2020-04-01T22:37:47+02:00;0;0
79;2020-04-01T22:37:48+02:00;0;0
80;2020-04-01T22:37:49+02:00;0.00031713333333333336;0
81;2020-04-01T22:37:50+02:00;0;0.0005462222222222222
82;2020-04-01T22:37:51+02:00;0;0
83;2020-04-01T22:37:52+02:00;0;0
84;2020-04-01T22:37:53+02:00;0.0003067333333333333;0
85;2020-04-01T22:37:54+02:00;0;0.0005364333333333334
86;2020-04-01T22:37:55+02:00;0;0
87;2020-04-01T22:37:56+02:00;0;0
88;2020-04-01T22:37:57+02:00;0.00031386666666666663;0
89;2020-04-01T22:37:58+02:00;0;0.0005300888888888889
90;2020-04-01T22:37:59+02:00;0;0
91;2020-04-01T22:38:00+02:00;0;0
92;2020-04-01T22:38:01+02:00;0.0004593333333333334;0
93;2020-04-01T22:38:02+02:00;0;0.0005500777777777777
94;2020-04-01T22:38:03+02:00;0;0
95;2020-04-01T22:38:04+02:00;0;0
96;2020-04-01T22:38:05+02:00;0.0004764666666666667;0
97;2020-04-01T22:38:06+02:00;0;0.0005273777777777778
98;2020-04-01T22:38:07+02:00;0;0
99;2020-04-01T22:38:08+02:00;0;0
100;2020-04-01T22:38:09+02:00;0.0004744777777777778;0
101;2020-04-01T22:38:10+02:00;0;0.0011972
102;2020-04-01T22:38:11+02:00;0;0
103;2020-04-01T22:38:12+02:00;0;0
104;2020-04-01T22:38:13+02:00;0.0004765333333333333;0
105;2020-04-01T22:38:14+02:00;0;0.0005263666666666666
106;2020-04-01T22:38:15+02:00;0;0
107;2020-04-01T22:38:16+02:00;0;0
108;2020-04-01T22:38:17+02:00;0.0004791666666666666;0
109;2020-04-01T22:38:18+02:00;0;0.0005268222222222222
110;2020-04-01T22:38:19+02:00;0;0
111;2020-04-01T22:38:20+02:00;0;0
112;2020-04-01T22:38:21+02:00;0.0004741666666666667;0
113;2020-04-01T22:38:22+02:00;0;0.0005261222222222221
114;2020-04-01T22:38:23+02:00;0;0
115;2020-04-01T22:38:24+02:00;0;0
116;2020-04-01T22:38:25+02:00;0.0011613333333333332;0
117;2020-04-01T22:38:26+02:00;0;0.0005278666666666666
118;2020-04-01T22:38:27+02:00;0;0
119;2020-04-01T22:38:28+02:00;0;0
120;2020-04-01T22:38:29+02:00;0.0004782333333333334;0
121;2020-04-01T22:38:30+02:00;0;0.0005231333333333333
122;2020-04-01T22:38:31+02:00;0;0
123;2020-04-01T22:38:32+02:00;0;0
124;2020-04-01T22:38:33+02:00;0.0004709555555555555;0
125;2020-04-01T22:38:34+02:00;0;0.0005372777777777777
126;2020-04-01T22:38:35+02:00;0;0
127;2020-04-01T22:38:36+02:00;0;0
128;2020-04-01T22:38:37+02:00;0.00048035555555555557;0
129;2020-04-01T22:38:38+02:00;0;0.0005359333333333333
130;2020-04-01T22:38:39+02:00;0;0
131;2020-04-01T22:38:40+02:00;0;0
132;2020-04-01T22:38:41+02:00;0.0005155000000000001;0
133;2020-04-01T22:38:42+02:00;0;0.0005544777777777778
134;2020-04-01T22:38:43+02:00;0;0
135;2020-04-01T22:38:44+02:00;0;0
