Time;Hour;0x00;QoS 1;BE 1;BE 2;BE 3;QoS 2
0;2020-04-20T11:49:04+02:00;0.017584;0;0;0;0;0
1;2020-04-20T11:49:05+02:00;0.008256;0;0;0;0;0
2;2020-04-20T11:49:06+02:00;0.0063360000000000005;0;0;0;0;0
3;2020-04-20T11:49:07+02:00;0.027120000000000002;0;0;0;0;0
4;2020-04-20T11:49:08+02:00;0.010816000000000001;0;0;0;0;0
5;2020-04-20T11:49:09+02:00;0.016784;0;0;0;0;0
6;2020-04-20T11:49:10+02:00;0.012096;0;0;0;0;0
7;2020-04-20T11:49:11+02:00;0.011071999999999999;0;0;0;0;0
8;2020-04-20T11:49:12+02:00;0.009215999999999998;0;0;0;0;0
9;2020-04-20T11:49:13+02:00;0.048864;0;0;0;0;0
10;2020-04-20T11:49:14+02:00;0.0252;0;0;0;0;0
11;2020-04-20T11:49:15+02:00;0.011071999999999999;0;0;0;0;0
12;2020-04-20T11:49:16+02:00;0.014528000000000001;2.107296;0;0;0;0
13;2020-04-20T11:49:17+02:00;0.000624;1.6910399999999999;0;0;0;0
14;2020-04-20T11:49:18+02:00;0.000624;2.0986239999999996;0;0;0;0
15;2020-04-20T11:49:19+02:00;0.003888;1.8731520000000002;0;0;0;0
16;2020-04-20T11:49:20+02:00;0.0015840000000000001;2.25472;0;0;0;0
17;2020-04-20T11:49:21+02:00;0.0022080000000000003;2.306752;0;0;0;0
18;2020-04-20T11:49:22+02:00;0.0018720000000000002;1.6910399999999999;0;0;0;0
19;2020-04-20T11:49:23+02:00;0.001248;1.769088;0;0;0;0
20;2020-04-20T11:49:24+02:00;0.01468;2.1159679999999996;0;0;0;0
21;2020-04-20T11:49:25+02:00;0.001728;1.959872;0;0;0;0
22;2020-04-20T11:49:26+02:00;0.002976;2.376128;0;0;0;0
23;2020-04-20T11:49:27+02:00;0.0018720000000000002;2.0986239999999996;0;0;0;0
24;2020-04-20T11:49:28+02:00;0.001248;2.141984;0;0;0;0
25;2020-04-20T11:49:29+02:00;0.004864;2.011904;0;0;0;0
26;2020-04-20T11:49:30+02:00;0.0022080000000000003;2.141984;0;0;0;0
27;2020-04-20T11:49:31+02:00;0.003456;2.150656;0;0;0;0
28;2020-04-20T11:49:32+02:00;0.0018720000000000002;1.933856;0;0;0;0
29;2020-04-20T11:49:33+02:00;0.001248;2.228704;0;0;0;0
30;2020-04-20T11:49:34+02:00;0.0046559999999999995;2.133312;0;0;0;0
31;2020-04-20T11:49:35+02:00;0.001728;2.08128;0;0;0;0
32;2020-04-20T11:49:36+02:00;0.001728;2.34144;0;0;0;0
33;2020-04-20T11:49:37+02:00;0.000624;1.916512;0;0;0;0
34;2020-04-20T11:49:38+02:00;0.000624;2.0726080000000002;0;0;0;0
35;2020-04-20T11:49:39+02:00;0.005136;1.9858879999999999;0;0;0;0
36;2020-04-20T11:49:40+02:00;0.002832;2.011904;0;0;0;0
