Time,Hour,Throughput BE,Throughput QoS,Shaper BE,Shaper QoS,Delay BE,Delay QoS,Loss BE,Loss QoS
1,2020-10-30T11:29:18-07:00,0,0,100,100,0,0,0,0
2,2020-10-30T11:29:19-07:00,0,0,100,100,0,0,0,0
3,2020-10-30T11:29:20-07:00,0,0,100,100,0,0,0,0
4,2020-10-30T11:29:21-07:00,0,0,100,100,0,0,0,0
5,2020-10-30T11:29:22-07:00,0,0,100,100,0,0,0,0
6,2020-10-30T11:29:23-07:00,0,0,100,100,0,0,0,0
7,2020-10-30T11:29:24-07:00,0,0,100,100,0,0,0,0
8,2020-10-30T11:29:25-07:00,0,0,100,100,0,0,0,0
9,2020-10-30T11:29:26-07:00,0,0,100,100,0,0,0,0
10,2020-10-30T11:29:27-07:00,0,0,100,100,0,0,0,0
11,2020-10-30T11:29:28-07:00,0,0,100,100,0,0,0,0
12,2020-10-30T11:29:29-07:00,0,0,100,100,0,0,0,0
13,2020-10-30T11:29:30-07:00,0,0,100,100,0,0,0,0
14,2020-10-30T11:29:31-07:00,0,0,100,100,0,0,0,0
15,2020-10-30T11:29:32-07:00,0,0,100,100,0,0,0,0
16,2020-10-30T11:29:33-07:00,0,0,100,100,0,0,0,0
17,2020-10-30T11:29:34-07:00,0,0,100,100,0,0,0,0
18,2020-10-30T11:29:35-07:00,0,0,100,100,0,0,0,0
19,2020-10-30T11:29:36-07:00,0,0,100,100,0,0,0,0
20,2020-10-30T11:29:37-07:00,0,0,100,100,0,0,0,0
21,2020-10-30T11:29:38-07:00,0,0,100,100,0,0,0,0
22,2020-10-30T11:29:39-07:00,0,0,100,100,0,0,0,0
23,2020-10-30T11:29:40-07:00,0,0,100,100,0,0,0,0
24,2020-10-30T11:29:41-07:00,0,0,100,100,0,0,0,0
25,2020-10-30T11:29:42-07:00,0,0,100,100,0,0,0,0
26,2020-10-30T11:29:43-07:00,0,0,100,100,0,0,0,0
27,2020-10-30T11:29:44-07:00,0,0,100,100,0,0,0,0
28,2020-10-30T11:29:45-07:00,0,0,100,100,0,0,0,0
29,2020-10-30T11:29:46-07:00,0,0,100,100,0,0,0,0
30,2020-10-30T11:29:47-07:00,0,0,100,100,0,0,0,0
31,2020-10-30T11:29:48-07:00,0,0,100,100,0,0,0,0
32,2020-10-30T11:29:49-07:00,0,0,100,100,0,0,0,0
33,2020-10-30T11:29:50-07:00,0,0,100,100,0,0,0,0
34,2020-10-30T11:29:51-07:00,0,0,100,100,0,0,0,0
35,2020-10-30T11:29:52-07:00,0,0,100,100,0,0,0,0
36,2020-10-30T11:29:53-07:00,0,0,100,100,0,0,0,0
37,2020-10-30T11:29:54-07:00,0,0,100,100,0,0,0,0
38,2020-10-30T11:29:55-07:00,0,0,100,100,0,0,0,0
39,2020-10-30T11:29:56-07:00,0,0,100,100,0,0,0,0
40,2020-10-30T11:29:57-07:00,0,0,100,100,0,0,0,0
41,2020-10-30T11:29:58-07:00,0,0,100,100,0,0,0,0
42,2020-10-30T11:29:59-07:00,11.20581065,0,100,100,0.000002292,0,0,0
43,2020-10-30T11:30:00-07:00,18.33190055,0,100,100,0.000005291,0,0,0
44,2020-10-30T11:30:01-07:00,18.43333099,0,100,100,0.000005255,0,0,0
45,2020-10-30T11:30:02-07:00,18.38346605,0,100,100,0.00000541,0,0,0
46,2020-10-30T11:30:03-07:00,17.79668689,0,100,100,0.000005428,0,0,0
47,2020-10-30T11:30:04-07:00,18.2191118,0,100,100,0.000005395,0.000006746,0,0
48,2020-10-30T11:30:05-07:00,12.54277671,6.487405084,100,100,0.000005374,0.000005712,0,0
49,2020-10-30T11:30:06-07:00,9.605604304,10.29732392,100,100,0.000005392,0.000006826,0,0
50,2020-10-30T11:30:07-07:00,10.0561221,9.872379002,100,100,0.000005342,0.000005716,0,0
51,2020-10-30T11:30:08-07:00,9.407184463,10.34392656,100,100,0.000005425,0.000005681,0,0
52,2020-10-30T11:30:09-07:00,9.843320394,9.77892821,100,100,0.000005177,0.000005683,0,0
53,2020-10-30T11:30:10-07:00,10.25938826,9.937345798,100,100,0.000005417,0.000005714,0,0
54,2020-10-30T11:30:11-07:00,8.773245022,9.009410573,100,100,0.000005366,0.000005678,0,0
55,2020-10-30T11:30:12-07:00,11.05702602,11.01697316,10,100,0.00000532,0.000005653,0,0
56,2020-10-30T11:30:13-07:00,9.496881401,9.093545404,10,100,0.000005315,0.000005682,0,0
57,2020-10-30T11:30:14-07:00,10.74005581,10.44455882,10,100,0.008058287,0.000005604,2,0
58,2020-10-30T11:30:15-07:00,9.548767045,9.667315012,10,100,0.008158634,0.000005519,0,0
59,2020-10-30T11:30:16-07:00,9.87671447,9.871955009,10,100,0.008167953,0.000005774,0,0
60,2020-10-30T11:30:17-07:00,4.986144479,12.8323084,10,100,0.008150529,0.000005599,2,0
61,2020-10-30T11:30:18-07:00,3.2631149,15.16505668,10,100,0.008111394,0.000005622,3,0
62,2020-10-30T11:30:19-07:00,2.41657157,15.24617109,10,100,0.00817794,0.000005696,8,0
63,2020-10-30T11:30:20-07:00,3.966229962,14.48415624,10,100,0.00805184,0.000005633,0,0
64,2020-10-30T11:30:21-07:00,10.25970801,10.07938419,10,100,0.008117309,0.000005601,1,0
65,2020-10-30T11:30:22-07:00,9.814313469,9.40520058,11,100,0.008127663,0.000005659,2,0
66,2020-10-30T11:30:23-07:00,10.32873595,10.05499421,11,100,0.007242412,0.000005555,0,0
67,2020-10-30T11:30:24-07:00,10.14108501,9.880818715,11,100,0.00738291,0.000005616,4,0
68,2020-10-30T11:30:25-07:00,10.10958576,9.901349781,11,100,0.007435184,0.00000571,4,0
69,2020-10-30T11:30:26-07:00,11.07589348,8.739041351,11,100,0.007348877,0.000005522,2,0
70,2020-10-30T11:30:27-07:00,11.73726502,6.462395704,11,100,0.007415957,0.000005572,1,0
71,2020-10-30T11:30:28-07:00,15.06054359,3.114646379,11,100,0.007349309,0.000005989,1,0
