queue_delay,packet_loss,
1604082587,0,0
1604082588,0,0
1604082589,0,0
1604082590,0,0
1604082591,0,0
1604082592,0,0
1604082593,0,0
1604082594,0,0
1604082595,0,0
1604082596,0,0
1604082597,0,0
1604082598,0,0
1604082599,0.000002292,0
1604082600,0.000005291,0
1604082601,0.000005255,0
1604082602,0.00000541,0
1604082603,0.000005428,0
1604082604,0.000005395,0
1604082605,0.000005374,0
1604082606,0.000005392,0
1604082607,0.000005342,0
1604082608,0.000005425,0
1604082609,0.000005177,0
1604082610,0.000005417,0
1604082611,0.000005366,0
1604082612,0.00000532,0
1604082613,0.000005315,0
1604082614,0.008058287,2
1604082615,0.008158634,0
1604082616,0.008167953,0
1604082617,0.008150529,2
1604082618,0.008111394,3
1604082619,0.00817794,8
1604082620,0.00805184,0
1604082621,0.008117309,1
1604082622,0.008127663,2
1604082623,0.007242412,0
1604082624,0.00738291,4
1604082625,0.007435184,4
1604082626,0.007348877,2
1604082627,0.007415957,1
1604082628,0.007349309,1
1604082629,0.007353567,0
1604082630,0.007327672,3
1604082631,0.007285346,1
1604082632,0.007293381,1
1604082633,0.076407683,21
1604082634,0.076498523,26
1604082635,0.076491252,32
1604082636,0.076469512,30
1604082637,0.076463333,32
1604082638,0.076513961,33
1604082639,0.076496528,36
1604082640,0.076512246,32
1604082641,0.076482842,24
1604082642,0.076494749,26
1604082643,0.069476726,21
1604082644,0.069475307,19
1604082645,0.069527675,33
1604082646,0.06955887,38
1604082647,0.06945971,14
1604082648,0.069531282,32
1604082649,0.069515564,22
1604082650,0.069523968,14
1604082651,0.069518404,23
1604082652,0.069265658,22
1604082653,0.063201116,21
1604082654,0.063144011,15
1604082655,0.063133187,26
1604082656,0.0632114,18
1604082657,0.063097223,24
1604082658,0.063089863,22
1604082659,0.063172252,21
1604082660,0.06318294,21
1604082661,0.063173427,23
1604082662,0.063170821,19
1604082663,0.057410085,19
1604082664,0.057416849,22
1604082665,0.05738956,21
1604082666,0.057404541,23
1604082667,0.057393783,30
1604082668,0.057392092,19
1604082669,0.057343665,17
1604082670,0.057385673,12
1604082671,0.057372266,25
1604082672,0.05697707,18
1604082673,0.052199197,25
1604082674,0.05213405,15
1604082675,0.05213582,22
1604082676,0.052138879,18
1604082677,0.052152134,22
1604082678,0.052145124,19
1604082679,0.052117533,21
1604082680,0.052180788,19
1604082681,0.052126474,21
1604082682,0.05216274,16
1604082683,0.047408815,12
1604082684,0.047396808,7
1604082685,0.047407931,15
1604082686,0.047412189,16
1604082687,0.047439061,15
1604082688,0.047412121,20
1604082689,0.047403999,11
1604082690,0.047406028,22
1604082691,0.047407335,11
1604082692,0.047222193,8
1604082693,0.043090293,16
1604082694,0.04306935,16
1604082695,0.043073927,9
1604082696,0.043097077,14
1604082697,0.043050118,18
1604082698,0.043045215,17
1604082699,0.043057613,17
1604082700,0.043084911,15
1604082701,0.043032795,17
1604082702,0.042745579,11
1604082703,0.039130167,12
1604082704,0.039118559,16
1604082705,0.039127917,18
1604082706,0.039135226,17
1604082707,0.039114511,13
1604082708,0.039142033,8
1604082709,0.039130631,12
1604082710,0.039111486,14
1604082711,0.039111011,17
1604082712,0.038746671,15
1604082713,0.035532341,12
1604082714,0.035563324,10
1604082715,0.035585061,11
1604082716,0.035527343,9
1604082717,0.035526242,11
1604082718,0.035541316,17
1604082719,0.035534926,14
1604082720,0.035545531,18
1604082721,0.035507321,15
1604082722,0.035309521,9
1604082723,0.032243402,10
1604082724,0.032293332,16
1604082725,0.032280406,11
1604082726,0.032266257,13
1604082727,0.032256436,13
1604082728,0.032298449,18
1604082729,0.032289177,10
1604082730,0.032315232,19
1604082731,0.032285857,7
1604082732,0.031796596,16
1604082733,0.029330085,7
1604082734,0.029326504,8
1604082735,0.0293205,8
1604082736,0.029307606,12
1604082737,0.029399152,9
1604082738,0.029294543,9
1604082739,0.029354077,8
1604082740,0.029313277,5
1604082741,0.029352394,9
1604082742,0.028589301,8
1604082743,0.026637357,6
1604082744,0.026602476,4
1604082745,0.026653277,15
1604082746,0.026618336,6
1604082747,0.026643578,8
1604082748,0.026656741,12
1604082749,0.026670052,8
1604082750,0.026594066,11
1604082751,0.026585924,4
1604082752,0.026028791,8
1604082753,0.024195981,9
1604082754,0.024203623,9
1604082755,0.024163038,6
1604082756,0.024175268,7
1604082757,0.024165527,1
1604082758,0.02423368,10
1604082759,0.024173648,5
1604082760,0.024233511,7
1604082761,0.024150577,7
1604082762,0.022567261,5
1604082763,0.021968409,13
1604082764,0.021897218,13
1604082765,0.021936781,7
1604082766,0.021990099,8
1604082767,0.021949075,8
1604082768,0.021870309,7
1604082769,0.021962082,9
1604082770,0.0219973,2
1604082771,0.021966525,7
1604082772,0.020062249,3
1604082773,0.019964701,6
1604082774,0.01993995,7
1604082775,0.019926911,1
1604082776,0.019923742,6
1604082777,0.019931795,4
1604082778,0.019934831,3
1604082779,0.019922155,1
1604082780,0.019959887,3
1604082781,0.019953613,9
1604082782,0.018206865,5
1604082783,0.018111416,6
1604082784,0.018051851,4
1604082785,0.018111711,7
1604082786,0.018116895,7
1604082787,0.018091393,3
1604082788,0.0180625,3
1604082789,0.018138059,6
1604082790,0.018118664,6
1604082791,0.018104306,5
1604082792,0.016872014,6
1604082793,0.016410839,8
1604082794,0.016404302,4
1604082795,0.016449394,3
1604082796,0.016437384,4
1604082797,0.016421143,5
1604082798,0.016417939,5
1604082799,0.016430859,6
1604082800,0.016402104,4
1604082801,0.016460328,5
1604082802,0.015705732,9
1604082803,0.014882759,5
1604082804,0.014898794,6
1604082805,0.014939285,4
1604082806,0.014881169,7
1604082807,0.014928342,14
1604082808,0.014941021,5
1604082809,0.014901243,1
1604082810,0.014946909,5
1604082811,0.014937028,7
1604082812,0.024238983,34
1604082813,0.084231972,27
1604082814,0.084220207,32
1604082815,0.084163125,36
1604082816,0.08420982,23
1604082817,0.084189272,27
1604082818,0.084212775,32
1604082819,0.084189973,37
1604082820,0.084224703,37
1604082821,0.084219133,34
1604082822,0.082602934,36
1604082823,0.076568006,18
1604082824,0.07649489,21
1604082825,0.076511334,25
1604082826,0.076548283,28
1604082827,0.076511979,39
1604082828,0.076518272,21
1604082829,0.076502391,23
1604082830,0.076556053,31
1604082831,0.076456209,36
1604082832,0.07620397,18
1604082833,0.069537873,18
1604082834,0.069568381,25
1604082835,0.069510056,27
1604082836,0.069564227,15
1604082837,0.069521516,19
1604082838,0.069557912,27
1604082839,0.069535881,27
1604082840,0.069499148,25
1604082841,0.06955563,19
1604082842,0.067404058,19
1604082843,0.06316978,24
1604082844,0.063182897,14
1604082845,0.063229331,15
1604082846,0.063141967,23
1604082847,0.063123279,24
1604082848,0.063203709,28
1604082849,0.063158944,22
1604082850,0.063223302,19
1604082851,0.063151004,20
1604082852,0.060879041,23
1604082853,0.057366173,20
1604082854,0.057454912,20
1604082855,0.057392252,19
1604082856,0.057405833,14
1604082857,0.057434254,21
1604082858,0.057376969,24
1604082859,0.057413588,19
1604082860,0.057470179,23
1604082861,0.057407141,16
1604082862,0.055383787,17
1604082863,0.052154111,16
1604082864,0.052152357,16
1604082865,0.052131173,18
1604082866,0.052189795,18
1604082867,0.0521798,15
1604082868,0.052135338,17
1604082869,0.052157374,23
1604082870,0.052156565,9
1604082871,0.052157664,33
1604082872,0.050937813,13
1604082873,0.047394393,17
1604082874,0.047411657,18
1604082875,0.047399186,16
1604082876,0.04738684,14
1604082877,0.047415563,16
1604082878,0.047416383,14
1604082879,0.047348423,10
1604082880,0.047375115,15
1604082881,0.047427547,22
1604082882,0.046299372,19
1604082883,0.043056923,14
1604082884,0.042995258,16
1604082885,0.04308638,11
1604082886,0.043023955,17
1604082887,0.04305647,20
1604082888,0.043100821,15
1604082889,0.043064394,20
1604082890,0.043079085,8
1604082891,0.043002772,13
1604082892,0.04114359,14
1604082893,0.039163317,13
1604082894,0.039096813,11
1604082895,0.039114331,16
1604082896,0.039159825,11
1604082897,0.039142133,8
1604082898,0.039084121,10
1604082899,0.039149999,15
1604082900,0.039121086,14
1604082901,0.039162938,17
1604082902,0.038083805,15
1604082903,0.035500003,13
1604082904,0.035534151,8
1604082905,0.035529533,5
1604082906,0.035527464,17
1604082907,0.035561361,9
1604082908,0.035517977,4
1604082909,0.035529068,10
1604082910,0.035520519,12
1604082911,0.035528557,22
1604082912,0.033850654,9
1604082913,0.032269519,10
1604082914,0.032244319,4
1604082915,0.032240569,14
1604082916,0.032279765,8
1604082917,0.032311866,15
1604082918,0.032285301,7
1604082919,0.032296599,8
1604082920,0.032291837,8
1604082921,0.032326071,8
1604082922,0.030198772,10
1604082923,0.029322203,6
1604082924,0.02933259,11
1604082925,0.029282328,8
1604082926,0.029349414,10
1604082927,0.029336194,11
1604082928,0.029332072,10
1604082929,0.029273939,7
1604082930,0.029358528,7
1604082931,0.029284226,10
1604082932,0.027022949,6
1604082933,0.026606454,7
1604082934,0.026665405,6
1604082935,0.026653495,3
1604082936,0.02661238,15
1604082937,0.026626984,2
1604082938,0.026626389,9
1604082939,0.026682457,10
1604082940,0.026645344,12
1604082941,0.02666691,15
1604082942,0.024999073,5
1604082943,0.02424309,12
1604082944,0.024156771,11
1604082945,0.024193249,9
1604082946,0.024133989,10
1604082947,0.024158024,7
1604082948,0.024179996,9
1604082949,0.024178103,6
1604082950,0.024188485,9
1604082951,0.024188518,4
1604082952,0.022030642,6
1604082953,0.021949897,8
1604082954,0.021975656,12
1604082955,0.021971131,9
1604082956,0.021987753,6
1604082957,0.021946303,10
1604082958,0.021976895,12
1604082959,0.021940825,4
1604082960,0.021939955,10
1604082961,0.021975647,5
1604082962,0.020092027,5
1604082963,0.019908804,7
1604082964,0.019904165,11
1604082965,0.019932231,5
1604082966,0.019949029,6
1604082967,0.019941112,2
1604082968,0.020010535,8
1604082969,0.019912758,8
1604082970,0.019946378,4
1604082971,0.019941702,13
1604082972,0.018116276,7
1604082973,0.01815688,3
1604082974,0.018092591,4
1604082975,0.018109426,2
1604082976,0.018078482,8
1604082977,0.018096279,4
1604082978,0.018124606,6
1604082979,0.018039585,4
1604082980,0.018122374,3
1604082981,0.01812746,9
1604082982,0.016414379,9
1604082983,0.016441928,6
1604082984,0.016479445,1
1604082985,0.016442863,3
1604082986,0.016412038,4
1604082987,0.016356922,3
1604082988,0.016416556,1
1604082989,0.016531072,4
1604082990,0.016499954,3
1604082991,0.016459304,8
1604082992,0.014926893,3
1604082993,0.014920349,4
1604082994,0.014892966,5
1604082995,0.014924478,4
1604082996,0.014924449,5
1604082997,0.014949575,3
1604082998,0.014949523,6
1604082999,0.014938465,8
1604083000,0.014985428,3
1604083001,0.014873642,5
1604083002,0.013498525,5
1604083003,0.013526227,2
1604083004,0.013506791,1
1604083005,0.013547038,2
1604083006,0.013523724,3
1604083007,0.013594856,7
1604083008,0.013574886,4
1604083009,0.013575304,7
1604083010,0.01353077,4
1604083011,0.013566216,3
1604083012,0.012261878,1
1604083013,0.012308779,3
1604083014,0.01231122,2
1604083015,0.012335344,3
1604083016,0.012293266,2
1604083017,0.012281321,3
1604083018,0.012246843,0
1604083019,0.012312013,3
1604083020,0.01225844,3
1604083021,0.012316715,4
1604083022,0.011174798,6
1604083023,0.011158149,5
1604083024,0.011172894,3
1604083025,0.011102466,5
1604083026,0.01114259,2
1604083027,0.011096887,4
1604083028,0.011131764,4
1604083029,0.011168931,0
1604083030,0.011158506,6
1604083031,0.011155953,3
1604083032,0.010114251,1
1604083033,0.010108831,2
1604083034,0.01007728,5
1604083035,0.010066243,5
1604083036,0.010130053,1
1604083037,0.010119205,4
1604083038,0.010093931,3
1604083039,0.010089728,4
1604083040,0.010121602,1
1604083041,0.010089798,3
1604083042,0.010153614,1
1604083043,0.009157688,1
1604083044,0.009110307,3
1604083045,0.009155339,5
1604083046,0.009046075,2
1604083047,0.009101793,1
1604083048,0.009127015,0
1604083049,0.009138979,4
1604083050,0.009050949,1
1604083051,0.009038786,1
1604083052,0.023710726,32
1604083053,0.084204683,33
1604083054,0.084185671,25
1604083055,0.08421217,33
1604083056,0.084213279,36
1604083057,0.084197532,35
1604083058,0.084166422,27
1604083059,0.084202055,23
1604083060,0.084169323,37
1604083061,0.084157655,38
1604083062,0.081630314,29
1604083063,0.076495952,31
1604083064,0.076512752,30
1604083065,0.076428061,25
1604083066,0.076510498,42
1604083067,0.076485421,19
1604083068,0.076466065,32
1604083069,0.076493095,20
1604083070,0.076499704,36
1604083071,0.076474485,26
1604083072,0.074324438,22
1604083073,0.069470514,24
1604083074,0.069540311,24
1604083075,0.069565266,21
1604083076,0.069505126,29
1604083077,0.069527394,24
1604083078,0.069513233,15
1604083079,0.069552405,21
1604083080,0.06949905,27
1604083081,0.069551672,23
1604083082,0.066765209,20
1604083083,0.063250829,22
1604083084,0.063198257,20
1604083085,0.063145383,23
1604083086,0.06322713,14
1604083087,0.063151912,22
1604083088,0.063192611,23
1604083089,0.063175953,28
1604083090,0.06318213,19
1604083091,0.063169502,24
1604083092,0.060373797,28
1604083093,0.057368496,16
1604083094,0.057385284,17
1604083095,0.057403735,11
1604083096,0.057426344,17
1604083097,0.057401464,20
1604083098,0.057398025,24
1604083099,0.057446666,18
1604083100,0.057420657,16
1604083101,0.057387358,14
1604083102,0.054952523,14
1604083103,0.052115875,16
1604083104,0.052146884,26
1604083105,0.052190073,17
1604083106,0.05213533,25
1604083107,0.052169902,20
1604083108,0.052153458,19
1604083109,0.052168339,16
1604083110,0.052221359,27
1604083111,0.052177658,21
1604083112,0.049528605,10
1604083113,0.047402716,15
1604083114,0.0474028,14
1604083115,0.047380613,9
1604083116,0.04742979,28
1604083117,0.047423342,15
