queue_delay,packet_loss
1604082587.577242098,0.000000,0
1604082588.577739800,0.000000,0
1604082589.578088948,0.000000,0
1604082590.578391483,0.000000,0
1604082591.578712033,0.000000,0
1604082592.579767538,0.000000,0
1604082593.580090373,0.000000,0
1604082594.580427940,0.000000,0
1604082595.580750016,0.000000,0
1604082596.581033545,0.000000,0
1604082597.581296487,0.000000,0
1604082598.624179275,0.000000,0
1604082599.624483931,0.000000,0
1604082600.624689867,0.000000,0
1604082601.625014858,0.000000,0
1604082602.625319665,0.000000,0
1604082603.625609173,0.000000,0
1604082604.625921865,0.000006746,0
1604082605.626339200,0.000005712,0
1604082606.626648660,0.000006826,0
1604082607.626941967,0.000005716,0
1604082608.627231397,0.000005681,0
1604082609.627555930,0.000005683,0
1604082610.627818325,0.000005714,0
1604082611.628838412,0.000005678,0
1604082612.629083047,0.000005653,0
1604082613.629340874,0.000005682,0
1604082614.629640708,0.000005604,0
1604082615.629901844,0.000005519,0
1604082616.630163281,0.000005774,0
1604082617.630415519,0.000005599,0
1604082618.630649131,0.000005622,0
1604082619.630926116,0.000005696,0
1604082620.631207196,0.000005633,0
1604082621.631526185,0.000005601,0
1604082622.631822026,0.000005659,0
1604082623.632055128,0.000005555,0
1604082624.632322673,0.000005616,0
1604082625.632620218,0.000005710,0
1604082626.632918594,0.000005522,0
1604082627.633188191,0.000005572,0
1604082628.633468063,0.000005989,0
1604082629.633732470,0.000005489,0
1604082630.634009317,0.000005594,0
1604082631.634310698,0.000007164,0
1604082632.634676166,0.000005583,0
1604082633.634947945,0.000005506,0
1604082634.635227388,0.000005747,0
1604082635.635515427,0.000006041,0
1604082636.635762208,0.000005723,0
1604082637.635992915,0.000005983,0
1604082638.636244045,0.000006024,0
1604082639.636488464,0.000006156,0
1604082640.636769556,0.000006027,0
1604082641.636978190,0.000005987,0
1604082642.637212064,0.000006,0
1604082643.637463026,0.000006076,0
1604082644.637787405,0.000006035,0
1604082645.638016367,0.000006062,0
1604082646.638342700,0.000006028,0
1604082647.638697385,0.000006032,0
1604082648.638940457,0.000006079,0
1604082649.639157227,0.000006024,0
1604082650.639506280,0.000006045,0
1604082651.639761543,0.000005999,0
1604082652.639999716,0.000006482,0
1604082653.640250368,0.000006027,0
1604082654.640463813,0.000006072,0
1604082655.640714397,0.000006475,0
1604082656.641007636,0.000005981,0
1604082657.641254696,0.000006053,0
1604082658.641523221,0.000005999,0
1604082659.641792262,0.000006012,0
1604082660.642049947,0.000005977,0
1604082661.642282848,0.000006205,0
1604082662.642643366,0.000006103,0
1604082663.642914133,0.000006042,0
1604082664.643169125,0.000005952,0
1604082665.643404989,0.000005986,0
1604082666.643656887,0.000006435,0
1604082667.643922651,0.000006012,0
1604082668.644285184,0.000008545,0
1604082669.644668467,0.000009046,0
1604082670.644892166,0.000008402,0
1604082671.645628436,0.000008511,0
1604082672.645979287,0.000009262,0
1604082673.646215065,0.000006563,0
1604082674.646585097,0.000008795,0
1604082675.646841033,0.000006638,0
1604082676.647073759,0.000007074,0
1604082677.647328141,0.000006835,0
1604082678.647560493,0.000007575,0
1604082679.647989902,0.000006668,0
1604082680.648237891,0.000007481,0
1604082681.648513786,0.000006146,0
1604082682.648805051,0.000006211,0
1604082683.649094867,0.000006110,0
1604082684.649352604,0.000006039,0
1604082685.649626945,0.000006078,0
1604082686.649885035,0.000005612,0
1604082687.650147540,0.000005636,0
1604082688.650451087,0.000005715,0
1604082689.650689916,0.000005695,0
1604082690.651045005,0.000005679,0
1604082691.651310705,0.000006101,0
1604082692.651607404,0.000005667,0
1604082693.651859340,0.000005651,0
1604082694.652104846,0.000005622,0
1604082695.652372140,0.000007038,0
1604082696.652789962,0.000005781,0
1604082697.652996664,0.000003014,0
1604082698.653132134,0.000003032,0
1604082699.653264368,0.000003668,0
1604082700.653428051,0.000004866,0
1604082701.653659605,0.000007595,0
1604082702.653931159,0.000007626,0
