Time,Hour,STA 1,STA 2
1,1604082587,0,0
2,1604082588,0,0
3,1604082589,0,0
4,1604082590,0,0
5,1604082591,0,0
6,1604082592,0,0
7,1604082593,0,0
8,1604082594,0,0
9,1604082595,0,0
10,1604082596,0,0
11,1604082597,0,0
12,1604082598,0,0
13,1604082599,0.000002292,0
14,1604082600,0.000005291,0
15,1604082601,0.000005255,0
16,1604082602,0.00000541,0
17,1604082603,0.000005428,0
18,1604082604,0.000005395,0.000006746
19,1604082605,0.000005374,0.000005712
20,1604082606,0.000005392,0.000006826
21,1604082607,0.000005342,0.000005716
22,1604082608,0.000005425,0.000005681
23,1604082609,0.000005177,0.000005683
24,1604082610,0.000005417,0.000005714
25,1604082611,0.000005366,0.000005678
26,1604082612,0.00000532,0.000005653
27,1604082613,0.000005315,0.000005682
28,1604082614,0.008058287,0.000005604
29,1604082615,0.008158634,0.000005519
30,1604082616,0.008167953,0.000005774
31,1604082617,0.008150529,0.000005599
32,1604082618,0.008111394,0.000005622
33,1604082619,0.00817794,0.000005696
34,1604082620,0.00805184,0.000005633
35,1604082621,0.008117309,0.000005601
36,1604082622,0.008127663,0.000005659
37,1604082623,0.007242412,0.000005555
38,1604082624,0.00738291,0.000005616
39,1604082625,0.007435184,0.00000571
40,1604082626,0.007348877,0.000005522
41,1604082627,0.007415957,0.000005572
42,1604082628,0.007349309,0.000005989
43,1604082629,0.007353567,0.000005489
44,1604082630,0.007327672,0.000005594
45,1604082631,0.007285346,0.000007164
46,1604082632,0.007293381,0.000005583
47,1604082633,0.076407683,0.000005506
48,1604082634,0.076498523,0.000005747
49,1604082635,0.076491252,0.000006041
50,1604082636,0.076469512,0.000005723
51,1604082637,0.076463333,0.000005983
52,1604082638,0.076513961,0.000006024
53,1604082639,0.076496528,0.000006156
54,1604082640,0.076512246,0.000006027
55,1604082641,0.076482842,0.000005987
56,1604082642,0.076494749,0.000006
57,1604082643,0.069476726,0.000006076
58,1604082644,0.069475307,0.000006035
59,1604082645,0.069527675,0.000006062
60,1604082646,0.06955887,0.000006028
61,1604082647,0.06945971,0.000006032
62,1604082648,0.069531282,0.000006079
63,1604082649,0.069515564,0.000006024
64,1604082650,0.069523968,0.000006045
65,1604082651,0.069518404,0.000005999
66,1604082652,0.069265658,0.000006482
67,1604082653,0.063201116,0.000006027
68,1604082654,0.063144011,0.000006072
69,1604082655,0.063133187,0.000006475
70,1604082656,0.0632114,0.000005981
71,1604082657,0.063097223,0.000006053
72,1604082658,0.063089863,0.000005999
73,1604082659,0.063172252,0.000006012
74,1604082660,0.06318294,0.000005977
75,1604082661,0.063173427,0.000006205
76,1604082662,0.063170821,0.000006103
77,1604082663,0.057410085,0.000006042
78,1604082664,0.057416849,0.000005952
79,1604082665,0.05738956,0.000005986
80,1604082666,0.057404541,0.000006435
81,1604082667,0.057393783,0.000006012
82,1604082668,0.057392092,0.000008545
83,1604082669,0.057343665,0.000009046
84,1604082670,0.057385673,0.000008402
85,1604082671,0.057372266,0.000008511
86,1604082672,0.05697707,0.000009262
87,1604082673,0.052199197,0.000006563
88,1604082674,0.05213405,0.000008795
89,1604082675,0.05213582,0.000006638
90,1604082676,0.052138879,0.000007074
91,1604082677,0.052152134,0.000006835
92,1604082678,0.052145124,0.000007575
93,1604082679,0.052117533,0.000006668
94,1604082680,0.052180788,0.000007481
95,1604082681,0.052126474,0.000006146
96,1604082682,0.05216274,0.000006211
97,1604082683,0.047408815,0.00000611
98,1604082684,0.047396808,0.000006039
99,1604082685,0.047407931,0.000006078
100,1604082686,0.047412189,0.000005612
101,1604082687,0.047439061,0.000005636
102,1604082688,0.047412121,0.000005715
103,1604082689,0.047403999,0.000005695
104,1604082690,0.047406028,0.000005679
105,1604082691,0.047407335,0.000006101
106,1604082692,0.047222193,0.000005667
107,1604082693,0.043090293,0.000005651
108,1604082694,0.04306935,0.000005622
109,1604082695,0.043073927,0.000007038
110,1604082696,0.043097077,0.000005781
111,1604082697,0.043050118,0.000003014
112,1604082698,0.043045215,0.000003032
113,1604082699,0.043057613,0.000003668
114,1604082700,0.043084911,0.000004866
115,1604082701,0.043032795,0.000007595
116,1604082702,0.042745579,0.000007626
117,1604082703,0.039130167,0.000007553
118,1604082704,0.039118559,0.000006732
