Time,Hour,STA 1,STA 2
1,1604082587,0,0
2,1604082588,0,0
3,1604082589,0,0
4,1604082590,0,0
5,1604082591,0,0
6,1604082592,0,0
7,1604082593,0,0
8,1604082594,0,0
9,1604082595,0,0
10,1604082596,0,0
11,1604082597,0,0
12,1604082598,0,0
13,1604082599,0,0
14,1604082600,0,0
15,1604082601,0,0
16,1604082602,0,0
17,1604082603,0,0
18,1604082604,0,0
19,1604082605,0,0
20,1604082606,0,0
21,1604082607,0,0
22,1604082608,0,0
23,1604082609,0,0
24,1604082610,0,0
25,1604082611,0,0
26,1604082612,0,0
27,1604082613,0,0
28,1604082614,2,0
29,1604082615,0,0
30,1604082616,0,0
31,1604082617,2,0
32,1604082618,3,0
33,1604082619,8,0
34,1604082620,0,0
35,1604082621,1,0
36,1604082622,2,0
37,1604082623,0,0
38,1604082624,4,0
39,1604082625,4,0
40,1604082626,2,0
41,1604082627,1,0
42,1604082628,1,0
43,1604082629,0,0
44,1604082630,3,0
45,1604082631,1,0
46,1604082632,1,0
47,1604082633,21,0
48,1604082634,26,0
49,1604082635,32,0
50,1604082636,30,0
51,1604082637,32,0
52,1604082638,33,0
53,1604082639,36,0
54,1604082640,32,0
55,1604082641,24,0
56,1604082642,26,0
57,1604082643,21,0
58,1604082644,19,0
59,1604082645,33,0
60,1604082646,38,0
61,1604082647,14,0
62,1604082648,32,0
63,1604082649,22,0
64,1604082650,14,0
65,1604082651,23,0
66,1604082652,22,0
67,1604082653,21,0
68,1604082654,15,0
69,1604082655,26,0
70,1604082656,18,0
71,1604082657,24,0
72,1604082658,22,0
73,1604082659,21,0
74,1604082660,21,0
75,1604082661,23,0
76,1604082662,19,0
77,1604082663,19,0
78,1604082664,22,0
79,1604082665,21,0
80,1604082666,23,0
81,1604082667,30,0
82,1604082668,19,0
83,1604082669,17,0
84,1604082670,12,0
85,1604082671,25,0
86,1604082672,18,0
87,1604082673,25,0
88,1604082674,15,0
89,1604082675,22,0
90,1604082676,18,0
91,1604082677,22,0
92,1604082678,19,0
93,1604082679,21,0
94,1604082680,19,0
95,1604082681,21,0
96,1604082682,16,0
97,1604082683,12,0
98,1604082684,7,0
99,1604082685,15,0
100,1604082686,16,0
101,1604082687,15,0
102,1604082688,20,0
103,1604082689,11,0
104,1604082690,22,0
105,1604082691,11,0
106,1604082692,8,0
107,1604082693,16,0
108,1604082694,16,0
109,1604082695,9,0
110,1604082696,14,0
111,1604082697,18,0
112,1604082698,17,0
113,1604082699,17,0
114,1604082700,15,0
115,1604082701,17,0
116,1604082702,11,0
117,1604082703,12,0
118,1604082704,16,0
119,1604082705,18,0
120,1604082706,17,0
121,1604082707,13,0
122,1604082708,8,0
123,1604082709,12,0
124,1604082710,14,0
125,1604082711,17,0
126,1604082712,15,0
127,1604082713,12,0
128,1604082714,10,0
129,1604082715,11,0
130,1604082716,9,0
131,1604082717,11,0
132,1604082718,17,0
133,1604082719,14,0
134,1604082720,18,0
135,1604082721,15,0
136,1604082722,9,0
137,1604082723,10,0
138,1604082724,16,0
139,1604082725,11,0
140,1604082726,13,0
141,1604082727,13,0
142,1604082728,18,0
143,1604082729,10,0
144,1604082730,19,0
145,1604082731,7,0
146,1604082732,16,0
147,1604082733,7,0
148,1604082734,8,0
149,1604082735,8,0
150,1604082736,12,0
151,1604082737,9,0
152,1604082738,9,0
153,1604082739,8,0
154,1604082740,5,0
155,1604082741,9,0
156,1604082742,8,0
157,1604082743,6,0
158,1604082744,4,0
159,1604082745,15,0
160,1604082746,6,0
161,1604082747,8,0
162,1604082748,12,0
163,1604082749,8,0
164,1604082750,11,0
165,1604082751,4,0
166,1604082752,8,0
167,1604082753,9,0
168,1604082754,9,0
169,1604082755,6,0
170,1604082756,7,0
171,1604082757,1,0
172,1604082758,10,0
173,1604082759,5,0
174,1604082760,7,0
175,1604082761,7,0
176,1604082762,5,0
177,1604082763,13,0
178,1604082764,13,0
179,1604082765,7,0
180,1604082766,8,0
181,1604082767,8,0
182,1604082768,7,0
183,1604082769,9,0
184,1604082770,2,0
185,1604082771,7,0
186,1604082772,3,0
187,1604082773,6,0
188,1604082774,7,0
189,1604082775,1,0
190,1604082776,6,0
191,1604082777,4,0
192,1604082778,3,0
193,1604082779,1,0
194,1604082780,3,0
