Time,Hour,STA 1,STA 2
10,2020-10-30T11:30:02-07:00,100,100
20,2020-10-30T11:30:12-07:00,100,100
30,2020-10-30T11:30:22-07:00,10,100
40,2020-10-30T11:30:32-07:00,11,100
50,2020-10-30T11:30:42-07:00,1.1,100
60,2020-10-30T11:30:52-07:00,1.21,100
70,2020-10-30T11:31:02-07:00,1.331,100
80,2020-10-30T11:31:12-07:00,1.4641,100
90,2020-10-30T11:31:22-07:00,1.61051,100
100,2020-10-30T11:31:32-07:00,1.771561,100
110,2020-10-30T11:31:42-07:00,1.9487171,100
120,2020-10-30T11:31:52-07:00,2.14358881,100
130,2020-10-30T11:32:02-07:00,2.357947691,100
140,2020-10-30T11:32:12-07:00,2.59374246,100
150,2020-10-30T11:32:22-07:00,2.853116706,100
160,2020-10-30T11:32:32-07:00,3.138428377,100
170,2020-10-30T11:32:42-07:00,3.452271214,100
180,2020-10-30T11:32:52-07:00,3.797498336,100
190,2020-10-30T11:33:02-07:00,4.177248169,100
200,2020-10-30T11:33:12-07:00,4.594972986,100
210,2020-10-30T11:33:22-07:00,5.054470285,100
220,2020-10-30T11:33:32-07:00,5.559917313,100
230,2020-10-30T11:33:42-07:00,1,100
240,2020-10-30T11:33:52-07:00,1.1,100
250,2020-10-30T11:34:02-07:00,1.21,100
260,2020-10-30T11:34:12-07:00,1.331,100
270,2020-10-30T11:34:22-07:00,1.4641,100
280,2020-10-30T11:34:32-07:00,1.61051,100
290,2020-10-30T11:34:42-07:00,1.771561,100
300,2020-10-30T11:34:52-07:00,1.9487171,100
310,2020-10-30T11:35:02-07:00,2.14358881,100
320,2020-10-30T11:35:12-07:00,2.357947691,100
330,2020-10-30T11:35:22-07:00,2.59374246,100
340,2020-10-30T11:35:32-07:00,2.853116706,100
