Time,Hour,Throughput QoS,Throughput BE,Shaper BE,Delay QoS,Delay BE,Loss BE
1,2020-10-30T11:50:54-07:00,0,0,100,0,0,0
2,2020-10-30T11:50:55-07:00,0,0,100,0,0,0
3,2020-10-30T11:50:56-07:00,0,0,100,0,0,0
4,2020-10-30T11:50:57-07:00,0,0,100,0,0,0
5,2020-10-30T11:50:58-07:00,0,0,100,0,0,0
6,2020-10-30T11:50:59-07:00,0,0,100,0,0,0
7,2020-10-30T11:51:00-07:00,0,0,100,0,0,0
8,2020-10-30T11:51:01-07:00,0,0,100,0,0,0
9,2020-10-30T11:51:02-07:00,0,0,100,0,0,0
10,2020-10-30T11:51:03-07:00,0,0,100,0,0,0
11,2020-10-30T11:51:04-07:00,0,0,100,0,0,0
12,2020-10-30T11:51:05-07:00,0,0,100,0,0,0
13,2020-10-30T11:51:06-07:00,0,0,100,0,0,0
14,2020-10-30T11:51:07-07:00,0,0,100,0,0,0
15,2020-10-30T11:51:08-07:00,0,0,100,0,0,0
16,2020-10-30T11:51:09-07:00,0,0,100,0,0,0
17,2020-10-30T11:51:10-07:00,0,0,100,0,0,0
18,2020-10-30T11:51:11-07:00,0,0,100,0,0,0
19,2020-10-30T11:51:12-07:00,0,0,100,0,0,0
20,2020-10-30T11:51:13-07:00,0,0,100,0,0,0
21,2020-10-30T11:51:14-07:00,0,0,100,0,0,0
22,2020-10-30T11:51:15-07:00,0,0,100,0,0,0
23,2020-10-30T11:51:16-07:00,0,0,100,0,0,0
24,2020-10-30T11:51:17-07:00,0,0,100,0,0,0
25,2020-10-30T11:51:18-07:00,0,0,100,0,0,0
26,2020-10-30T11:51:19-07:00,0,0,100,0,0,0
27,2020-10-30T11:51:20-07:00,0,0,100,0,0,0
28,2020-10-30T11:51:21-07:00,0,0,100,0,0,0
29,2020-10-30T11:51:22-07:00,0,16.7115484,100,0,0.0003093,0
30,2020-10-30T11:51:23-07:00,0,30.9000318,100,0,0.0004899,0
31,2020-10-30T11:51:24-07:00,0,29.2908155,100,0,0.0004466,0
32,2020-10-30T11:51:25-07:00,0,29.2729069,100,0,0.0003824,0
33,2020-10-30T11:51:26-07:00,0,30.058032,100,0,0.0005041,0
34,2020-10-30T11:51:27-07:00,0,28.6749443,100,0,0.0003913,0
35,2020-10-30T11:51:28-07:00,0,29.3115817,100,0,0.0003695,0
36,2020-10-30T11:51:29-07:00,0,29.2913705,100,0,0.0005405,0
37,2020-10-30T11:51:30-07:00,0,29.4966106,100,0,0.0004516,0
38,2020-10-30T11:51:31-07:00,1.084,27.9010841,100,0,0.0006112,0
39,2020-10-30T11:51:32-07:00,16.320704,10.3165505,100,74.108,0.0004306,0
40,2020-10-30T11:51:33-07:00,16.138592,10.4543685,100,221.334,0.0006168,0
41,2020-10-30T11:51:34-07:00,16.199296,10.7861763,100,258.205,0.0004189,0
42,2020-10-30T11:51:35-07:00,16.112576,11.316547,100,257.385,0.0004463,0
43,2020-10-30T11:51:36-07:00,16.684928,10.7618175,100,254.466,0.0004651,0
44,2020-10-30T11:51:37-07:00,16.78032,10.5016081,100,250.36,0.0003399,0
45,2020-10-30T11:51:38-07:00,16.884384,11.2382029,100,248.779,0.0003772,0
46,2020-10-30T11:51:39-07:00,16.797664,10.8726128,100,250.006,0.0005063,0
47,2020-10-30T11:51:40-07:00,16.320704,11.2050323,100,251.376,0.000532,0
48,2020-10-30T11:51:41-07:00,16.858368,11.0388413,100,252.213,0.0004977,0
49,2020-10-30T11:51:42-07:00,17.049152,10.6165965,100,248.434,0.0003279,0
50,2020-10-30T11:51:43-07:00,15.8264,11.123281,10,253.48,0.0004874,0
51,2020-10-30T11:51:44-07:00,16.667584,11.0112783,10,253.53,0.000352,0
52,2020-10-30T11:51:45-07:00,16.225312,11.213882,10,256.129,0.000395,0
53,2020-10-30T11:51:46-07:00,16.719616,10.9799775,10,253.436,0.0004441,1
54,2020-10-30T11:51:47-07:00,16.43344,10.9664966,10,245.332,0.0003559,2
55,2020-10-30T11:51:48-07:00,16.849696,11.5534802,10,253.529,0.8169876,1
56,2020-10-30T11:51:49-07:00,17.378688,11.0588689,10,246.398,0.8199842,0
57,2020-10-30T11:51:50-07:00,16.181952,10.904892,10,246.152,0.809186,4
