Time,Hour,BE
1,1517262604,0
2,1517262605,0
3,1517262606,0
4,1517262607,0
5,1517262608,0
6,1517262609,0
7,1517262610,0
8,1517262611,0
9,1517262612,0
10,1517262613,0
11,1517262614,0
12,1517262615,0
13,1517262616,0
14,1517262617,0
15,1517262618,0
16,1517262619,0
17,1517262620,0
18,1517262621,0
19,1517262622,0
20,1517262623,0
21,1517262624,0
22,1517262625,0
23,1517262626,0
24,1517262627,0
25,1517262628,0
26,1517262629,0
27,1517262630,0
28,1517262631,0
29,1517262632,0
30,1517262633,0
31,1517262634,0
32,1517262635,0
33,1517262636,0
34,1517262637,0
35,1517262638,0
36,1517262639,0
37,1517262640,0
38,1517262641,0
39,1517262642,0
40,1517262643,0
41,1517262644,0
42,1517262645,0
43,1517262646,0
44,1517262647,0
45,1517262648,0
46,1517262649,0
47,1517262650,0
48,1517262651,0
49,1517262652,0
50,1517262653,0
51,1517262654,0
52,1517262655,0
53,1517262656,0
54,1517262657,0
55,1517262658,0
56,1517262659,0
57,1517262660,0
58,1517262661,0
59,1517262662,0
60,1517262663,0
61,1517262664,0
62,1517262665,0
63,1517262666,0
64,1517262667,0
65,1517262668,0
66,1517262669,0
67,1517262670,0
68,1517262671,0
69,1517262672,0
70,1517262673,1
71,1517262674,2
72,1517262675,1
73,1517262676,0
74,1517262677,4
75,1517262678,1
76,1517262679,2
77,1517262680,28
78,1517262681,22
79,1517262682,34
80,1517262683,36
81,1517262684,28
82,1517262685,17
83,1517262686,28
84,1517262687,41
85,1517262688,21
86,1517262689,35
87,1517262690,21
88,1517262691,29
89,1517262692,35
90,1517262693,33
91,1517262694,23
92,1517262695,20
93,1517262696,18
94,1517262697,27
95,1517262698,19
96,1517262699,24
97,1517262700,25
98,1517262701,26
99,1517262702,27
100,1517262703,38
101,1517262704,22
102,1517262705,17
103,1517262706,20
104,1517262707,18
105,1517262708,16
106,1517262709,30
107,1517262710,15
108,1517262711,25
109,1517262712,16
110,1517262713,18
111,1517262714,32
112,1517262715,26
113,1517262716,34
114,1517262717,24
115,1517262718,14
116,1517262719,25
117,1517262720,18
118,1517262721,20
119,1517262722,21
120,1517262723,17
121,1517262724,13
122,1517262725,15
123,1517262726,23
124,1517262727,24
125,1517262728,14
126,1517262729,17
127,1517262730,14
128,1517262731,15
129,1517262732,18
130,1517262733,21
131,1517262734,21
132,1517262735,17
133,1517262736,16
134,1517262737,24
135,1517262738,24
136,1517262739,18
137,1517262740,15
138,1517262741,19
139,1517262742,17
140,1517262743,15
141,1517262744,16
142,1517262745,14
143,1517262746,15
144,1517262747,17
145,1517262748,16
146,1517262749,11
147,1517262750,14
148,1517262751,15
149,1517262752,20
150,1517262753,15
151,1517262754,12
152,1517262755,15
153,1517262756,11
154,1517262757,13
155,1517262758,15
156,1517262759,13
157,1517262760,12
158,1517262761,20
159,1517262762,13
160,1517262763,8
161,1517262764,10
162,1517262765,13
163,1517262766,9
164,1517262767,15
165,1517262768,13
166,1517262769,13
167,1517262770,9
168,1517262771,16
169,1517262772,7
170,1517262773,9
171,1517262774,12
172,1517262775,15
173,1517262776,14
174,1517262777,16
175,1517262778,10
176,1517262779,12
177,1517262780,36
178,1517262781,34
179,1517262782,29
180,1517262783,38
181,1517262784,25
182,1517262785,33
183,1517262786,24
184,1517262787,33
185,1517262788,21
186,1517262789,29
187,1517262790,24
188,1517262791,28
189,1517262792,36
190,1517262793,26
191,1517262794,30
192,1517262795,22
193,1517262796,30
194,1517262797,26
195,1517262798,20
196,1517262799,15
197,1517262800,25
198,1517262801,31
199,1517262802,18
200,1517262803,23
201,1517262804,32
202,1517262805,23
203,1517262806,29
204,1517262807,25
205,1517262808,22
206,1517262809,20
207,1517262810,26
208,1517262811,18
209,1517262812,21
210,1517262813,23
211,1517262814,19
212,1517262815,22
213,1517262816,17
214,1517262817,19
215,1517262818,25
216,1517262820,17
217,1517262821,21
218,1517262822,16
219,1517262823,26
220,1517262824,17
221,1517262825,18
222,1517262826,23
223,1517262827,13
224,1517262828,17
225,1517262829,18
226,1517262830,26
227,1517262831,18
228,1517262832,17
229,1517262833,17
230,1517262834,22
231,1517262835,16
232,1517262836,16
233,1517262837,18
234,1517262838,22
235,1517262839,24
236,1517262840,10
237,1517262841,32
238,1517262842,28
239,1517262843,32
240,1517262844,36
241,1517262845,34
242,1517262846,19
243,1517262847,31
244,1517262848,39
245,1517262849,27
246,1517262850,31
247,1517262851,24
248,1517262852,18
249,1517262853,28
250,1517262854,30
251,1517262855,22
252,1517262856,37
253,1517262857,22
254,1517262858,28
255,1517262859,28
256,1517262860,29
257,1517262861,24
258,1517262862,20
259,1517262863,27
260,1517262864,27
261,1517262865,26
262,1517262866,14
263,1517262867,18
264,1517262868,24
265,1517262869,27
266,1517262870,23
267,1517262871,20
268,1517262872,19
269,1517262873,10
270,1517262874,20
271,1517262875,24
272,1517262876,19
273,1517262877,32
274,1517262878,23
275,1517262879,24
276,1517262880,19
277,1517262881,18
278,1517262882,27
279,1517262883,21
280,1517262884,15
281,1517262885,19
282,1517262886,20
283,1517262887,19
284,1517262888,18
285,1517262889,21
286,1517262890,18
287,1517262891,18
288,1517262892,18
289,1517262893,11
290,1517262894,9
291,1517262895,22
292,1517262896,18
293,1517262897,20
294,1517262898,17
295,1517262899,20
296,1517262900,15
297,1517262901,10
298,1517262902,19
299,1517262903,9
300,1517262904,17
301,1517262905,11
302,1517262906,14
303,1517262907,13
304,1517262908,14
305,1517262909,19
306,1517262910,21
307,1517262911,16
308,1517262912,11
309,1517262913,13
310,1517262914,8
311,1517262915,11
312,1517262916,6
313,1517262917,24
314,1517262918,8
315,1517262919,22
316,1517262920,17
317,1517262921,13
318,1517262922,16
319,1517262923,3
320,1517262924,19
321,1517262925,11
322,1517262926,9
323,1517262927,14
324,1517262928,13
325,1517262929,14
326,1517262930,11
327,1517262931,7
328,1517262932,13
329,1517262933,14
330,1517262934,19
331,1517262935,11
332,1517262936,12
333,1517262937,14
334,1517262938,9
335,1517262939,10
336,1517262940,14
337,1517262941,13
338,1517262942,11
339,1517262943,14
340,1517262944,8
341,1517262945,7
342,1517262946,14
343,1517262947,9
344,1517262948,14
345,1517262949,6
346,1517262950,14
347,1517262951,7
348,1517262952,11
349,1517262953,10
350,1517262954,12
351,1517262955,9
352,1517262956,12
353,1517262957,8
354,1517262958,9
355,1517262959,10
356,1517262960,15
357,1517262961,28
358,1517262962,30
359,1517262963,26
360,1517262964,29
361,1517262965,21
362,1517262966,29
363,1517262967,31
364,1517262968,38
365,1517262969,31
366,1517262970,24
367,1517262971,28
368,1517262972,22
369,1517262973,24
370,1517262974,23
371,1517262975,20
372,1517262976,26
373,1517262977,22
374,1517262978,31
375,1517262979,20
376,1517262980,32
377,1517262981,20
378,1517262982,20
379,1517262983,18
380,1517262984,30
381,1517262985,16
382,1517262986,23
383,1517262987,25
384,1517262988,18
385,1517262989,15
386,1517262990,35
387,1517262991,23
388,1517262992,21
389,1517262993,33
390,1517262994,13
391,1517262995,22
392,1517262996,23
393,1517262997,22
394,1517262998,19
395,1517262999,22
396,1517263000,16
397,1517263001,21
398,1517263002,20
399,1517263003,16
400,1517263004,13
401,1517263005,19
402,1517263006,20
403,1517263007,18
404,1517263008,15
405,1517263009,17
406,1517263010,19
407,1517263011,11
408,1517263012,21
409,1517263013,17
410,1517263014,16
411,1517263015,23
412,1517263016,18
413,1517263017,14
414,1517263018,17
415,1517263019,14
416,1517263020,15
417,1517263021,28
418,1517263022,30
419,1517263023,32
420,1517263024,29
421,1517263025,35
422,1517263026,27
423,1517263027,25
424,1517263028,31
425,1517263029,36
426,1517263030,25
427,1517263031,20
428,1517263032,30
429,1517263033,20
430,1517263034,31
431,1517263035,36
432,1517263036,33
433,1517263037,22
434,1517263038,13
435,1517263039,32
436,1517263040,30
437,1517263041,19
438,1517263042,22
439,1517263043,25
440,1517263044,19
441,1517263045,39
442,1517263046,24
443,1517263047,19
444,1517263048,19
445,1517263049,22
446,1517263050,21
447,1517263051,24
448,1517263052,33
449,1517263053,17
450,1517263054,20
451,1517263055,15
452,1517263056,15
453,1517263057,26
454,1517263058,21
455,1517263059,22
456,1517263060,21
457,1517263061,15
458,1517263062,21
459,1517263063,18
460,1517263064,21
461,1517263065,14
462,1517263066,19
463,1517263067,23
464,1517263068,20
465,1517263069,16
466,1517263070,22
467,1517263071,16
468,1517263072,23
469,1517263073,27
470,1517263074,19
471,1517263075,25
472,1517263076,19
473,1517263077,17
474,1517263078,18
475,1517263079,21
476,1517263080,19
477,1517263081,19
478,1517263082,24
479,1517263083,39
480,1517263084,29
481,1517263085,35
482,1517263086,35
483,1517263087,40
484,1517263088,32
485,1517263089,39
486,1517263090,17
487,1517263091,28
488,1517263092,18
489,1517263093,26
490,1517263094,21
491,1517263095,16
492,1517263096,28
493,1517263097,28
494,1517263098,25
495,1517263099,18
496,1517263100,22
497,1517263101,22
498,1517263102,30
499,1517263103,18
500,1517263104,28
501,1517263105,26
502,1517263106,20
503,1517263107,22
504,1517263108,17
505,1517263109,19
506,1517263110,28
507,1517263111,13
508,1517263112,26
