queue_delay,packet_loss
1517262604.384805264,0.000000,0
1517262605.385201948,0.000000,0
1517262606.385526754,0.000000,0
1517262607.385853874,0.000000,0
1517262608.386048815,0.000000,0
1517262609.386323845,0.000000,0
1517262610.386668745,0.000000,0
1517262611.386945928,0.000000,0
1517262612.387244825,0.000000,0
1517262613.387605892,0.000000,0
1517262614.387907844,0.000000,0
1517262615.388145592,0.000000,0
1517262616.388309823,0.000000,0
1517262617.388575160,0.000000,0
1517262618.388824577,0.000000,0
1517262619.389065201,0.000000,0
1517262620.389297001,0.000000,0
1517262621.389532357,0.000000,0
1517262622.389786270,0.000000,0
1517262623.390025323,0.000000,0
1517262624.390260808,0.000000,0
1517262625.390530348,0.000000,0
1517262626.390765138,0.000000,0
1517262627.390992589,0.000000,0
1517262628.391232448,0.000000,0
1517262629.391455998,0.000000,0
1517262630.391694012,0.000000,0
1517262631.392045694,0.000000,0
1517262632.392281033,0.000000,0
1517262633.392514625,0.000000,0
1517262634.392768826,0.000000,0
1517262635.392997835,0.000000,0
1517262636.393232147,0.000000,0
1517262637.393471915,0.000000,0
1517262638.393706130,0.000000,0
1517262639.393959924,0.000000,0
1517262640.394206941,0.000000,0
1517262641.394426575,0.000000,0
1517262642.394707572,0.000000,0
1517262643.394930698,0.000000,0
1517262644.395169869,0.000000,0
1517262645.395482253,0.000000,0
1517262646.395818387,0.000000,0
1517262647.396059135,0.000003093,0
1517262648.396371302,0.000004899,0
1517262649.396661403,0.000004466,0
1517262650.397086783,0.000003824,0
1517262651.397468387,0.000005041,0
1517262652.398019354,0.000003913,0
1517262653.398422689,0.000003695,0
1517262654.398926282,0.000005405,0
1517262655.399403182,0.000004516,0
1517262656.399887223,0.000006112,0
1517262657.400297577,0.000004306,0
1517262658.400661472,0.000006168,0
1517262659.401093026,0.000004189,0
1517262660.401501773,0.000004463,0
1517262661.401888764,0.000004651,0
1517262662.402303430,0.000003399,0
1517262663.402777959,0.000003772,0
1517262664.403270501,0.000005063,0
1517262665.403624744,0.000005320,0
1517262666.404088022,0.000004977,0
1517262667.404435401,0.000003279,0
1517262668.404818608,0.000004874,0
1517262669.405236617,0.000003520,0
1517262670.405639832,0.000003950,0
1517262671.406050136,0.000004441,0
1517262672.406428109,0.000003559,0
1517262673.406940017,0.008169876,1
1517262674.407398046,0.008199842,2
1517262675.407683488,0.008091860,1
1517262676.408011759,0.008160039,0
1517262677.408501109,0.008185334,4
1517262678.408857220,0.008181303,1
1517262679.409221612,0.008153586,2
1517262680.410196591,0.040463019,28
1517262681.410893818,0.084201146,22
1517262682.411809613,0.084188958,34
1517262683.412824298,0.084174127,36
1517262684.413680520,0.084225707,28
1517262685.414282791,0.084165532,17
1517262686.415185717,0.084236748,28
1517262687.416252156,0.084169787,41
1517262688.416919855,0.084165750,21
1517262689.417932599,0.084197749,35
1517262690.418533500,0.077012226,21
1517262691.419274467,0.076512023,29
1517262692.420304684,0.076460313,35
1517262693.421154083,0.076521313,33
1517262694.421919529,0.076511289,23
1517262695.422687196,0.076483737,20
1517262696.423229848,0.076496668,18
1517262697.423965226,0.076529752,27
1517262698.424560942,0.076498730,19
1517262699.425170332,0.076503489,24
1517262700.425904850,0.070274636,25
1517262701.426586199,0.069527854,26
1517262702.427245977,0.069576006,27
1517262703.428149305,0.069480658,38
1517262704.428776581,0.069562441,22
1517262705.429306300,0.069517049,17
1517262706.429925795,0.069527439,20
1517262707.430686485,0.069543581,18
1517262708.431177708,0.069509957,16
1517262709.431909002,0.069549085,30
1517262710.432412041,0.063281861,15
1517262711.433096208,0.063236767,25
1517262712.433711078,0.063151585,16
1517262713.434407681,0.063158425,18
1517262714.435292196,0.063216937,32
1517262715.436005021,0.063160289,26
1517262716.436954468,0.063171725,34
1517262717.437542769,0.063157200,24
1517262718.438048920,0.063209252,14
1517262719.438742344,0.063163442,25
1517262720.439361499,0.057377939,18
1517262721.440114342,0.057371044,20
1517262722.440875815,0.057364721,21
1517262723.441521923,0.057367718,17
1517262724.442042336,0.057409557,13
1517262725.442595863,0.057412050,15
1517262726.443168180,0.057445013,23
1517262727.443849095,0.057417178,24
1517262728.444463122,0.057405711,14
1517262729.445031270,0.057427676,17
1517262730.445498894,0.052132104,14
1517262731.446004912,0.052193398,15
1517262732.446593854,0.052185664,18
1517262733.447217625,0.052149984,21
1517262734.447931344,0.052138994,21
1517262735.448454254,0.052190292,17
1517262736.449003507,0.052172643,16
1517262737.449634511,0.052130616,24
1517262738.450303978,0.052202513,24
1517262739.451067956,0.052186632,18
1517262740.451590150,0.047370928,15
1517262741.452150519,0.047416486,19
1517262742.452677636,0.047412079,17
1517262743.453195857,0.047448968,15
1517262744.453698928,0.047438803,16
1517262745.454179079,0.047416167,14
1517262746.454786994,0.047406155,15
1517262747.455351086,0.047428809,17
1517262748.455847749,0.047387316,16
1517262749.456354038,0.047441295,11
1517262750.456887188,0.043093563,14
