Time,Hour,BE
1,1517262604,0
2,1517262605,0
3,1517262606,0
4,1517262607,0
5,1517262608,0
6,1517262609,0
7,1517262610,0
8,1517262611,0
9,1517262612,0
10,1517262613,0
11,1517262614,0
12,1517262615,0
13,1517262616,0
14,1517262617,0
15,1517262618,0
16,1517262619,0
17,1517262620,0
18,1517262621,0
19,1517262622,0
20,1517262623,0
21,1517262624,0
22,1517262625,0
23,1517262626,0
24,1517262627,0
25,1517262628,0
26,1517262629,0
27,1517262630,0
28,1517262631,0
29,1517262632,0
30,1517262633,0
31,1517262634,0
32,1517262635,0
33,1517262636,0
34,1517262637,0
35,1517262638,0
36,1517262639,0
37,1517262640,0
38,1517262641,0
39,1517262642,0
40,1517262643,0
41,1517262644,0
42,1517262645,0
43,1517262646,0
44,1517262647,0.000003093
45,1517262648,0.000004899
46,1517262649,0.000004466
47,1517262650,0.000003824
48,1517262651,0.000005041
49,1517262652,0.000003913
50,1517262653,0.000003695
51,1517262654,0.000005405
52,1517262655,0.000004516
53,1517262656,0.000006112
54,1517262657,0.000004306
55,1517262658,0.000006168
56,1517262659,0.000004189
57,1517262660,0.000004463
58,1517262661,0.000004651
59,1517262662,0.000003399
60,1517262663,0.000003772
61,1517262664,0.000005063
62,1517262665,0.00000532
63,1517262666,0.000004977
64,1517262667,0.000003279
65,1517262668,0.000004874
66,1517262669,0.00000352
67,1517262670,0.00000395
68,1517262671,0.000004441
69,1517262672,0.000003559
70,1517262673,0.008169876
71,1517262674,0.008199842
72,1517262675,0.00809186
73,1517262676,0.008160039
74,1517262677,0.008185334
75,1517262678,0.008181303
76,1517262679,0.008153586
77,1517262680,0.040463019
78,1517262681,0.084201146
79,1517262682,0.084188958
80,1517262683,0.084174127
81,1517262684,0.084225707
82,1517262685,0.084165532
83,1517262686,0.084236748
84,1517262687,0.084169787
85,1517262688,0.08416575
86,1517262689,0.084197749
87,1517262690,0.077012226
88,1517262691,0.076512023
89,1517262692,0.076460313
90,1517262693,0.076521313
91,1517262694,0.076511289
92,1517262695,0.076483737
93,1517262696,0.076496668
94,1517262697,0.076529752
95,1517262698,0.07649873
96,1517262699,0.076503489
97,1517262700,0.070274636
98,1517262701,0.069527854
99,1517262702,0.069576006
100,1517262703,0.069480658
101,1517262704,0.069562441
102,1517262705,0.069517049
103,1517262706,0.069527439
104,1517262707,0.069543581
105,1517262708,0.069509957
106,1517262709,0.069549085
107,1517262710,0.063281861
108,1517262711,0.063236767
109,1517262712,0.063151585
110,1517262713,0.063158425
111,1517262714,0.063216937
112,1517262715,0.063160289
113,1517262716,0.063171725
114,1517262717,0.0631572
115,1517262718,0.063209252
116,1517262719,0.063163442
117,1517262720,0.057377939
118,1517262721,0.057371044
119,1517262722,0.057364721
120,1517262723,0.057367718
121,1517262724,0.057409557
122,1517262725,0.05741205
123,1517262726,0.057445013
124,1517262727,0.057417178
125,1517262728,0.057405711
126,1517262729,0.057427676
127,1517262730,0.052132104
128,1517262731,0.052193398
129,1517262732,0.052185664
130,1517262733,0.052149984
131,1517262734,0.052138994
132,1517262735,0.052190292
133,1517262736,0.052172643
134,1517262737,0.052130616
135,1517262738,0.052202513
136,1517262739,0.052186632
137,1517262740,0.047370928
138,1517262741,0.047416486
139,1517262742,0.047412079
140,1517262743,0.047448968
141,1517262744,0.047438803
142,1517262745,0.047416167
143,1517262746,0.047406155
144,1517262747,0.047428809
145,1517262748,0.047387316
146,1517262749,0.047441295
147,1517262750,0.043093563
148,1517262751,0.043049999
149,1517262752,0.04309182
150,1517262753,0.043099605
151,1517262754,0.043072939
152,1517262755,0.043132728
153,1517262756,0.043065895
154,1517262757,0.043094624
155,1517262758,0.043063461
156,1517262759,0.043037525
157,1517262760,0.039132181
158,1517262761,0.039125767
159,1517262762,0.039155455
160,1517262763,0.039155374
161,1517262764,0.039127303
162,1517262765,0.039098646
163,1517262766,0.039074609
164,1517262767,0.039102626
165,1517262768,0.039111225
166,1517262769,0.039103131
167,1517262770,0.035498368
168,1517262771,0.035518767
169,1517262772,0.035521255
170,1517262773,0.035568751
171,1517262774,0.035547794
172,1517262775,0.035522506
173,1517262776,0.035565679
174,1517262777,0.035561601
175,1517262778,0.03554132
176,1517262779,0.035550401
177,1517262780,0.071961761
178,1517262781,0.084170525
179,1517262782,0.08420925
180,1517262783,0.084184987
181,1517262784,0.084238739
182,1517262785,0.084176926
183,1517262786,0.084186412
184,1517262787,0.084177766
185,1517262788,0.08420209
186,1517262789,0.084174225
187,1517262790,0.077475786
188,1517262791,0.076518093
189,1517262792,0.076527694
190,1517262793,0.076525227
191,1517262794,0.076493297
192,1517262795,0.076485362
193,1517262796,0.076541237
194,1517262797,0.076495053
195,1517262798,0.076525768
196,1517262799,0.076494378
197,1517262800,0.069476401
198,1517262801,0.069537728
199,1517262802,0.069499277
200,1517262803,0.069522872
201,1517262804,0.069526463
202,1517262805,0.069554165
203,1517262806,0.069508899
204,1517262807,0.069551973
205,1517262808,0.069559667
206,1517262809,0.069524514
207,1517262810,0.063173549
208,1517262811,0.063195413
209,1517262812,0.06316664
210,1517262813,0.063177564
211,1517262814,0.0631812
212,1517262815,0.063206996
213,1517262816,0.063170813
214,1517262817,0.063180576
215,1517262818,0.063128664
216,1517262820,0.063161646
217,1517262821,0.057392452
218,1517262822,0.057406753
219,1517262823,0.057431667
220,1517262824,0.057379448
221,1517262825,0.057409118
222,1517262826,0.057397907
223,1517262827,0.057431817
224,1517262828,0.05740312
225,1517262829,0.05741629
226,1517262830,0.057396625
227,1517262831,0.05216292
228,1517262832,0.052226108
229,1517262833,0.052157757
230,1517262834,0.052181341
231,1517262835,0.052172577
232,1517262836,0.052183713
233,1517262837,0.052156277
234,1517262838,0.052166094
235,1517262839,0.052220352
236,1517262840,0.052134697
237,1517262841,0.076408059
238,1517262842,0.084199326
239,1517262843,0.084209609
240,1517262844,0.084193578
241,1517262845,0.084227861
242,1517262846,0.084146737
243,1517262847,0.084158329
244,1517262848,0.084137233
245,1517262849,0.084183011
246,1517262850,0.08419937
247,1517262851,0.076645575
248,1517262852,0.076483905
249,1517262853,0.076501778
250,1517262854,0.076509517
251,1517262855,0.076505024
252,1517262856,0.07652944
253,1517262857,0.07647019
254,1517262858,0.07650134
255,1517262859,0.076528868
256,1517262860,0.076523195
257,1517262861,0.069532968
258,1517262862,0.069541546
259,1517262863,0.069548371
260,1517262864,0.069514562
261,1517262865,0.06951332
262,1517262866,0.069552421
263,1517262867,0.069493427
264,1517262868,0.069547117
265,1517262869,0.069527203
266,1517262870,0.069516765
267,1517262871,0.063169938
268,1517262872,0.063167498
269,1517262873,0.063193604
270,1517262874,0.063227831
271,1517262875,0.063164506
272,1517262876,0.063159355
273,1517262877,0.063189896
274,1517262878,0.06316824
275,1517262879,0.0631482
276,1517262880,0.063190247
277,1517262881,0.057405583
278,1517262882,0.057431246
279,1517262883,0.05746721
280,1517262884,0.057445872
281,1517262885,0.057411798
282,1517262886,0.05740879
283,1517262887,0.057389484
284,1517262888,0.057428347
285,1517262889,0.057445958
286,1517262890,0.057401403
287,1517262891,0.05216923
288,1517262892,0.052193954
289,1517262893,0.052157244
290,1517262894,0.05213354
291,1517262895,0.052175593
292,1517262896,0.052142793
293,1517262897,0.052170337
294,1517262898,0.052175102
295,1517262899,0.052182979
296,1517262900,0.05215846
297,1517262901,0.047442482
298,1517262902,0.047367619
299,1517262903,0.047378656
300,1517262904,0.047421168
301,1517262905,0.047392604
302,1517262906,0.047381761
303,1517262907,0.047397605
304,1517262908,0.047354651
305,1517262909,0.047373273
306,1517262910,0.047423894
307,1517262911,0.043033069
308,1517262912,0.043060872
309,1517262913,0.043067573
310,1517262914,0.043066481
311,1517262915,0.043062795
312,1517262916,0.0430624
313,1517262917,0.043025544
314,1517262918,0.043043603
315,1517262919,0.043033751
316,1517262920,0.043067616
317,1517262921,0.039161227
318,1517262922,0.039094248
319,1517262923,0.03912327
320,1517262924,0.039155581
321,1517262925,0.039112153
322,1517262926,0.039134699
323,1517262927,0.039136984
324,1517262928,0.039146735
325,1517262929,0.039127507
326,1517262930,0.039134114
327,1517262931,0.035526185
328,1517262932,0.03553446
329,1517262933,0.035550904
330,1517262934,0.035504612
331,1517262935,0.035563255
332,1517262936,0.035546338
333,1517262937,0.035558355
334,1517262938,0.035497647
335,1517262939,0.035485643
336,1517262940,0.035558554
337,1517262941,0.032244269
338,1517262942,0.032251306
339,1517262943,0.032295406
340,1517262944,0.032258919
341,1517262945,0.032293545
342,1517262946,0.032265884
343,1517262947,0.032273876
344,1517262948,0.032300829
345,1517262949,0.032288485
346,1517262950,0.032288824
347,1517262951,0.029324661
348,1517262952,0.029345911
349,1517262953,0.029314581
350,1517262954,0.029293552
351,1517262955,0.029354023
352,1517262956,0.029313672
353,1517262957,0.029296223
354,1517262958,0.029303591
355,1517262959,0.029280882
356,1517262960,0.029289387
357,1517262961,0.081056452
358,1517262962,0.08411707
359,1517262963,0.084233007
360,1517262964,0.084171162
361,1517262965,0.084209361
362,1517262966,0.0842154
363,1517262967,0.0841728
364,1517262968,0.084225733
365,1517262969,0.084145705
