Time,Hour,BE,STA 2
1,2020-10-30T11:50:54-07:00,0,0
2,2020-10-30T11:50:55-07:00,0,0
3,2020-10-30T11:50:56-07:00,0,0
4,2020-10-30T11:50:57-07:00,0,0
5,2020-10-30T11:50:58-07:00,0,0
6,2020-10-30T11:50:59-07:00,0,0
7,2020-10-30T11:51:00-07:00,0,0
8,2020-10-30T11:51:01-07:00,0,0
9,2020-10-30T11:51:02-07:00,0,0
10,2020-10-30T11:51:03-07:00,0,0
11,2020-10-30T11:51:04-07:00,0,0
12,2020-10-30T11:51:05-07:00,0,0
13,2020-10-30T11:51:06-07:00,0,0
14,2020-10-30T11:51:07-07:00,0,0
15,2020-10-30T11:51:08-07:00,0,0
16,2020-10-30T11:51:09-07:00,0,0
17,2020-10-30T11:51:10-07:00,0,0
18,2020-10-30T11:51:11-07:00,0,0
19,2020-10-30T11:51:12-07:00,0,0
20,2020-10-30T11:51:13-07:00,0,0
21,2020-10-30T11:51:14-07:00,0,0
22,2020-10-30T11:51:15-07:00,0,0
23,2020-10-30T11:51:16-07:00,0,0
24,2020-10-30T11:51:17-07:00,0,0
25,2020-10-30T11:51:18-07:00,0,0
26,2020-10-30T11:51:19-07:00,0,0
27,2020-10-30T11:51:20-07:00,0,0
28,2020-10-30T11:51:21-07:00,0,0
29,2020-10-30T11:51:22-07:00,16.71154837,0
30,2020-10-30T11:51:23-07:00,30.90003179,0
31,2020-10-30T11:51:24-07:00,29.29081545,0
32,2020-10-30T11:51:25-07:00,29.27290688,0
33,2020-10-30T11:51:26-07:00,30.05803196,0
34,2020-10-30T11:51:27-07:00,28.67494425,0
35,2020-10-30T11:51:28-07:00,29.31158174,0
36,2020-10-30T11:51:29-07:00,29.29137047,0
37,2020-10-30T11:51:30-07:00,29.4966106,0
38,2020-10-30T11:51:31-07:00,27.90108406,0.028830323
39,2020-10-30T11:51:32-07:00,10.31655045,0.008058286
40,2020-10-30T11:51:33-07:00,10.45436849,0.004823889
41,2020-10-30T11:51:34-07:00,10.78617631,0.004860974
42,2020-10-30T11:51:35-07:00,11.31654698,0.004953332
43,2020-10-30T11:51:36-07:00,10.7618175,0.004945202
44,2020-10-30T11:51:37-07:00,10.50160808,0.004989193
45,2020-10-30T11:51:38-07:00,11.23820293,0.004869426
46,2020-10-30T11:51:39-07:00,10.87261277,0.004489858
47,2020-10-30T11:51:40-07:00,11.2050323,0.004871161
48,2020-10-30T11:51:41-07:00,11.03884128,0.004796129
49,2020-10-30T11:51:42-07:00,10.61659652,0.004288469
50,2020-10-30T11:51:43-07:00,11.12328095,0.005094843
51,2020-10-30T11:51:44-07:00,11.01127828,0.004680572
52,2020-10-30T11:51:45-07:00,11.21388199,0.004849486
53,2020-10-30T11:51:46-07:00,10.97997745,0.004698438
54,2020-10-30T11:51:47-07:00,10.96649663,0.004722252
55,2020-10-30T11:51:48-07:00,11.55348019,0.004824802
56,2020-10-30T11:51:49-07:00,11.0588689,0.004429182
57,2020-10-30T11:51:50-07:00,10.90489203,0.004838041
58,2020-10-30T11:51:51-07:00,11.11717621,0.004740562
59,2020-10-30T11:51:52-07:00,10.91959724,0.004805141
60,2020-10-30T11:51:53-07:00,10.89802105,0.004602992
61,2020-10-30T11:51:54-07:00,11.20915636,0.004602991
62,2020-10-30T11:51:55-07:00,5.068417674,0.004816329
63,2020-10-30T11:51:56-07:00,1.033228644,0.004916985
64,2020-10-30T11:51:57-07:00,1.01652131,0.004771136
65,2020-10-30T11:51:58-07:00,1.002006341,0.004654645
66,2020-10-30T11:51:59-07:00,0.974445897,0.004318693
67,2020-10-30T11:52:00-07:00,1.048475558,0.005546044
68,2020-10-30T11:52:01-07:00,0.998137665,0.004687068
69,2020-10-30T11:52:02-07:00,1.02885272,0.00475977
70,2020-10-30T11:52:03-07:00,1.011159757,0.004808478
71,2020-10-30T11:52:04-07:00,1.004635475,0.004522379
72,2020-10-30T11:52:05-07:00,1.110802385,0.004795109
73,2020-10-30T11:52:06-07:00,1.104240061,0.004657092
74,2020-10-30T11:52:07-07:00,1.110311933,0.004628871
75,2020-10-30T11:52:08-07:00,1.113639573,0.004851996
76,2020-10-30T11:52:09-07:00,1.106750125,0.004532509
77,2020-10-30T11:52:10-07:00,1.105324268,0.004705379
78,2020-10-30T11:52:11-07:00,1.118816477,0.004917673
79,2020-10-30T11:52:12-07:00,1.114869048,0.004715741
80,2020-10-30T11:52:13-07:00,1.103815858,0.004724518
81,2020-10-30T11:52:14-07:00,1.119916477,0.004478543
82,2020-10-30T11:52:15-07:00,1.218770236,0.004971189
83,2020-10-30T11:52:16-07:00,1.161467669,0.004303554
84,2020-10-30T11:52:17-07:00,1.314203592,0.005386102
85,2020-10-30T11:52:18-07:00,1.19908936,0.004558832
86,2020-10-30T11:52:19-07:00,1.24063392,0.004866114
87,2020-10-30T11:52:20-07:00,1.209501138,0.004594131
88,2020-10-30T11:52:21-07:00,1.214020701,0.0045942
89,2020-10-30T11:52:22-07:00,1.210618671,0.004716124
90,2020-10-30T11:52:23-07:00,1.245180052,0.004901459
91,2020-10-30T11:52:24-07:00,1.221107039,0.005179566
92,2020-10-30T11:52:25-07:00,1.306167942,0.004722179
93,2020-10-30T11:52:26-07:00,1.418135888,0.00509863
94,2020-10-30T11:52:27-07:00,1.274028578,0.004285282
95,2020-10-30T11:52:28-07:00,1.352883818,0
96,2020-10-30T11:52:29-07:00,1.374343606,0.009042091
97,2020-10-30T11:52:30-07:00,1.345660309,0.005132536
98,2020-10-30T11:52:31-07:00,1.292108871,0.004353216
99,2020-10-30T11:52:32-07:00,1.348761471,0.004861171
100,2020-10-30T11:52:33-07:00,1.416632433,0.0051362
101,2020-10-30T11:52:34-07:00,1.279692984,0.003753789
102,2020-10-30T11:52:35-07:00,1.542944878,0.005826173
103,2020-10-30T11:52:36-07:00,1.456570736,0.004580239
104,2020-10-30T11:52:37-07:00,1.544026005,0.005178425
105,2020-10-30T11:52:38-07:00,1.478182432,0.004702347
106,2020-10-30T11:52:39-07:00,1.47577085,0.004515333
107,2020-10-30T11:52:40-07:00,1.411907202,0.00445571
108,2020-10-30T11:52:41-07:00,1.553798918,0.005304389
109,2020-10-30T11:52:42-07:00,1.411358973,0.004278582
110,2020-10-30T11:52:43-07:00,1.552539599,0.005231576
111,2020-10-30T11:52:44-07:00,1.48216313,0.004123335
112,2020-10-30T11:52:45-07:00,1.577198411,0.005043164
